NewYork,82968755
LosAngeles,54012047
Chicago,40480412
Houston,18562140
Phoenix,6833372
Philadelphia,8482530
SanAntonio,6114881
SanDiego,22669250
Dallas,14326419
SanJose,3547461
Detroit,10961909
Jacksonville,2707968
Indianapolis,2101032
SanFrancisco,24587538
Columbus,2706578
Austin,10143029
Memphis,4086453
FortWorth,1996170
Baltimore,6841197
Charlotte,6148470
ElPaso,1589923
Boston,19070584
Seattle,18240595
Washington,10334920
Milwaukee,2779478
Denver,10677640
Louisville/JeffersonCounty,0
LasVegas,32629675
NashvilleDavidson,377
OklahomaCity,689987
Portland,9892307
Tucson,2248921
Albuquerque,1402096
Atlanta,25232665
LongBeach,5005899
Fresno,1470494
Sacramento,5098877
Mesa,1679197
KansasCity,2967390
Cleveland,5679892
VirginiaBeach,1403663
Omaha,1262494
Miami,59566993
Oakland,5075624
Tulsa,1435187
Honolulu,3718258
Minneapolis,3568442
ColoradoSprings,1859038
Arlington,859323
Wichita,456180
Raleigh,2179115
St.Louis,0
SantaAna,1006333
Anaheim,1833099
Tampa,6114967
Cincinnati,2863294
Pittsburgh,5732389
Bakersfield,965209
Aurora,2864109
Toledo,1909087
Riverside,3977599
Stockton,718830
CorpusChristi,822935
Newark,1085634
Anchorage,750978
Buffalo,3077348
St.Paul,0
LexingtonFayette,294
Plano,557418
FortWayne,433435
St.Petersburg,0
Glendale,1219133
JerseyCity,1635509
Lincoln,2189845
Henderson,568737
Chandler,830974
Greensboro,805043
Scottsdale,2454454
BatonRouge,1237546
Birmingham,5412038
Norfolk,2232964
Madison,1553961
NewOrleans,8781797
Chesapeake,327340
Orlando,15464427
Garland,683687
Hialeah,790980
Laredo,368022
ChulaVista,437751
Lubbock,432470
Reno,2251153
Akron,644727
Durham,1665266
Rochester,1126022
Modesto,577191
Montgomery,359623
Fremont,535697
Shreveport,392783
Arlington,859324
Glendale,1219134
