Mean_Zero,Mean,Timestamp,Delta
294.8,294.8,2019-05-05 03,0.0
295.0,295.0,2019-05-09 20,0.0
283.8,283.8,2019-04-26 23,0.0
296.6,296.6,2019-04-29 21,0.0
278.6,278.6,2019-04-27 07,0.0
279.4,279.4,2019-04-21 19,0.0
278.8,278.8,2019-05-02 00,0.0
309.8,309.8,2019-05-09 19,0.0
290.2,290.2,2019-04-19 19,0.0
290.4,290.4,2019-04-21 12,0.0
294.8,294.8,2019-05-04 14,0.0
278.2,278.2,2019-04-30 12,0.0
290.6,290.6,2019-04-22 06,0.0
298.6,298.6,2019-05-09 00,0.0
307.6,307.6,2019-05-09 15,0.0
297.6,297.6,2019-04-27 05,0.0
279.4,279.4,2019-04-20 18,0.0
303.8,303.8,2019-05-11 15,0.0
278.8,278.8,2019-05-02 08,0.0
295.4,295.4,2019-05-08 05,0.0
275.6,275.6,2019-04-25 03,0.0
280.8,280.8,2019-04-28 11,0.0
283.8,283.8,2019-05-04 17,0.0
295.4,295.4,2019-04-23 18,0.0
279.4,279.4,2019-04-21 20,0.0
275.8,275.8,2019-04-30 03,0.0
290.2,290.2,2019-05-03 09,0.0
276.8,276.8,2019-04-28 07,0.0
278.8,278.8,2019-04-27 08,0.0
275.0,275.0,2019-04-23 08,0.0
275.4,275.4,2019-04-30 17,0.0
278.6,278.6,2019-05-02 11,0.0
275.6,275.6,2019-04-29 06,0.0
300.0,300.0,2019-04-19 18,0.0
279.2,279.2,2019-04-22 01,0.0
275.2,275.2,2019-04-29 09,0.0
279.8,279.8,2019-05-03 00,0.0
295.6,295.6,2019-05-06 20,0.0
301.6,301.6,2019-04-21 13,0.0
274.0,274.0,2019-04-23 06,0.0
275.75,275.75,2019-04-30 02,0.0
294.8,294.8,2019-05-11 05,0.0
279.8,279.8,2019-05-03 01,0.0
182.4,228.0,2019-05-12 06,-45.599999999999994
274.0,274.0,2019-04-22 23,0.0
295.8,295.8,2019-05-06 14,0.0
278.6,278.6,2019-04-30 01,0.0
