Tripadvisor Price per Night ;TimeStamp 1;Hotel Price per Night;TimeStamp 2;TimeStamp 3
 327;2019-05-11 15:12;355;2019-05-11 15:12;True
 358;2019-05-11 16:12;355;2019-05-11 16:12;True
 358;2019-05-11 17:12;355;2019-05-11 17:12;True
 341;2019-05-11 18:12;355;2019-05-11 18:12;True
 358;2019-05-11 19:12;355;2019-05-11 19:12;True
 413;2019-05-11 20:12;355;2019-05-11 20:12;True
 358;2019-05-11 21:12;355;2019-05-11 21:12;True
 413;2019-05-11 22:12;355;2019-05-11 22:12;True
 327;2019-05-11 23:12;355;2019-05-11 23:12;True
 413;2019-05-12 00:12;355;2019-05-12 00:12;True
 358;2019-05-12 01:12;355;2019-05-12 01:12;True
 358;2019-05-12 02:12;355;2019-05-12 02:12;True
 413;2019-05-12 03:12;355;2019-05-12 03:12;True
 341;2019-05-12 04:12;355;2019-05-12 04:12;True
 413;2019-05-12 05:12;355;2019-05-12 05:12;True
 358;2019-05-12 06:12;355;2019-05-12 06:12;True
 384;2019-05-12 07:12;355;2019-05-12 07:12;True
 358;2019-05-12 08:12;355;2019-05-12 08:12;True
0;2019-05-12 09:12;355;2019-05-12 09:12;True
