Tripadvisor Price per Night ;TimeStamp 1;Hotel Price per Night;TimeStamp 2;TimeStamp 3
 327;2019-05-01 18:12;357;2019-05-01 18:12;True
 327;2019-05-01 19:12;357;2019-05-01 19:12;True
 352;2019-05-01 20:12;357;2019-05-01 20:12;True
 357;2019-05-01 21:12;357;2019-05-01 21:12;True
 293;2019-05-01 22:12;357;2019-05-01 22:12;True
 327;2019-05-01 23:12;357;2019-05-01 23:12;True
 301;2019-05-02 00:12;357;2019-05-02 00:12;True
 357;2019-05-02 01:12;357;2019-05-02 01:12;True
 327;2019-05-02 02:12;357;2019-05-02 02:12;True
 327;2019-05-02 03:12;357;2019-05-02 03:12;True
 327;2019-05-02 04:12;357;2019-05-02 04:12;True
 327;2019-05-02 05:12;357;2019-05-02 05:12;True
 327;2019-05-02 06:12;357;2019-05-02 06:12;True
 357;2019-05-02 07:12;357;2019-05-02 07:12;True
 357;2019-05-02 08:12;357;2019-05-02 08:12;True
 357;2019-05-02 09:12;357;2019-05-02 09:12;True
 357;2019-05-02 10:12;357;2019-05-02 10:12;True
 360;2019-05-02 11:12;357;2019-05-02 11:12;True
 301;2019-05-02 12:12;357;2019-05-02 12:12;True
 358;2019-05-02 13:12;357;2019-05-02 13:12;True
 326;2019-05-02 14:12;357;2019-05-02 14:12;True
 358;2019-05-02 15:12;357;2019-05-02 15:12;True
 326;2019-05-02 16:12;357;2019-05-02 16:12;True
 326;2019-05-02 17:12;357;2019-05-02 17:12;True
 358;2019-05-02 18:12;357;2019-05-02 18:12;True
 326;2019-05-02 19:12;357;2019-05-02 19:12;True
 294;2019-05-02 20:12;357;2019-05-02 20:12;True
 326;2019-05-02 21:12;357;2019-05-02 21:12;True
 326;2019-05-02 22:12;357;2019-05-02 22:12;True
 358;2019-05-02 23:12;357;2019-05-02 23:12;True
 326;2019-05-03 00:12;357;2019-05-03 00:12;True
 358;2019-05-03 01:12;357;2019-05-03 01:12;True
 326;2019-05-03 02:12;357;2019-05-03 02:12;True
 358;2019-05-03 03:12;357;2019-05-03 03:12;True
 326;2019-05-03 04:12;357;2019-05-03 04:12;True
 326;2019-05-03 05:12;357;2019-05-03 05:12;True
 358;2019-05-03 06:12;357;2019-05-03 06:12;True
 326;2019-05-03 07:12;357;2019-05-03 07:12;True
 359;2019-05-03 08:12;357;2019-05-03 08:12;True
 295;2019-05-03 09:12;357;2019-05-03 09:12;True
 359;2019-05-03 10:12;357;2019-05-03 10:12;True
 361;2019-05-03 11:12;357;2019-05-03 11:12;True
 326;2019-05-03 12:12;357;2019-05-03 12:12;True
 358;2019-05-03 13:12;357;2019-05-03 13:12;True
 326;2019-05-03 14:12;357;2019-05-03 14:12;True
 326;2019-05-03 15:12;357;2019-05-03 15:12;True
 326;2019-05-03 16:12;357;2019-05-03 16:12;True
 293;2019-05-03 17:12;357;2019-05-03 17:12;True
 293;2019-05-03 18:12;357;2019-05-03 18:12;True
 358;2019-05-03 19:12;357;2019-05-03 19:12;True
 326;2019-05-03 20:12;357;2019-05-03 20:12;True
 358;2019-05-03 21:12;357;2019-05-03 21:12;True
 301;2019-05-03 22:12;357;2019-05-03 22:12;True
 301;2019-05-03 23:12;357;2019-05-03 23:12;True
 356;2019-05-04 00:12;357;2019-05-04 00:12;True
 326;2019-05-04 01:12;357;2019-05-04 01:12;True
 326;2019-05-04 02:12;356;2019-05-04 02:12;True
 356;2019-05-04 03:12;356;2019-05-04 03:12;True
 326;2019-05-04 04:12;356;2019-05-04 04:12;True
 300;2019-05-04 05:12;356;2019-05-04 05:12;True
 327;2019-05-04 06:12;356;2019-05-04 06:12;True
 327;2019-05-04 07:12;356;2019-05-04 07:12;True
 327;2019-05-04 08:12;356;2019-05-04 08:12;True
 352;2019-05-04 09:12;356;2019-05-04 09:12;True
 304;2019-05-04 10:12;356;2019-05-04 10:12;True
 327;2019-05-04 11:12;356;2019-05-04 11:12;True
 304;2019-05-04 12:12;356;2019-05-04 12:12;True
 327;2019-05-04 13:12;356;2019-05-04 13:12;True
 360;2019-05-04 14:12;356;2019-05-04 14:12;True
 360;2019-05-04 15:12;356;2019-05-04 15:12;True
 327;2019-05-04 16:12;356;2019-05-04 16:12;True
 352;2019-05-04 17:12;356;2019-05-04 17:12;True
 304;2019-05-04 18:12;356;2019-05-04 18:12;True
 360;2019-05-04 19:12;356;2019-05-04 19:12;True
 304;2019-05-04 20:12;356;2019-05-04 20:12;True
 360;2019-05-04 21:12;356;2019-05-04 21:12;True
 352;2019-05-04 22:12;356;2019-05-04 22:12;True
 352;2019-05-04 23:12;356;2019-05-04 23:12;True
 304;2019-05-05 00:12;356;2019-05-05 00:12;True
 352;2019-05-05 01:12;356;2019-05-05 01:12;True
 327;2019-05-05 02:12;356;2019-05-05 02:12;True
 360;2019-05-05 03:12;356;2019-05-05 03:12;True
 406;2019-05-05 04:12;356;2019-05-05 04:12;True
 360;2019-05-05 05:12;356;2019-05-05 05:12;True
 326;2019-05-05 06:12;356;2019-05-05 06:12;True
 326;2019-05-05 07:12;356;2019-05-05 07:12;True
 326;2019-05-05 08:12;356;2019-05-05 08:12;True
 326;2019-05-05 09:12;356;2019-05-05 09:12;True
 336;2019-05-05 10:12;356;2019-05-05 10:12;True
 326;2019-05-05 11:12;356;2019-05-05 11:12;True
 406;2019-05-05 12:12;356;2019-05-05 12:12;True
 326;2019-05-05 13:12;356;2019-05-05 13:12;True
 326;2019-05-05 14:12;356;2019-05-05 14:12;True
 326;2019-05-05 15:12;356;2019-05-05 15:12;True
 351;2019-05-05 16:12;356;2019-05-05 16:12;True
 347;2019-05-05 17:12;356;2019-05-05 17:12;True
 414;2019-05-05 18:12;356;2019-05-05 18:12;True
 347;2019-05-05 19:12;356;2019-05-05 19:12;True
 414;2019-05-05 20:12;356;2019-05-05 20:12;True
 347;2019-05-05 21:12;356;2019-05-05 21:12;True
 414;2019-05-05 22:12;356;2019-05-05 22:12;True
 347;2019-05-05 23:12;356;2019-05-05 23:12;True
 347;2019-05-06 00:12;356;2019-05-06 00:12;True
 347;2019-05-06 01:12;356;2019-05-06 01:12;True
 347;2019-05-06 02:12;356;2019-05-06 02:12;True
 414;2019-05-06 03:12;356;2019-05-06 03:12;True
 382;2019-05-06 04:12;356;2019-05-06 04:12;True
 382;2019-05-06 05:12;356;2019-05-06 05:12;True
 382;2019-05-06 06:12;356;2019-05-06 06:12;True
 382;2019-05-06 07:12;356;2019-05-06 07:12;True
 382;2019-05-06 08:12;356;2019-05-06 08:12;True
 417;2019-05-06 09:12;356;2019-05-06 09:12;True
 382;2019-05-06 10:12;356;2019-05-06 10:12;True
 417;2019-05-06 11:12;356;2019-05-06 11:12;True
 360;2019-05-06 12:12;356;2019-05-06 12:12;True
 382;2019-05-06 13:12;356;2019-05-06 13:12;True
 416;2019-05-06 14:12;356;2019-05-06 14:12;True
 382;2019-05-06 15:12;356;2019-05-06 15:12;True
 416;2019-05-06 16:12;356;2019-05-06 16:12;True
 382;2019-05-06 17:12;356;2019-05-06 17:12;True
 346;2019-05-06 18:12;356;2019-05-06 18:12;True
 416;2019-05-06 19:12;356;2019-05-06 19:12;True
 382;2019-05-06 20:12;356;2019-05-06 20:12;True
 382;2019-05-06 21:12;356;2019-05-06 21:12;True
 382;2019-05-06 22:12;356;2019-05-06 22:12;True
 416;2019-05-06 23:12;356;2019-05-06 23:12;True
 382;2019-05-07 00:12;356;2019-05-07 00:12;True
 416;2019-05-07 01:12;356;2019-05-07 01:12;True
 382;2019-05-07 02:12;356;2019-05-07 02:12;True
 382;2019-05-07 03:12;356;2019-05-07 03:12;True
 382;2019-05-07 04:12;356;2019-05-07 04:12;True
 382;2019-05-07 05:12;356;2019-05-07 05:12;True
 416;2019-05-07 06:12;356;2019-05-07 06:12;True
 416;2019-05-07 07:12;356;2019-05-07 07:12;True
 360;2019-05-07 08:12;356;2019-05-07 08:12;True
 345;2019-05-07 09:12;356;2019-05-07 09:12;True
 345;2019-05-07 10:12;356;2019-05-07 10:12;True
 360;2019-05-07 11:12;356;2019-05-07 11:12;True
 360;2019-05-07 12:12;356;2019-05-07 12:12;True
 360;2019-05-07 13:12;356;2019-05-07 13:12;True
 411;2019-05-07 14:12;356;2019-05-07 14:12;True
 360;2019-05-07 15:12;356;2019-05-07 15:12;True
 416;2019-05-07 16:12;356;2019-05-07 16:12;True
 414;2019-05-07 17:12;356;2019-05-07 17:12;True
 360;2019-05-07 18:12;356;2019-05-07 18:12;True
 416;2019-05-07 19:12;356;2019-05-07 19:12;True
 414;2019-05-07 20:12;356;2019-05-07 20:12;True
 345;2019-05-07 21:12;356;2019-05-07 21:12;True
 416;2019-05-07 22:12;356;2019-05-07 22:12;True
 360;2019-05-07 23:12;356;2019-05-07 23:12;True
 416;2019-05-08 00:12;356;2019-05-08 00:12;True
 414;2019-05-08 01:12;356;2019-05-08 01:12;True
 414;2019-05-08 02:12;357;2019-05-08 02:12;True
 361;2019-05-08 03:12;357;2019-05-08 03:12;True
 414;2019-05-08 04:12;357;2019-05-08 04:12;True
 345;2019-05-08 05:12;357;2019-05-08 05:12;True
 387;2019-05-08 06:12;357;2019-05-08 06:12;True
 361;2019-05-08 07:12;357;2019-05-08 07:12;True
 414;2019-05-08 08:12;357;2019-05-08 08:12;True
 361;2019-05-08 09:12;357;2019-05-08 09:12;True
 344;2019-05-08 10:12;357;2019-05-08 10:12;True
 414;2019-05-08 11:12;357;2019-05-08 11:12;True
 361;2019-05-08 12:12;357;2019-05-08 12:12;True
 361;2019-05-08 13:12;357;2019-05-08 13:12;True
 409;2019-05-08 14:12;357;2019-05-08 14:12;True
 409;2019-05-08 15:12;357;2019-05-08 15:12;True
 414;2019-05-08 16:12;357;2019-05-08 16:12;True
 361;2019-05-08 17:12;357;2019-05-08 17:12;True
 361;2019-05-08 18:12;357;2019-05-08 18:12;True
 414;2019-05-08 19:12;357;2019-05-08 19:12;True
 417;2019-05-08 20:12;357;2019-05-08 20:12;True
 414;2019-05-08 21:12;357;2019-05-08 21:12;True
 417;2019-05-08 22:12;357;2019-05-08 22:12;True
 361;2019-05-08 23:12;357;2019-05-08 23:12;True
 417;2019-05-09 00:12;357;2019-05-09 00:12;True
 362;2019-05-09 01:12;357;2019-05-09 01:12;True
 417;2019-05-09 02:12;358;2019-05-09 02:12;True
 361;2019-05-09 03:12;358;2019-05-09 03:12;True
 414;2019-05-09 04:12;358;2019-05-09 04:12;True
 361;2019-05-09 05:12;358;2019-05-09 05:12;True
 361;2019-05-09 06:12;358;2019-05-09 06:12;True
 330;2019-05-09 07:12;358;2019-05-09 07:12;True
 361;2019-05-09 08:12;358;2019-05-09 08:12;True
 361;2019-05-09 09:12;358;2019-05-09 09:12;True
0;2019-05-09 10:12;358;2019-05-09 10:12;True
 361;2019-05-09 11:12;358;2019-05-09 11:12;True
 343;2019-05-09 12:12;358;2019-05-09 12:12;True
 361;2019-05-09 13:12;358;2019-05-09 13:12;True
 361;2019-05-09 14:12;358;2019-05-09 14:12;True
 330;2019-05-09 15:12;358;2019-05-09 15:12;True
 361;2019-05-09 16:12;358;2019-05-09 16:12;True
 361;2019-05-09 17:12;358;2019-05-09 17:12;True
 361;2019-05-09 18:12;358;2019-05-09 18:12;True
 417;2019-05-09 19:12;358;2019-05-09 19:12;True
 361;2019-05-09 20:12;358;2019-05-09 20:12;True
 417;2019-05-09 21:12;358;2019-05-09 21:12;True
 414;2019-05-09 22:12;358;2019-05-09 22:12;True
 414;2019-05-09 23:12;358;2019-05-09 23:12;True
 361;2019-05-10 00:12;358;2019-05-10 00:12;True
0;2019-05-10 01:12;358;2019-05-10 01:12;True
0;2019-05-10 02:12;356;2019-05-10 02:12;True
 417;2019-05-10 03:12;356;2019-05-10 03:12;True
 359;2019-05-10 04:12;356;2019-05-10 04:12;True
 329;2019-05-10 05:12;356;2019-05-10 05:12;True
 414;2019-05-10 06:12;356;2019-05-10 06:12;True
 359;2019-05-10 07:12;356;2019-05-10 07:12;True
 416;2019-05-10 08:12;356;2019-05-10 08:12;True
 359;2019-05-10 09:12;356;2019-05-10 09:12;True
 414;2019-05-10 10:12;356;2019-05-10 10:12;True
 359;2019-05-10 11:12;356;2019-05-10 11:12;True
 414;2019-05-10 12:12;356;2019-05-10 12:12;True
 350;2019-05-10 13:12;356;2019-05-10 13:12;True
 414;2019-05-10 14:12;356;2019-05-10 14:12;True
 359;2019-05-10 15:12;356;2019-05-10 15:12;True
0;2019-05-10 16:12;356;2019-05-10 16:12;True
 414;2019-05-10 17:12;356;2019-05-10 17:12;True
 414;2019-05-10 18:12;356;2019-05-10 18:12;True
 341;2019-05-10 19:12;356;2019-05-10 19:12;True
 414;2019-05-10 20:12;356;2019-05-10 20:12;True
 359;2019-05-10 21:12;356;2019-05-10 21:12;True
 416;2019-05-10 22:12;356;2019-05-10 22:12;True
 359;2019-05-10 23:12;356;2019-05-10 23:12;True
0;2019-05-11 00:12;356;2019-05-11 00:12;True
 414;2019-05-11 01:12;356;2019-05-11 01:12;True
 414;2019-05-11 02:12;355;2019-05-11 02:12;True
 358;2019-05-11 03:12;355;2019-05-11 03:12;True
 327;2019-05-11 04:12;355;2019-05-11 04:12;True
0;2019-05-11 05:12;355;2019-05-11 05:12;True
 414;2019-05-11 06:12;355;2019-05-11 06:12;True
 358;2019-05-11 07:12;355;2019-05-11 07:12;True
 358;2019-05-11 08:12;355;2019-05-11 08:12;True
 358;2019-05-11 09:12;355;2019-05-11 09:12;True
 358;2019-05-11 10:12;355;2019-05-11 10:12;True
 414;2019-05-11 11:12;355;2019-05-11 11:12;True
 358;2019-05-11 12:12;355;2019-05-11 12:12;True
 413;2019-05-11 13:12;355;2019-05-11 13:12;True
 327;2019-05-11 14:12;355;2019-05-11 14:12;True
