hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Microtel Inn & Suites by Wyndham Baton Rouge Airport,http://www.tripadvisor.com/Hotel_Review-g40024-d1158990-Reviews-Microtel_Inn_Suites_by_Wyndham_Baton_Rouge_Airport-Baton_Rouge_Louisiana.html,Baton Rouge,713 ,,2019/04/02,2019/04/04,,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Baton Rouge Downtown,http://www.tripadvisor.com/Hotel_Review-g40024-d3990349-Reviews-Hampton_Inn_Suites_Baton_Rouge_Downtown-Baton_Rouge_Louisiana.html,Baton Rouge,945 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Breakfast included,Visit hotel website"
Drury Inn & Suites Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d1204421-Reviews-Drury_Inn_Suites_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,593 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking,Visit hotel website"
Renaissance Baton Rouge Hotel,http://www.tripadvisor.com/Hotel_Review-g40024-d2151981-Reviews-Renaissance_Baton_Rouge_Hotel-Baton_Rouge_Louisiana.html,Baton Rouge,604 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free parking,Pool,Visit hotel website"
Richmond Inn & Suites Trademark Collection,http://www.tripadvisor.com/Hotel_Review-g40024-d78051-Reviews-Richmond_Inn_Suites_Trademark_Collection-Baton_Rouge_Louisiana.html,Baton Rouge,701 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn & Suites Baton Rouge Denham Springs,http://www.tripadvisor.com/Hotel_Review-g40024-d1801933-Reviews-La_Quinta_Inn_Suites_Baton_Rouge_Denham_Springs-Baton_Rouge_Louisiana.html,Baton Rouge,546 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Holiday Inn Baton Rouge College Drive I-10,http://www.tripadvisor.com/Hotel_Review-g40024-d1213823-Reviews-Holiday_Inn_Baton_Rouge_College_Drive_I_10-Baton_Rouge_Louisiana.html,Baton Rouge,413 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Home2Suites by Hilton Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d10755810-Reviews-Home2Suites_by_Hilton_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,194 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
DoubleTree by Hilton Hotel Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d1156712-Reviews-DoubleTree_by_Hilton_Hotel_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,842 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Baton Rouge - I-10 East,http://www.tripadvisor.com/Hotel_Review-g40024-d858126-Reviews-Hampton_Inn_Suites_Baton_Rouge_I_10_East-Baton_Rouge_Louisiana.html,Baton Rouge,452 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Embassy Suites by Hilton Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d88947-Reviews-Embassy_Suites_by_Hilton_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,1371 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Breakfast included,Visit hotel website"
L'Auberge Casino & Hotel,http://www.tripadvisor.com/Hotel_Review-g40024-d3432159-Reviews-L_Auberge_Casino_Hotel-Baton_Rouge_Louisiana.html,Baton Rouge,531 ,,2019/04/02,2019/04/04,,TripAdvisor,6,"Free Wifi,Free parking"
Hampton Inn Baton Rouge I-10 & College Dr.,http://www.tripadvisor.com/Hotel_Review-g40024-d93320-Reviews-Hampton_Inn_Baton_Rouge_I_10_College_Dr-Baton_Rouge_Louisiana.html,Baton Rouge,583 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Hotel Indigo Baton Rouge Downtown Riverfront,http://www.tripadvisor.com/Hotel_Review-g40024-d1836149-Reviews-Hotel_Indigo_Baton_Rouge_Downtown_Riverfront-Baton_Rouge_Louisiana.html,Baton Rouge,426 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Restaurant,Visit hotel website"
Homewood Suites Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d93318-Reviews-Homewood_Suites_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,499 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
The Stockade Bed and Breakfast,http://www.tripadvisor.com/Hotel_Review-g40024-d76908-Reviews-The_Stockade_Bed_and_Breakfast-Baton_Rouge_Louisiana.html,Baton Rouge,330 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Free Wifi,Free parking"
Hilton Baton Rouge Capitol Center,http://www.tripadvisor.com/Hotel_Review-g40024-d623264-Reviews-Hilton_Baton_Rouge_Capitol_Center-Baton_Rouge_Louisiana.html,Baton Rouge,1294 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Pool,Visit hotel website"
Hyatt Place Baton Rouge/I-10,http://www.tripadvisor.com/Hotel_Review-g40024-d93314-Reviews-Hyatt_Place_Baton_Rouge_I_10-Baton_Rouge_Louisiana.html,Baton Rouge,588 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
The Cook Hotel and Conference Center at LSU,http://www.tripadvisor.com/Hotel_Review-g40024-d240168-Reviews-The_Cook_Hotel_and_Conference_Center_at_LSU-Baton_Rouge_Louisiana.html,Baton Rouge,178 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Staybridge Suites Baton Rouge-Lsu At Southgate,http://www.tripadvisor.com/Hotel_Review-g40024-d1465152-Reviews-Staybridge_Suites_Baton_Rouge_Lsu_At_Southgate-Baton_Rouge_Louisiana.html,Baton Rouge,173 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Baton Rouge Airport,http://www.tripadvisor.com/Hotel_Review-g40024-d287591-Reviews-Hilton_Garden_Inn_Baton_Rouge_Airport-Baton_Rouge_Louisiana.html,Baton Rouge,501 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
"WATERMARK Baton Rouge, Autograph Collection",http://www.tripadvisor.com/Hotel_Review-g40024-d10199037-Reviews-WATERMARK_Baton_Rouge_Autograph_Collection-Baton_Rouge_Louisiana.html,Baton Rouge,144 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Restaurant,Visit hotel website"
Sleep Inn South,http://www.tripadvisor.com/Hotel_Review-g40024-d93325-Reviews-Sleep_Inn_South-Baton_Rouge_Louisiana.html,Baton Rouge,198 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Baton Rouge Marriott,http://www.tripadvisor.com/Hotel_Review-g40024-d88943-Reviews-Baton_Rouge_Marriott-Baton_Rouge_Louisiana.html,Baton Rouge,69 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free parking,Pool,Visit hotel website"
SureStay Plus Hotel by Best Western Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d78058-Reviews-SureStay_Plus_Hotel_by_Best_Western_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,353 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Residence Inn Baton Rouge Towne Center at Cedar Lodge,http://www.tripadvisor.com/Hotel_Review-g40024-d650310-Reviews-Residence_Inn_Baton_Rouge_Towne_Center_at_Cedar_Lodge-Baton_Rouge_Louisiana.html,Baton Rouge,169 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Comfort Inn Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d93331-Reviews-Comfort_Inn_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,201 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Radisson Hotel Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d1556643-Reviews-Radisson_Hotel_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,653 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Red Roof Inn Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d225187-Reviews-Red_Roof_Inn_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,250 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Wyndham Garden Baton Rouge,http://www.tripadvisor.com/Hotel_Review-g40024-d88955-Reviews-Wyndham_Garden_Baton_Rouge-Baton_Rouge_Louisiana.html,Baton Rouge,604 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
