hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Omni William Penn Hotel,http://www.tripadvisor.com/Hotel_Review-g53449-d96791-Reviews-Omni_William_Penn_Hotel-Pittsburgh_Pennsylvania.html,Pittsburgh,4965 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Restaurant,Room service,Visit hotel website"
Kimpton Hotel Monaco Pittsburgh,http://www.tripadvisor.com/Hotel_Review-g53449-d7171548-Reviews-Kimpton_Hotel_Monaco_Pittsburgh-Pittsburgh_Pennsylvania.html,Pittsburgh,1190 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Restaurant,Visit hotel website"
Shadyside Inn All Suites Hotel,http://www.tripadvisor.com/Hotel_Review-g53449-d102580-Reviews-Shadyside_Inn_All_Suites_Hotel-Pittsburgh_Pennsylvania.html,Pittsburgh,712 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Renaissance Pittsburgh Hotel,http://www.tripadvisor.com/Hotel_Review-g53449-d224122-Reviews-Renaissance_Pittsburgh_Hotel-Pittsburgh_Pennsylvania.html,Pittsburgh,1887 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Restaurant,Visit hotel website"
Drury Plaza Hotel Pittsburgh Downtown,http://www.tripadvisor.com/Hotel_Review-g53449-d10260444-Reviews-Drury_Plaza_Hotel_Pittsburgh_Downtown-Pittsburgh_Pennsylvania.html,Pittsburgh,351 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Breakfast included,Visit hotel website"
Wyndham Pittsburgh University Center,http://www.tripadvisor.com/Hotel_Review-g53449-d96771-Reviews-Wyndham_Pittsburgh_University_Center-Pittsburgh_Pennsylvania.html,Pittsburgh,2512 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Pool,Visit hotel website"
Drury Inn & Suites Pittsburgh Airport Settlers Ridge,http://www.tripadvisor.com/Hotel_Review-g53449-d13360211-Reviews-Drury_Inn_Suites_Pittsburgh_Airport_Settlers_Ridge-Pittsburgh_Pennsylvania.html,Pittsburgh,131 ,,2019/04/02,2019/04/04,,TripAdvisor,6,"Free Wifi,Free parking,Visit hotel website"
HYATT house Pittsburgh-South Side,http://www.tripadvisor.com/Hotel_Review-g53449-d3577928-Reviews-HYATT_house_Pittsburgh_South_Side-Pittsburgh_Pennsylvania.html,Pittsburgh,795 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Breakfast included"
"Distrikt Hotel Pittsburgh, Curio Collection by Hilton",http://www.tripadvisor.com/Hotel_Review-g53449-d12608379-Reviews-Distrikt_Hotel_Pittsburgh_Curio_Collection_by_Hilton-Pittsburgh_Pennsylvania.html,Pittsburgh,424 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Restaurant,Visit hotel website"
Hilton Garden Inn Pittsburgh University Place,http://www.tripadvisor.com/Hotel_Review-g53449-d102578-Reviews-Hilton_Garden_Inn_Pittsburgh_University_Place-Pittsburgh_Pennsylvania.html,Pittsburgh,1227 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Restaurant,Visit hotel website"
