hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Homewood Suites Birmingham South Inverness,http://www.tripadvisor.com/Hotel_Review-g30375-d518372-Reviews-Homewood_Suites_Birmingham_South_Inverness-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.328910,605 ,,2019/04/02,2019/04/04,CHF 167,Booking.com,10,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Birmingham/Trussville,http://www.tripadvisor.com/Hotel_Review-g30375-d1486172-Reviews-Hilton_Garden_Inn_Birmingham_Trussville-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.329642,412 ,,2019/04/02,2019/04/04,CHF 167,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn & Suites Birmingham Homewood,http://www.tripadvisor.com/Hotel_Review-g30375-d73337-Reviews-La_Quinta_Inn_Suites_Birmingham_Homewood-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.330423,666 ,,2019/04/02,2019/04/04,CHF 89,Booking.com,6,"Free Wifi,Free parking"
Hyatt Regency Birmingham - The Wynfrey Hotel,http://www.tripadvisor.com/Hotel_Review-g30375-d114774-Reviews-Hyatt_Regency_Birmingham_The_Wynfrey_Hotel-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.331250,1160 ,,2019/04/02,2019/04/04,CHF 189,Booking.com,11,"Free Wifi,Pool"
DoubleTree by Hilton Birmingham Perimeter Park,http://www.tripadvisor.com/Hotel_Review-g30375-d72416-Reviews-DoubleTree_by_Hilton_Birmingham_Perimeter_Park-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.332098,87 ,,2019/04/02,2019/04/04,CHF 191,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Hyatt Place Birmingham / Inverness,http://www.tripadvisor.com/Hotel_Review-g30375-d73353-Reviews-Hyatt_Place_Birmingham_Inverness-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.332824,812 ,,2019/04/02,2019/04/04,CHF 113,Booking.com,10,"Free Wifi,Free parking"
SpringHill Suites Birmingham Downtown at UAB,http://www.tripadvisor.com/Hotel_Review-g30375-d1238849-Reviews-SpringHill_Suites_Birmingham_Downtown_at_UAB-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.333741,404 ,,2019/04/02,2019/04/04,CHF 169,Booking.com,10,"Free Wifi,Breakfast included,Visit hotel website"
Birmingham Marriott,http://www.tripadvisor.com/Hotel_Review-g30375-d73359-Reviews-Birmingham_Marriott-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.334475,555 ,,2019/04/02,2019/04/04,CHF 170,Booking.com,11,"Free parking,Pool,Visit hotel website"
SpringHill Suites Birmingham Colonnade,http://www.tripadvisor.com/Hotel_Review-g30375-d1027312-Reviews-SpringHill_Suites_Birmingham_Colonnade-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.335198,306 ,,2019/04/02,2019/04/04,CHF 100,Booking.com,10,"Free Wifi,Free parking,Visit hotel website"
Home2 Suites by Hilton Birmingham Downtown,http://www.tripadvisor.com/Hotel_Review-g30375-d12704202-Reviews-Home2_Suites_by_Hilton_Birmingham_Downtown-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.335952,106 ,,2019/04/02,2019/04/04,CHF 179,Booking.com,9,"Free Wifi,Pool,Visit hotel website"
Best Western Plus Birmingham Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g30375-d73427-Reviews-Best_Western_Plus_Birmingham_Inn_Suites-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.336653,328 ,,2019/04/02,2019/04/04,CHF 94,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Courtyard Birmingham Colonnade/Grandview,http://www.tripadvisor.com/Hotel_Review-g30375-d73501-Reviews-Courtyard_Birmingham_Colonnade_Grandview-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.337399,266 ,,2019/04/02,2019/04/04,CHF 99,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Downtown Birmingham,http://www.tripadvisor.com/Hotel_Review-g30375-d12704122-Reviews-Hilton_Garden_Inn_Downtown_Birmingham-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.338117,133 ,,2019/04/02,2019/04/04,CHF 152,Booking.com,9,"Free Wifi,Pool,Visit hotel website"
