hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
University Plaza Waterfront Hotel,http://www.tripadvisor.com/Hotel_Review-g33130-d815232-Reviews-University_Plaza_Waterfront_Hotel-Stockton_California.html,Stockton,519 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Hilton Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d82262-Reviews-Hilton_Stockton-Stockton_California.html,Stockton,794 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Residence Inn Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d79120-Reviews-Residence_Inn_Stockton-Stockton_California.html,Stockton,146 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Best Western Plus Heritage Inn,http://www.tripadvisor.com/Hotel_Review-g33130-d82252-Reviews-Best_Western_Plus_Heritage_Inn-Stockton_California.html,Stockton,748 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Courtyard Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d79128-Reviews-Courtyard_Stockton-Stockton_California.html,Stockton,126 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Express Stockton Southeast,http://www.tripadvisor.com/Hotel_Review-g33130-d224517-Reviews-Holiday_Inn_Express_Stockton_Southeast-Stockton_California.html,Stockton,70 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d79123-Reviews-La_Quinta_Inn_Stockton-Stockton_California.html,Stockton,539 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Red Roof Inn Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d231069-Reviews-Red_Roof_Inn_Stockton-Stockton_California.html,Stockton,80 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Crest Motel,http://www.tripadvisor.com/Hotel_Review-g33130-d12918443-Reviews-Crest_Motel-Stockton_California.html,Stockton,3 ,,2019/04/02,2019/04/04,,Agoda.com,0,
Americas Best Value Inn Stockton East-Highway 99,http://www.tripadvisor.com/Hotel_Review-g33130-d79133-Reviews-Americas_Best_Value_Inn_Stockton_East_Highway_99-Stockton_California.html,Stockton,62 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Motel 6 Stockton - Charter Way West,http://www.tripadvisor.com/Hotel_Review-g33130-d242339-Reviews-Motel_6_Stockton_Charter_Way_West-Stockton_California.html,Stockton,25 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Free parking,Pool"
Days Inn by Wyndham Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d79139-Reviews-Days_Inn_by_Wyndham_Stockton-Stockton_California.html,Stockton,74 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Extended Stay America - Stockton - March Lane,http://www.tripadvisor.com/Hotel_Review-g33130-d231064-Reviews-Extended_Stay_America_Stockton_March_Lane-Stockton_California.html,Stockton,138 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking,Visit hotel website"
Budget Inn and Suites Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d119567-Reviews-Budget_Inn_and_Suites_Stockton-Stockton_California.html,Stockton,28 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Rodeway Inn,http://www.tripadvisor.com/Hotel_Review-g33130-d7693427-Reviews-Rodeway_Inn-Stockton_California.html,Stockton,5 ,,2019/04/02,2019/04/04,,TripAdvisor,5,"Free Wifi,Fitness center"
Motel 6,http://www.tripadvisor.com/Hotel_Review-g33130-d119532-Reviews-Motel_6-Stockton_California.html,Stockton,82 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Motel 6 Stockton North,http://www.tripadvisor.com/Hotel_Review-g33130-d82259-Reviews-Motel_6_Stockton_North-Stockton_California.html,Stockton,29 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Free Wifi,Free parking"
American Inn Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d286550-Reviews-American_Inn_Stockton-Stockton_California.html,Stockton,68 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
California Inn,http://www.tripadvisor.com/Hotel_Review-g33130-d3641257-Reviews-California_Inn-Stockton_California.html,Stockton,1 review,,2019/04/02,2019/04/04,,Agoda.com,0,Pool
Motel 6 Stockton East CA,http://www.tripadvisor.com/Hotel_Review-g33130-d119572-Reviews-Motel_6_Stockton_East_CA-Stockton_California.html,Stockton,3 ,,2019/04/02,2019/04/04,,ZenHotels.com,0,Restaurant
Motel 6 Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d82258-Reviews-Motel_6_Stockton-Stockton_California.html,Stockton,15 ,,2019/04/02,2019/04/04,,ZenHotels.com,0,"Pool,Restaurant"
Howard Johnson by Wyndham Stockton,http://www.tripadvisor.com/Hotel_Review-g33130-d82247-Reviews-Howard_Johnson_by_Wyndham_Stockton-Stockton_California.html,Stockton,317 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Quality Inn,http://www.tripadvisor.com/Hotel_Review-g33130-d79117-Reviews-Quality_Inn-Stockton_California.html,Stockton,88 ,,2019/04/02,2019/04/04,,TripAdvisor,0,"Free Wifi,Free parking"
I-5 Inn,http://www.tripadvisor.com/Hotel_Review-g33130-d79125-Reviews-I_5_Inn-Stockton_California.html,Stockton,17 ,,2019/04/02,2019/04/04,,Agoda.com,0,"Free Wifi,Free parking"
Econostudios,http://www.tripadvisor.com/Hotel_Review-g33130-d1177185-Reviews-Econostudios-Stockton_California.html,Stockton,13 ,,2019/04/02,2019/04/04,,TripAdvisor,0,"Free Wifi,Pool"
El Rancho Motel,http://www.tripadvisor.com/Hotel_Review-g33130-d13083417-Reviews-El_Rancho_Motel-Stockton_California.html,Stockton,0 ,,2019/04/02,2019/04/04,,TripAdvisor,0,"Free Wifi,Free parking"
Stockton Travelers Motel,http://www.tripadvisor.com/Hotel_Review-g33130-d1638043-Reviews-Stockton_Travelers_Motel-Stockton_California.html,Stockton,0 ,,2019/04/02,2019/04/04,,TripAdvisor,0,"Free Wifi,Restaurant"
RiverPoint Landing Marina Resort,http://www.tripadvisor.com/Hotel_Review-g33130-d7675876-Reviews-RiverPoint_Landing_Marina_Resort-Stockton_California.html,Stockton,21 ,,2019/04/02,2019/04/04,,,0,Free Wifi
Budget Inn,http://www.tripadvisor.com/Hotel_Review-g33130-d119581-Reviews-Budget_Inn-Stockton_California.html,Stockton,1 review,,2019/04/02,2019/04/04,,,0,
Brevia Inn,http://www.tripadvisor.com/Hotel_Review-g33130-d6620762-Reviews-Brevia_Inn-Stockton_California.html,Stockton,2 ,,2019/04/02,2019/04/04,,,0,
