hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Hampton Inn & Suites Riverside/Corona East,http://www.tripadvisor.com/Hotel_Review-g32978-d1785652-Reviews-Hampton_Inn_Suites_Riverside_Corona_East-Riverside_California.html,Riverside,729 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
Marriott Riverside at the Convention Center,http://www.tripadvisor.com/Hotel_Review-g32978-d77124-Reviews-Marriott_Riverside_at_the_Convention_Center-Riverside_California.html,Riverside,532 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Pool,Visit hotel website"
Americas Best Value Inn Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d623967-Reviews-Americas_Best_Value_Inn_Riverside-Riverside_California.html,Riverside,276 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
The Mission Inn Hotel and Spa,http://www.tripadvisor.com/Hotel_Review-g32978-d119398-Reviews-The_Mission_Inn_Hotel_and_Spa-Riverside_California.html,Riverside,1853 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Pool,Restaurant"
Hyatt Place Riverside Downtown,http://www.tripadvisor.com/Hotel_Review-g32978-d2426317-Reviews-Hyatt_Place_Riverside_Downtown-Riverside_California.html,Riverside,563 ,,2019/04/02,2019/04/04,,TripAdvisor,12,"Free Wifi,Pool"
Courtyard by Marriott Riverside UCR/Moreno Valley Area,http://www.tripadvisor.com/Hotel_Review-g32978-d77139-Reviews-Courtyard_by_Marriott_Riverside_UCR_Moreno_Valley_Area-Riverside_California.html,Riverside,239 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
Days Inn by Wyndham Riverside Tyler Mall,http://www.tripadvisor.com/Hotel_Review-g32978-d79570-Reviews-Days_Inn_by_Wyndham_Riverside_Tyler_Mall-Riverside_California.html,Riverside,366 ,,2019/04/02,2019/04/04,,TripAdvisor,12,"Free Wifi,Free parking,Visit hotel website"
Quality Inn Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d77132-Reviews-Quality_Inn_Riverside-Riverside_California.html,Riverside,88 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking"
Dynasty Suites Hotel,http://www.tripadvisor.com/Hotel_Review-g32978-d227784-Reviews-Dynasty_Suites_Hotel-Riverside_California.html,Riverside,60 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking"
Thunderbird Lodge,http://www.tripadvisor.com/Hotel_Review-g32978-d307956-Reviews-Thunderbird_Lodge-Riverside_California.html,Riverside,67 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Econo Lodge Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g32978-d77129-Reviews-Econo_Lodge_Inn_Suites-Riverside_California.html,Riverside,32 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking"
Santa Cruz Inn,http://www.tripadvisor.com/Hotel_Review-g32978-d676396-Reviews-Santa_Cruz_Inn-Riverside_California.html,Riverside,41 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Simply Home Inn & Suites Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d1952888-Reviews-Simply_Home_Inn_Suites_Riverside-Riverside_California.html,Riverside,29 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Motel 6 Riverside South,http://www.tripadvisor.com/Hotel_Review-g32978-d79581-Reviews-Motel_6_Riverside_South-Riverside_California.html,Riverside,22 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Rodeway Inn Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d77148-Reviews-Rodeway_Inn_Riverside-Riverside_California.html,Riverside,22 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Riverside Inn and Suites,http://www.tripadvisor.com/Hotel_Review-g32978-d79573-Reviews-Riverside_Inn_and_Suites-Riverside_California.html,Riverside,66 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking"
Best House (3 bedrooms 2 bath),http://www.tripadvisor.com/Hotel_Review-g32978-d15767964-Reviews-Best_House_3_bedrooms_2_bath-Riverside_California.html,Riverside,0 ,,2019/04/02,2019/04/04,,Booking.com,0,
Love Manor,http://www.tripadvisor.com/Hotel_Review-g32978-d13324061-Reviews-Love_Manor-Riverside_California.html,Riverside,0 ,,2019/04/02,2019/04/04,,Agoda.com,0,"Free Wifi,Free parking"
Arlington Inn,http://www.tripadvisor.com/Hotel_Review-g32978-d2509671-Reviews-Arlington_Inn-Riverside_California.html,Riverside,3 ,,2019/04/02,2019/04/04,,TripAdvisor,7,Free Wifi
Sands Motel,http://www.tripadvisor.com/Hotel_Review-g32978-d939485-Reviews-Sands_Motel-Riverside_California.html,Riverside,17 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Pool"
Motel 6 UC Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d244415-Reviews-Motel_6_UC_Riverside-Riverside_California.html,Riverside,24 ,,2019/04/02,2019/04/04,,TripAdvisor,0,"Free Wifi,Free parking"
Budget Inn Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d650723-Reviews-Budget_Inn_Riverside-Riverside_California.html,Riverside,16 ,,2019/04/02,2019/04/04,,TripAdvisor,0,"Free Wifi,Free parking"
Skylark Motel,http://www.tripadvisor.com/Hotel_Review-g32978-d1529661-Reviews-Skylark_Motel-Riverside_California.html,Riverside,2 ,,2019/04/02,2019/04/04,,Agoda.com,0,
Rancho Jurupa Park,http://www.tripadvisor.com/Hotel_Review-g32978-d4585963-Reviews-Rancho_Jurupa_Park-Riverside_California.html,Riverside,21 ,,2019/04/02,2019/04/04,,,0,
Enchanted Travel Tours,http://www.tripadvisor.com/Hotel_Review-g32978-d79579-Reviews-Enchanted_Travel_Tours-Riverside_California.html,Riverside,3 ,,2019/04/02,2019/04/04,,,0,
Garden Inn,http://www.tripadvisor.com/Hotel_Review-g32978-d4708448-Reviews-Garden_Inn-Riverside_California.html,Riverside,1 review,,2019/04/02,2019/04/04,,,0,"Free Wifi,Free parking"
Air Force Inns,http://www.tripadvisor.com/Hotel_Review-g32978-d10800643-Reviews-Air_Force_Inns-Riverside_California.html,Riverside,3 ,,2019/04/02,2019/04/04,,,0,
Rodeway Inn & Suites Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d79577-Reviews-Rodeway_Inn_Suites_Riverside-Riverside_California.html,Riverside,0 ,,2019/04/02,2019/04/04,,,0,Room service
Super 8 Motel Riverside,http://www.tripadvisor.com/Hotel_Review-g32978-d77119-Reviews-Super_8_Motel_Riverside-Riverside_California.html,Riverside,0 ,,2019/04/02,2019/04/04,,,0,Restaurant
