hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Oasis Guest House,http://www.tripadvisor.com/Hotel_Review-g60745-d89596-Reviews-Oasis_Guest_House-Boston_Massachusetts.html,Boston,695 ,,2019/04/02,2019/04/04,CHF 129,Booking.com,8,"Free Wifi,Breakfast included,Visit hotel website"
enVision Hotel Boston - Longwood,http://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html,Boston,682 ,,2019/04/02,2019/04/04,CHF 144,Booking.com,11,"Free Wifi,Fitness center"
Studio Allston Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Studio_Allston_Hotel-Boston_Massachusetts.html,Boston,267 ,,2019/04/02,2019/04/04,CHF 174,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Omni Parker House,http://www.tripadvisor.com/Hotel_Review-g60745-d89599-Reviews-Omni_Parker_House-Boston_Massachusetts.html,Boston,9097 ,,2019/04/02,2019/04/04,CHF 242,Hotels.com,14,"Restaurant,Room service,Visit hotel website"
Hilton Garden Inn Boston Logan Airport,http://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html,Boston,1268 ,,2019/04/02,2019/04/04,CHF 162,Agoda.com,12,"Free Wifi,Free parking,Visit hotel website"
Revere Hotel Boston Common,http://www.tripadvisor.com/Hotel_Review-g60745-d89600-Reviews-Revere_Hotel_Boston_Common-Boston_Massachusetts.html,Boston,4954 ,,2019/04/02,2019/04/04,CHF 259,Booking.com,14,"Free Wifi,Pool,Visit hotel website"
Hotel Commonwealth,http://www.tripadvisor.com/Hotel_Review-g60745-d258705-Reviews-Hotel_Commonwealth-Boston_Massachusetts.html,Boston,4912 ,,2019/04/02,2019/04/04,CHF 296,Hotels.com,12,"Free Wifi,Restaurant,Visit hotel website"
The Inn at Longwood Medical,http://www.tripadvisor.com/Hotel_Review-g60745-d77638-Reviews-The_Inn_at_Longwood_Medical-Boston_Massachusetts.html,Boston,1392 ,,2019/04/02,2019/04/04,CHF 229,Booking.com,13,"Free Wifi,Restaurant"
The Godfrey Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,Boston,4978 ,,2019/04/02,2019/04/04,CHF 278,Booking.com,12,"Free Wifi,Room service,Visit hotel website"
The College Club of Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d280420-Reviews-The_College_Club_of_Boston-Boston_Massachusetts.html,Boston,282 ,,2019/04/02,2019/04/04,CHF 209,Hotels.com,7,"Free Wifi,Breakfast included,Visit hotel website"
Encore Bed and Breakfast,http://www.tripadvisor.com/Hotel_Review-g60745-d254295-Reviews-Encore_Bed_and_Breakfast-Boston_Massachusetts.html,Boston,842 ,,2019/04/02,2019/04/04,CHF 201,Booking.com,7,"Free Wifi,Breakfast included"
Club Quarters Hotel in Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d94399-Reviews-Club_Quarters_Hotel_in_Boston-Boston_Massachusetts.html,Boston,2491 ,,2019/04/02,2019/04/04,CHF 251,Booking.com,10,"Free Wifi,Restaurant,Visit hotel website"
The Inn At St Botolph,http://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html,Boston,612 ,,2019/04/02,2019/04/04,CHF 229,Booking.com,9,"Free Wifi,Breakfast included,Visit hotel website"
Hyatt Regency Boston Harbor,http://www.tripadvisor.com/Hotel_Review-g60745-d89620-Reviews-Hyatt_Regency_Boston_Harbor-Boston_Massachusetts.html,Boston,3077 ,,2019/04/02,2019/04/04,CHF 247,Booking.com,14,"Free Wifi,Restaurant"
Courtyard Boston Copley Square,http://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,Boston,2014 ,,2019/04/02,2019/04/04,CHF 311,Courtyard,13,"Free Wifi,Restaurant,Visit hotel website"
Kimpton Onyx Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d287606-Reviews-Kimpton_Onyx_Hotel-Boston_Massachusetts.html,Boston,1595 ,,2019/04/02,2019/04/04,CHF 298,Booking.com,12,"Free Wifi,Restaurant,Visit hotel website"
Element Boston Seaport District,http://www.tripadvisor.com/Hotel_Review-g60745-d8145467-Reviews-Element_Boston_Seaport_District-Boston_Massachusetts.html,Boston,274 ,,2019/04/02,2019/04/04,CHF 302,Booking.com,16,"Free Wifi,Breakfast included,Visit hotel website"
Copley Square Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d111421-Reviews-Copley_Square_Hotel-Boston_Massachusetts.html,Boston,2262 ,,2019/04/02,2019/04/04,CHF 279,Hotels.com,12,"Free Wifi,Fitness center,Visit hotel website"
Residence Inn by Marriott Boston Harbor on Tudor Wharf,http://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_by_Marriott_Boston_Harbor_on_Tudor_Wharf-Boston_Massachusetts.html,Boston,1023 ,,2019/04/02,2019/04/04,CHF 280,Booking.com,12,"Free Wifi,Breakfast included,Visit hotel website"
"The Envoy Hotel, Autograph Collection",http://www.tripadvisor.com/Hotel_Review-g60745-d8112658-Reviews-The_Envoy_Hotel_Autograph_Collection-Boston_Massachusetts.html,Boston,603 ,,2019/04/02,2019/04/04,CHF 441,Hotels.com,12,"Free Wifi,Restaurant,Visit hotel website"
