hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Drury Plaza Hotel Broadview Wichita,http://www.tripadvisor.com/Hotel_Review-g39143-d88724-Reviews-Drury_Plaza_Hotel_Broadview_Wichita-Wichita_Kansas.html,Wichita,549 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Breakfast included,Visit hotel website"
La Quinta Inn & Suites Wichita Northeast,http://www.tripadvisor.com/Hotel_Review-g39143-d12415050-Reviews-La_Quinta_Inn_Suites_Wichita_Northeast-Wichita_Kansas.html,Wichita,205 ,,2019/04/02,2019/04/04,,TripAdvisor,6,"Free Wifi,Free parking"
Hotel At WaterWalk,http://www.tripadvisor.com/Hotel_Review-g39143-d252580-Reviews-Hotel_At_WaterWalk-Wichita_Kansas.html,Wichita,544 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Best Western Plus Wichita West Airport Inn,http://www.tripadvisor.com/Hotel_Review-g39143-d92217-Reviews-Best_Western_Plus_Wichita_West_Airport_Inn-Wichita_Kansas.html,Wichita,668 ,,2019/04/02,2019/04/04,,TripAdvisor,12,"Free Wifi,Free parking,Visit hotel website"
Hyatt Regency Wichita,http://www.tripadvisor.com/Hotel_Review-g39143-d114650-Reviews-Hyatt_Regency_Wichita-Wichita_Kansas.html,Wichita,899 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Pool,Visit hotel website"
Hotel at Old Town,http://www.tripadvisor.com/Hotel_Review-g39143-d92201-Reviews-Hotel_at_Old_Town-Wichita_Kansas.html,Wichita,691 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Hampton Inn & Suites Wichita/Airport,http://www.tripadvisor.com/Hotel_Review-g39143-d10625738-Reviews-Hampton_Inn_Suites_Wichita_Airport-Wichita_Kansas.html,Wichita,255 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Fairfield Inn & Suites Wichita Downtown,http://www.tripadvisor.com/Hotel_Review-g39143-d2151986-Reviews-Fairfield_Inn_Suites_Wichita_Downtown-Wichita_Kansas.html,Wichita,251 ,,2019/04/02,2019/04/04,,TripAdvisor,12,"Free Wifi,Free parking,Visit hotel website"
Best Western Plus Eastgate Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g39143-d225015-Reviews-Best_Western_Plus_Eastgate_Inn_Suites-Wichita_Kansas.html,Wichita,459 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
DoubleTree by Hilton Wichita Airport,http://www.tripadvisor.com/Hotel_Review-g39143-d88725-Reviews-DoubleTree_by_Hilton_Wichita_Airport-Wichita_Kansas.html,Wichita,1028 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
The Inn at Tallgrass,http://www.tripadvisor.com/Hotel_Review-g39143-d125601-Reviews-The_Inn_at_Tallgrass-Wichita_Kansas.html,Wichita,231 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
