hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Best Western Plus Hannaford Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g60993-d224910-Reviews-Best_Western_Plus_Hannaford_Inn_Suites-Cincinnati_Ohio.html,Cincinnati,592 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Hilton Cincinnati Netherland Plaza,http://www.tripadvisor.com/Hotel_Review-g60993-d95145-Reviews-Hilton_Cincinnati_Netherland_Plaza-Cincinnati_Ohio.html,Cincinnati,2908 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Pool,Visit hotel website"
Hawthorn Suites by Wyndham Cincinnati,http://www.tripadvisor.com/Hotel_Review-g60993-d547870-Reviews-Hawthorn_Suites_by_Wyndham_Cincinnati-Cincinnati_Ohio.html,Cincinnati,573 ,,2019/04/02,2019/04/04,,Hotels.com,8,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Hotel & Suites Cincinnati-Eastgate,http://www.tripadvisor.com/Hotel_Review-g60993-d95122-Reviews-Holiday_Inn_Hotel_Suites_Cincinnati_Eastgate-Cincinnati_Ohio.html,Cincinnati,512 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Kingsgate Hotel and Conference Center at the University of Cincinnati,http://www.tripadvisor.com/Hotel_Review-g60993-d123322-Reviews-Kingsgate_Hotel_and_Conference_Center_at_the_University_of_Cincinnati-Cincinnati_Ohio.html,Cincinnati,318 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Restaurant"
Comfort Inn Northeast,http://www.tripadvisor.com/Hotel_Review-g60993-d101556-Reviews-Comfort_Inn_Northeast-Cincinnati_Ohio.html,Cincinnati,330 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Hampton Inn Cincinnati Eastgate,http://www.tripadvisor.com/Hotel_Review-g60993-d101524-Reviews-Hampton_Inn_Cincinnati_Eastgate-Cincinnati_Ohio.html,Cincinnati,549 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Best Western Clermont,http://www.tripadvisor.com/Hotel_Review-g60993-d224900-Reviews-Best_Western_Clermont-Cincinnati_Ohio.html,Cincinnati,408 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Cincinnati/Uptown-University Area,http://www.tripadvisor.com/Hotel_Review-g60993-d1863643-Reviews-Hampton_Inn_Suites_Cincinnati_Uptown_University_Area-Cincinnati_Ohio.html,Cincinnati,907 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Breakfast included,Visit hotel website"
Symphony Hotel,http://www.tripadvisor.com/Hotel_Review-g60993-d80790-Reviews-Symphony_Hotel-Cincinnati_Ohio.html,Cincinnati,157 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Free Wifi,Free parking"
SpringHill Suites Cincinnati Midtown,http://www.tripadvisor.com/Hotel_Review-g60993-d1462107-Reviews-SpringHill_Suites_Cincinnati_Midtown-Cincinnati_Ohio.html,Cincinnati,306 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Breakfast included,Visit hotel website"
Hampton Inn & Suites Cincinnati / Kenwood,http://www.tripadvisor.com/Hotel_Review-g60993-d8715351-Reviews-Hampton_Inn_Suites_Cincinnati_Kenwood-Cincinnati_Ohio.html,Cincinnati,456 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Best Western Premier Mariemont Inn,http://www.tripadvisor.com/Hotel_Review-g60993-d75227-Reviews-Best_Western_Premier_Mariemont_Inn-Cincinnati_Ohio.html,Cincinnati,538 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Cincinnati-Downtown,http://www.tripadvisor.com/Hotel_Review-g60993-d7622076-Reviews-Hampton_Inn_Suites_Cincinnati_Downtown-Cincinnati_Ohio.html,Cincinnati,741 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Breakfast included,Visit hotel website"
21c Museum Hotel Cincinnati,http://www.tripadvisor.com/Hotel_Review-g60993-d3507297-Reviews-21c_Museum_Hotel_Cincinnati-Cincinnati_Ohio.html,Cincinnati,1536 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Restaurant"
Renaissance Cincinnati Downtown Hotel,http://www.tripadvisor.com/Hotel_Review-g60993-d6557584-Reviews-Renaissance_Cincinnati_Downtown_Hotel-Cincinnati_Ohio.html,Cincinnati,539 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Restaurant,Visit hotel website"
Hyatt Regency Cincinnati,http://www.tripadvisor.com/Hotel_Review-g60993-d95133-Reviews-Hyatt_Regency_Cincinnati-Cincinnati_Ohio.html,Cincinnati,1695 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Pool"
Homewood Suites by Hilton Cincinnati-Downtown,http://www.tripadvisor.com/Hotel_Review-g60993-d7714638-Reviews-Homewood_Suites_by_Hilton_Cincinnati_Downtown-Cincinnati_Ohio.html,Cincinnati,488 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Breakfast included,Visit hotel website"
Residence Inn Cincinnati Downtown/The Phelps,http://www.tripadvisor.com/Hotel_Review-g60993-d1889915-Reviews-Residence_Inn_Cincinnati_Downtown_The_Phelps-Cincinnati_Ohio.html,Cincinnati,920 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Breakfast included,Visit hotel website"
The Westin Cincinnati,http://www.tripadvisor.com/Hotel_Review-g60993-d111521-Reviews-The_Westin_Cincinnati-Cincinnati_Ohio.html,Cincinnati,1275 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Pool,Restaurant,Visit hotel website"
