hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Hyatt Place Dallas/Garland/Richardson,http://www.tripadvisor.com/Hotel_Review-g55884-d1218848-Reviews-Hyatt_Place_Dallas_Garland_Richardson-Garland_Texas.html,Garland,563 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Super 8 by Wyndham Garland/Rowlett/East Dallas Area,http://www.tripadvisor.com/Hotel_Review-g55884-d534749-Reviews-Super_8_by_Wyndham_Garland_Rowlett_East_Dallas_Area-Garland_Texas.html,Garland,280 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn & Suites Garland Harbor Point,http://www.tripadvisor.com/Hotel_Review-g55884-d1200827-Reviews-La_Quinta_Inn_Suites_Garland_Harbor_Point-Garland_Texas.html,Garland,284 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Tru by Hilton Garland Richardson,http://www.tripadvisor.com/Hotel_Review-g55884-d12901604-Reviews-Tru_by_Hilton_Garland_Richardson-Garland_Texas.html,Garland,185 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn & Suites Dallas Northeast-Arboretum,http://www.tripadvisor.com/Hotel_Review-g55884-d13163446-Reviews-La_Quinta_Inn_Suites_Dallas_Northeast_Arboretum-Garland_Texas.html,Garland,77 ,,2019/04/02,2019/04/04,,TripAdvisor,6,"Free Wifi,Free parking"
Holiday Inn Express & Suites Garland E - Lake Hubbard I30,http://www.tripadvisor.com/Hotel_Review-g55884-d7176068-Reviews-Holiday_Inn_Express_Suites_Garland_E_Lake_Hubbard_I30-Garland_Texas.html,Garland,98 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
Quality Inn & Suites Garland - East Dallas,http://www.tripadvisor.com/Hotel_Review-g55884-d73528-Reviews-Quality_Inn_Suites_Garland_East_Dallas-Garland_Texas.html,Garland,106 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking"
Holiday Inn Garland,http://www.tripadvisor.com/Hotel_Review-g55884-d1657884-Reviews-Holiday_Inn_Garland-Garland_Texas.html,Garland,150 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Garland Inn And Suites,http://www.tripadvisor.com/Hotel_Review-g55884-d4498756-Reviews-Garland_Inn_And_Suites-Garland_Texas.html,Garland,3 ,,2019/04/02,2019/04/04,,ZenHotels.com,0,Free Wifi
Days Inn by Wyndham Dallas Garland West,http://www.tripadvisor.com/Hotel_Review-g55884-d107035-Reviews-Days_Inn_by_Wyndham_Dallas_Garland_West-Garland_Texas.html,Garland,256 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Microtel Inn & Suites by Wyndham Garland/Dallas,http://www.tripadvisor.com/Hotel_Review-g55884-d226203-Reviews-Microtel_Inn_Suites_by_Wyndham_Garland_Dallas-Garland_Texas.html,Garland,380 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Free parking,Visit hotel website"
Motel 6 Garland - Dallas- Northwest Hwy,http://www.tripadvisor.com/Hotel_Review-g55884-d107033-Reviews-Motel_6_Garland_Dallas_Northwest_Hwy-Garland_Texas.html,Garland,59 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Kingsley Inn and Suites,http://www.tripadvisor.com/Hotel_Review-g55884-d277888-Reviews-Kingsley_Inn_and_Suites-Garland_Texas.html,Garland,11 ,,2019/04/02,2019/04/04,,ZenHotels.com,0,Pool
Super 8 by Wyndham Garland North Dallas Area,http://www.tripadvisor.com/Hotel_Review-g55884-d241642-Reviews-Super_8_by_Wyndham_Garland_North_Dallas_Area-Garland_Texas.html,Garland,168 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Lucille's B&B,http://www.tripadvisor.com/Hotel_Review-g55884-d14984985-Reviews-Lucille_s_B_B-Garland_Texas.html,Garland,0 ,,2019/04/02,2019/04/04,,TripAdvisor,5,"Free Wifi,Free parking"
Americas Best Value Inn-Garland/Dallas,http://www.tripadvisor.com/Hotel_Review-g55884-d1163882-Reviews-Americas_Best_Value_Inn_Garland_Dallas-Garland_Texas.html,Garland,30 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Free Wifi,Free parking"
Motel 6 Dallas - Garland,http://www.tripadvisor.com/Hotel_Review-g55884-d244357-Reviews-Motel_6_Dallas_Garland-Garland_Texas.html,Garland,15 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Free Wifi,Free parking"
Discovery Inn,http://www.tripadvisor.com/Hotel_Review-g55884-d3509966-Reviews-Discovery_Inn-Garland_Texas.html,Garland,7 ,,2019/04/02,2019/04/04,,,0,Free Wifi
Express Inn,http://www.tripadvisor.com/Hotel_Review-g55884-d107032-Reviews-Express_Inn-Garland_Texas.html,Garland,6 ,,2019/04/02,2019/04/04,,,0,"Free Wifi,Pool"
