hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Sheraton Cleveland Airport Hotel,http://www.tripadvisor.com/Hotel_Review-g50207-d95216-Reviews-Sheraton_Cleveland_Airport_Hotel-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.699196,596 ,4,2019/04/02,2019/04/04,CHF 189,Booking.com,13,"Free Wifi,Pool,Visit hotel website"
Courtyard Cleveland University Circle,http://www.tripadvisor.com/Hotel_Review-g50207-d4053931-Reviews-Courtyard_Cleveland_University_Circle-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.700021,278 ,4,2019/04/02,2019/04/04,CHF 197,Booking.com,12,"Free Wifi,Pool,Visit hotel website"
Washington Place Bistro & Inn,http://www.tripadvisor.com/Hotel_Review-g50207-d2226067-Reviews-Washington_Place_Bistro_Inn-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.700763,82 ,4.5,2019/04/02,2019/04/04,CHF 175,Hotels.com,6,"Free Wifi,Free parking"
Stone Gables Bed and Breakfast,http://www.tripadvisor.com/Hotel_Review-g50207-d80794-Reviews-Stone_Gables_Bed_and_Breakfast-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.701520,78 ,5,2019/04/02,2019/04/04,CHF 119,Booking.com,7,"Free Wifi,Free parking"
Emerald Necklace Inn,http://www.tripadvisor.com/Hotel_Review-g50207-d252953-Reviews-Emerald_Necklace_Inn-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.702248,65 ,4,2019/04/02,2019/04/04,CHF 129,Booking.com,0,"Free Wifi,Breakfast included"
Clifford House Bed and Breakfast,http://www.tripadvisor.com/Hotel_Review-g50207-d123326-Reviews-Clifford_House_Bed_and_Breakfast-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.703003,70 ,4.5,2019/04/02,2019/04/04,CHF 145,Booking.com,8,"Free Wifi,Free parking"
The Westin Cleveland Downtown,http://www.tripadvisor.com/Hotel_Review-g50207-d95215-Reviews-The_Westin_Cleveland_Downtown-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.703772,1273 ,4.5,2019/04/02,2019/04/04,CHF 445,Hotels.com,10,"Restaurant,Room service,Visit hotel website"
"The Ritz-Carlton, Cleveland",http://www.tripadvisor.com/Hotel_Review-g50207-d95213-Reviews-The_Ritz_Carlton_Cleveland-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.704662,863 ,4.5,2019/04/02,2019/04/04,CHF 568,Hotels.com,10,"Free Wifi,Restaurant,Visit hotel website"
Hampton Inn Cleveland Downtown,http://www.tripadvisor.com/Hotel_Review-g50207-d111524-Reviews-Hampton_Inn_Cleveland_Downtown-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.705534,1660 ,4,2019/04/02,2019/04/04,CHF 139,ebookers.ch,11,"Free Wifi,Breakfast included,Visit hotel website"
Aloft Cleveland Downtown,http://www.tripadvisor.com/Hotel_Review-g50207-d4375420-Reviews-Aloft_Cleveland_Downtown-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.706354,499 ,4,2019/04/02,2019/04/04,CHF 164,roomsXXL.ch,11,"Free Wifi,Restaurant,Visit hotel website"
