hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Executive Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g32810-d78742-Reviews-Executive_Inn_Suites-Oakland_California.html,Oakland,1075 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
Best Western Plus Airport Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g32810-d235442-Reviews-Best_Western_Plus_Airport_Inn_Suites-Oakland_California.html,Oakland,691 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Express Hotel & Suites,http://www.tripadvisor.com/Hotel_Review-g32810-d80452-Reviews-Holiday_Inn_Express_Hotel_Suites-Oakland_California.html,Oakland,527 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Breakfast included,Visit hotel website"
Best Western Plus Bayside Hotel,http://www.tripadvisor.com/Hotel_Review-g32810-d3931463-Reviews-Best_Western_Plus_Bayside_Hotel-Oakland_California.html,Oakland,1055 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
"Waterfront Hotel, a Joie de Vivre hotel",http://www.tripadvisor.com/Hotel_Review-g32810-d78767-Reviews-Waterfront_Hotel_a_Joie_de_Vivre_hotel-Oakland_California.html,Oakland,1267 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Pool,Visit hotel website"
Oakland Marriott City Center,http://www.tripadvisor.com/Hotel_Review-g32810-d80433-Reviews-Oakland_Marriott_City_Center-Oakland_California.html,Oakland,860 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Pool,Restaurant,Visit hotel website"
Holiday Inn Hotel & Suites Oakland Airport,http://www.tripadvisor.com/Hotel_Review-g32810-d1027400-Reviews-Holiday_Inn_Hotel_Suites_Oakland_Airport-Oakland_California.html,Oakland,309 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Pool,Visit hotel website"
Homewood Suites by Hilton Oakland-Waterfront,http://www.tripadvisor.com/Hotel_Review-g32810-d224287-Reviews-Homewood_Suites_by_Hilton_Oakland_Waterfront-Oakland_California.html,Oakland,1095 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Free parking,Visit hotel website"
Courtyard Oakland Downtown,http://www.tripadvisor.com/Hotel_Review-g32810-d223963-Reviews-Courtyard_Oakland_Downtown-Oakland_California.html,Oakland,317 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Pool,Visit hotel website"
Courtyard by Marriott Oakland Airport,http://www.tripadvisor.com/Hotel_Review-g32810-d223961-Reviews-Courtyard_by_Marriott_Oakland_Airport-Oakland_California.html,Oakland,330 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Pool,Visit hotel website"
Z Hotel Jack London Square,http://www.tripadvisor.com/Hotel_Review-g32810-d736062-Reviews-Z_Hotel_Jack_London_Square-Oakland_California.html,Oakland,351 ,,2019/04/02,2019/04/04,,TripAdvisor,10,"Free Wifi,Pool,Visit hotel website"
Days Hotel by Wyndham Oakland Airport-Coliseum,http://www.tripadvisor.com/Hotel_Review-g32810-d78738-Reviews-Days_Hotel_by_Wyndham_Oakland_Airport_Coliseum-Oakland_California.html,Oakland,1038 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
Oakland Airport Executive Hotel,http://www.tripadvisor.com/Hotel_Review-g32810-d78734-Reviews-Oakland_Airport_Executive_Hotel-Oakland_California.html,Oakland,601 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Pool"
Bay Breeze Inn Oakland,http://www.tripadvisor.com/Hotel_Review-g32810-d673112-Reviews-Bay_Breeze_Inn_Oakland-Oakland_California.html,Oakland,423 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Visit hotel website"
Inn at Temescal,http://www.tripadvisor.com/Hotel_Review-g32810-d609882-Reviews-Inn_at_Temescal-Oakland_California.html,Oakland,105 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Free Wifi,Free parking,Visit hotel website"
Radisson Hotel Oakland Airport,http://www.tripadvisor.com/Hotel_Review-g32810-d11775357-Reviews-Radisson_Hotel_Oakland_Airport-Oakland_California.html,Oakland,325 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn & Suites Oakland Airport Coliseum,http://www.tripadvisor.com/Hotel_Review-g32810-d78745-Reviews-La_Quinta_Inn_Suites_Oakland_Airport_Coliseum-Oakland_California.html,Oakland,547 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Hilton Oakland Airport,http://www.tripadvisor.com/Hotel_Review-g32810-d78754-Reviews-Hilton_Oakland_Airport-Oakland_California.html,Oakland,1185 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Pool,Restaurant,Visit hotel website"
Imperial Inn,http://www.tripadvisor.com/Hotel_Review-g32810-d626294-Reviews-Imperial_Inn-Oakland_California.html,Oakland,153 ,,2019/04/02,2019/04/04,,TripAdvisor,8,"Free Wifi,Free parking"
Premier Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g32810-d13839454-Reviews-Premier_Inn_Suites-Oakland_California.html,Oakland,16 ,,2019/04/02,2019/04/04,,TripAdvisor,0,"Free Wifi,Free parking"
Clarion Hotel-Downtown Oakland,http://www.tripadvisor.com/Hotel_Review-g32810-d1569163-Reviews-Clarion_Hotel_Downtown_Oakland-Oakland_California.html,Oakland,230 ,,2019/04/02,2019/04/04,,TripAdvisor,9,"Free Wifi,Restaurant"
