Mean_Zero,Mean,Timestamp,Delta
216.4,270.5,2019-05-04 22,-54.099999999999994
226.2,282.75,2019-05-07 16,-56.55000000000001
281.2,281.2,2019-04-21 04,0.0
188.4,314.0,2019-05-10 09,-125.6
281.4,281.4,2019-04-22 23,0.0
281.2,281.2,2019-04-20 20,0.0
282.2,282.2,2019-04-21 05,0.0
356.2,356.2,2019-04-29 13,0.0
213.6,267.0,2019-05-09 05,-53.400000000000006
291.2,291.2,2019-05-01 07,0.0
311.6,311.6,2019-04-24 08,0.0
328.8,328.8,2019-04-26 00,0.0
276.4,276.4,2019-04-22 21,0.0
278.0,278.0,2019-04-29 15,0.0
225.6,282.0,2019-05-05 02,-56.400000000000006
310.2,310.2,2019-04-28 11,0.0
285.6,357.0,2019-05-08 19,-71.39999999999998
240.2,300.25,2019-05-06 21,-60.05000000000001
293.4,366.75,2019-05-07 04,-73.35000000000002
340.2,340.2,2019-04-18 23,0.0
293.0,293.0,2019-05-01 03,0.0
226.8,283.5,2019-05-03 04,-56.69999999999999
227.2,284.0,2019-05-03 21,-56.80000000000001
226.8,283.5,2019-05-08 08,-56.69999999999999
226.4,283.0,2019-05-03 09,-56.599999999999994
138.6,231.0,2019-05-10 23,-92.4
286.4,286.4,2019-04-27 07,0.0
259.2,324.0,2019-05-06 03,-64.80000000000001
350.0,350.0,2019-04-28 08,0.0
302.7,302.7,2019-04-23 08,0.0
168.6,281.0,2019-05-11 22,-112.4
225.4,281.75,2019-05-08 17,-56.349999999999994
328.6,410.75,2019-05-06 13,-82.14999999999998
258.8,323.5,2019-05-08 01,-64.69999999999999
275.4,344.25,2019-05-02 19,-68.85000000000002
291.2,291.2,2019-05-01 04,0.0
300.8,376.0,2019-05-05 16,-75.19999999999999
316.2,316.2,2019-04-25 14,0.0
221.6,277.0,2019-05-03 00,-55.400000000000006
210.6,263.25,2019-05-10 00,-52.650000000000006
359.6,359.6,2019-04-30 06,0.0
281.0,281.0,2019-04-28 04,0.0
310.6,310.6,2019-04-23 02,0.0
214.6,268.25,2019-05-10 18,-53.650000000000006
284.0,284.0,2019-04-27 15,0.0
273.8,273.8,2019-04-26 04,0.0
125.4,313.5,2019-05-11 23,-188.1
