Mean_Zero,Mean,Timestamp,Delta
297.2,371.5,2019-05-02 12,-74.30000000000001
104.0,260.0,2019-05-12 07,-156.0
290.8,363.5,2019-04-28 04,-72.69999999999999
327.6,409.5,2019-04-23 13,-81.89999999999998
312.8,391.0,2019-05-07 04,-78.19999999999999
297.2,371.5,2019-05-02 09,-74.30000000000001
309.0,386.25,2019-04-23 15,-77.25
286.0,357.5,2019-04-26 03,-71.5
290.8,363.5,2019-04-28 05,-72.69999999999999
245.6,409.33333333333326,2019-05-11 15,-163.73333333333326
296.6,370.75,2019-05-04 02,-74.14999999999998
312.8,391.0,2019-05-05 10,-78.19999999999999
339.0,423.75,2019-05-07 12,-84.75
284.6,355.75,2019-04-23 21,-71.14999999999998
312.8,391.0,2019-05-06 01,-78.19999999999999
286.0,357.5,2019-04-25 22,-71.5
300.6,375.75,2019-04-25 03,-75.14999999999998
297.2,371.5,2019-05-01 19,-74.30000000000001
297.2,371.5,2019-04-30 11,-74.30000000000001
286.0,357.5,2019-04-25 20,-71.5
297.2,371.5,2019-04-30 09,-74.30000000000001
328.6,410.75,2019-05-02 10,-82.14999999999998
252.4,420.66666666666674,2019-05-11 10,-168.26666666666674
262.2,437.0,2019-05-10 06,-174.8
317.6,397.0,2019-05-08 11,-79.39999999999998
284.8,356.0,2019-04-27 00,-71.19999999999999
262.0,436.66666666666674,2019-05-10 01,-174.66666666666674
353.6,442.0,2019-05-06 20,-88.39999999999998
317.0,396.25,2019-05-07 13,-79.25
261.4,435.66666666666674,2019-05-09 17,-174.26666666666677
297.2,371.5,2019-04-30 05,-74.30000000000001
260.4,434.0,2019-05-09 19,-173.60000000000002
317.2,396.5,2019-05-07 16,-79.30000000000001
312.8,391.0,2019-05-06 12,-78.19999999999999
312.8,391.0,2019-05-05 04,-78.19999999999999
298.0,372.5,2019-05-01 14,-74.5
297.2,371.5,2019-05-01 20,-74.30000000000001
284.6,355.75,2019-04-24 00,-71.14999999999998
284.6,355.75,2019-04-24 01,-71.14999999999998
312.8,391.0,2019-05-06 23,-78.19999999999999
316.4,395.5,2019-05-03 14,-79.10000000000002
297.0,371.25,2019-04-29 19,-74.25
284.8,356.0,2019-04-26 20,-71.19999999999999
320.0,400.0,2019-04-26 04,-80.0
284.8,356.0,2019-04-27 02,-71.19999999999999
305.4,381.75,2019-04-28 00,-76.35000000000002
295.2,369.0,2019-05-01 02,-73.80000000000001
286.8,358.5,2019-04-25 10,-71.69999999999999
286.8,358.5,2019-04-23 11,-71.69999999999999
296.6,370.75,2019-05-04 04,-74.14999999999998
295.4,369.25,2019-05-01 09,-73.85000000000002
314.0,392.5,2019-04-24 08,-78.5
297.2,371.5,2019-04-30 02,-74.30000000000001
330.4,413.0,2019-04-30 22,-82.60000000000002
317.4,396.75,2019-05-08 03,-79.35000000000002
298.6,373.25,2019-05-04 12,-74.64999999999998
296.8,371.0,2019-05-03 04,-74.19999999999999
286.8,358.5,2019-04-23 17,-71.69999999999999
284.8,356.0,2019-04-27 03,-71.19999999999999
317.6,397.0,2019-05-08 05,-79.39999999999998
284.6,355.75,2019-04-23 22,-71.14999999999998
286.8,358.5,2019-04-23 09,-71.69999999999999
297.2,371.5,2019-05-02 01,-74.30000000000001
262.2,437.0,2019-05-10 09,-174.8
317.0,396.25,2019-05-02 20,-79.25
316.6,395.75,2019-05-08 23,-79.14999999999998
286.4,358.0,2019-04-25 14,-71.60000000000002
296.6,370.75,2019-05-03 23,-74.14999999999998
304.0,380.0,2019-04-26 12,-76.0
286.8,358.5,2019-04-23 10,-71.69999999999999
298.6,373.25,2019-05-04 20,-74.64999999999998
316.4,395.5,2019-05-03 15,-79.10000000000002
286.8,358.5,2019-04-25 01,-71.69999999999999
317.2,396.5,2019-05-07 15,-79.30000000000001
260.6,434.33333333333326,2019-05-09 18,-173.73333333333323
143.8,719.0,2019-05-10 21,-575.2
291.0,363.75,2019-04-28 16,-72.75
295.6,369.5,2019-04-30 20,-73.89999999999998
315.4,394.25,2019-05-08 15,-78.85000000000002
290.0,362.5,2019-04-28 13,-72.5
296.0,370.0,2019-05-01 08,-74.0
262.0,436.66666666666674,2019-05-11 00,-174.66666666666674
304.4,380.5,2019-04-28 17,-76.10000000000002
295.2,369.0,2019-05-01 06,-73.80000000000001
296.6,370.75,2019-05-04 08,-74.14999999999998
290.8,363.5,2019-04-28 07,-72.69999999999999
312.8,391.0,2019-05-06 18,-78.19999999999999
339.8,424.75,2019-04-26 23,-84.94999999999999
321.2,401.5,2019-04-23 14,-80.30000000000001
290.8,363.5,2019-04-28 03,-72.69999999999999
312.8,391.0,2019-05-05 09,-78.19999999999999
297.2,371.5,2019-05-02 07,-74.30000000000001
317.6,397.0,2019-04-30 14,-79.39999999999998
315.4,394.25,2019-05-07 21,-78.85000000000002
297.2,371.5,2019-05-02 03,-74.30000000000001
300.6,375.75,2019-04-25 04,-75.14999999999998
337.6,422.0,2019-05-03 22,-84.39999999999998
297.2,371.5,2019-04-30 03,-74.30000000000001
294.6,368.25,2019-05-03 01,-73.64999999999998
290.0,362.5,2019-04-29 02,-72.5
291.4,364.25,2019-04-24 10,-72.85000000000002
285.6,357.0,2019-04-26 13,-71.39999999999998
304.6,380.75,2019-04-24 03,-76.14999999999998
312.8,391.0,2019-05-06 13,-78.19999999999999
295.8,369.75,2019-05-01 03,-73.94999999999999
312.8,391.0,2019-05-06 11,-78.19999999999999
262.0,436.66666666666674,2019-05-10 17,-174.66666666666674
287.6,359.5,2019-04-24 17,-71.89999999999998
299.2,374.0,2019-05-04 17,-74.80000000000001
294.4,368.0,2019-04-29 18,-73.60000000000002
315.0,393.75,2019-05-07 06,-78.75
317.4,396.75,2019-05-08 01,-79.35000000000002
299.8,374.75,2019-04-26 00,-74.94999999999999
315.4,394.25,2019-05-08 02,-78.85000000000002
290.8,363.5,2019-04-27 19,-72.69999999999999
320.4,400.5,2019-04-25 13,-80.10000000000002
286.0,357.5,2019-04-25 21,-71.5
208.6,521.5,2019-05-12 02,-312.9
316.8,396.0,2019-05-07 09,-79.19999999999999
216.6,541.5,2019-05-10 04,-324.9
353.6,442.0,2019-05-06 10,-88.39999999999998
315.4,394.25,2019-05-08 00,-78.85000000000002
295.2,369.0,2019-05-01 07,-73.80000000000001
301.4,376.75,2019-04-26 18,-75.35000000000002
245.6,409.33333333333326,2019-05-11 17,-163.73333333333326
358.0,447.5,2019-05-09 10,-89.5
260.2,433.66666666666674,2019-05-10 10,-173.46666666666675
304.4,380.5,2019-04-27 12,-76.10000000000002
245.6,409.33333333333326,2019-05-11 21,-163.73333333333326
287.6,359.5,2019-04-24 14,-71.89999999999998
260.8,434.66666666666674,2019-05-09 02,-173.86666666666673
290.8,363.5,2019-04-28 08,-72.69999999999999
353.6,442.0,2019-05-06 19,-88.39999999999998
298.4,373.0,2019-05-04 11,-74.60000000000002
290.8,363.5,2019-04-29 15,-72.69999999999999
289.8,362.25,2019-04-27 22,-72.44999999999999
297.2,371.5,2019-05-02 04,-74.30000000000001
290.8,363.5,2019-04-29 09,-72.69999999999999
303.6,379.5,2019-04-28 06,-75.89999999999998
302.8,504.66666666666674,2019-05-10 22,-201.86666666666673
297.2,371.5,2019-04-30 06,-74.30000000000001
259.8,433.0,2019-05-11 07,-173.2
298.0,372.5,2019-04-25 15,-74.5
311.2,389.0,2019-05-03 09,-77.80000000000001
297.2,371.5,2019-05-02 02,-74.30000000000001
330.4,413.0,2019-04-30 19,-82.60000000000002
262.0,436.66666666666674,2019-05-10 18,-174.66666666666674
298.6,373.25,2019-05-04 23,-74.64999999999998
297.4,371.75,2019-05-01 18,-74.35000000000002
262.0,436.66666666666674,2019-05-10 19,-174.66666666666674
300.2,375.25,2019-04-26 06,-75.05000000000001
290.8,363.5,2019-04-29 04,-72.69999999999999
296.6,370.75,2019-05-03 18,-74.14999999999998
297.2,371.5,2019-05-02 17,-74.30000000000001
247.6,412.66666666666674,2019-05-11 14,-165.06666666666675
305.2,381.5,2019-04-26 17,-76.30000000000001
312.8,391.0,2019-05-06 22,-78.19999999999999
284.8,474.66666666666674,2019-05-12 04,-189.86666666666673
312.8,391.0,2019-05-05 07,-78.19999999999999
297.4,371.75,2019-04-30 18,-74.35000000000002
312.8,391.0,2019-05-05 05,-78.19999999999999
