Mean_Zero,Mean,Timestamp,Delta
93.6,93.6,2019-05-10 21,0.0
93.0,93.0,2019-05-06 01,0.0
79.6,79.6,2019-04-28 02,0.0
97.2,97.2,2019-05-07 06,0.0
87.6,87.6,2019-05-03 09,0.0
82.8,103.5,2019-04-26 21,-20.700000000000003
94.8,94.8,2019-05-07 20,0.0
86.4,86.4,2019-05-04 19,0.0
85.8,107.25,2019-05-09 14,-21.450000000000003
85.8,85.8,2019-04-27 05,0.0
96.6,96.6,2019-05-08 00,0.0
93.0,93.0,2019-05-06 02,0.0
88.8,88.8,2019-04-26 11,0.0
85.2,85.2,2019-04-30 06,0.0
96.0,96.0,2019-05-01 05,0.0
86.0,86.0,2019-05-01 16,0.0
88.4,88.4,2019-04-25 02,0.0
93.6,93.6,2019-05-10 10,0.0
86.4,86.4,2019-05-02 06,0.0
73.8,123.0,2019-05-12 01,-49.2
82.0,82.0,2019-04-26 15,0.0
83.4,83.4,2019-04-28 22,0.0
92.0,92.0,2019-05-05 22,0.0
95.0,95.0,2019-05-03 10,0.0
81.4,81.4,2019-05-02 13,0.0
89.2,89.2,2019-05-05 04,0.0
94.8,94.8,2019-04-23 01,0.0
93.6,93.6,2019-04-23 15,0.0
91.8,91.8,2019-05-06 03,0.0
93.6,93.6,2019-05-06 18,0.0
90.8,90.8,2019-05-01 06,0.0
96.4,96.4,2019-05-09 03,0.0
82.0,82.0,2019-05-02 09,0.0
94.4,94.4,2019-05-08 07,0.0
79.6,79.6,2019-04-25 01,0.0
92.6,92.6,2019-04-19 18,0.0
82.2,82.2,2019-04-29 10,0.0
88.0,88.0,2019-04-22 07,0.0
85.0,85.0,2019-04-30 00,0.0
79.4,79.4,2019-04-24 23,0.0
85.0,85.0,2019-04-26 13,0.0
79.8,79.8,2019-04-27 20,0.0
102.8,102.8,2019-05-05 09,0.0
85.0,85.0,2019-04-24 20,0.0
83.2,83.2,2019-05-02 01,0.0
91.4,91.4,2019-04-21 01,0.0
83.8,83.8,2019-04-18 17,0.0
104.0,104.0,2019-05-05 18,0.0
95.2,95.2,2019-05-07 15,0.0
95.2,95.2,2019-05-11 10,0.0
74.4,93.0,2019-05-10 03,-18.599999999999994
90.4,90.4,2019-04-28 15,0.0
83.8,104.75,2019-05-11 23,-20.950000000000003
86.6,86.6,2019-04-21 15,0.0
96.6,96.6,2019-05-04 04,0.0
93.2,93.2,2019-05-04 07,0.0
103.2,103.2,2019-05-08 05,0.0
96.2,96.2,2019-05-08 17,0.0
91.8,91.8,2019-05-05 19,0.0
93.0,93.0,2019-04-19 10,0.0
93.2,93.2,2019-04-22 18,0.0
80.6,80.6,2019-05-02 08,0.0
85.8,85.8,2019-04-30 23,0.0
93.8,93.8,2019-04-21 12,0.0
87.4,87.4,2019-05-01 21,0.0
99.0,99.0,2019-05-05 11,0.0
93.2,93.2,2019-05-05 16,0.0
93.8,93.8,2019-04-22 02,0.0
74.2,92.75,2019-05-10 07,-18.549999999999997
90.2,112.75,2019-04-29 07,-22.549999999999997
85.8,85.8,2019-04-23 12,0.0
84.8,84.8,2019-04-30 18,0.0
87.6,109.5,2019-04-30 19,-21.900000000000006
80.2,80.2,2019-04-25 12,0.0
88.2,88.2,2019-04-23 16,0.0
94.0,94.0,2019-04-23 02,0.0
90.8,90.8,2019-05-01 19,0.0
95.2,95.2,2019-05-11 08,0.0
86.0,86.0,2019-04-25 06,0.0
79.0,79.0,2019-04-25 22,0.0
90.4,90.4,2019-05-05 06,0.0
83.2,83.2,2019-04-29 16,0.0
84.4,84.4,2019-04-18 22,0.0
94.6,94.6,2019-04-21 20,0.0
88.4,88.4,2019-05-04 10,0.0
79.8,79.8,2019-04-25 14,0.0
86.4,86.4,2019-04-30 16,0.0
88.4,88.4,2019-04-23 05,0.0
83.6,83.6,2019-04-26 17,0.0
95.2,95.2,2019-05-02 22,0.0
56.8,71.0,2019-05-12 00,-14.200000000000003
88.0,88.0,2019-04-23 07,0.0
92.6,92.6,2019-05-02 04,0.0
84.4,84.4,2019-04-28 11,0.0
88.6,88.6,2019-05-07 12,0.0
95.2,95.2,2019-04-29 21,0.0
85.6,85.6,2019-04-21 02,0.0
86.0,86.0,2019-04-24 10,0.0
82.8,82.8,2019-04-29 20,0.0
87.2,87.2,2019-04-21 03,0.0
85.6,85.6,2019-04-28 16,0.0
82.2,82.2,2019-04-27 00,0.0
85.0,85.0,2019-05-03 22,0.0
82.0,82.0,2019-04-29 04,0.0
91.6,91.6,2019-05-06 19,0.0
91.8,91.8,2019-05-05 23,0.0
93.2,116.5,2019-05-07 07,-23.299999999999997
93.8,93.8,2019-04-22 12,0.0
87.2,87.2,2019-04-22 16,0.0
87.8,87.8,2019-05-04 09,0.0
80.2,80.2,2019-04-25 11,0.0
96.2,96.2,2019-05-11 03,0.0
90.6,90.6,2019-04-24 21,0.0
82.0,82.0,2019-05-02 18,0.0
100.2,100.2,2019-05-02 19,0.0
96.2,96.2,2019-05-11 00,0.0
91.6,91.6,2019-04-30 07,0.0
97.4,97.4,2019-05-06 04,0.0
80.6,80.6,2019-04-25 23,0.0
92.2,92.2,2019-05-07 05,0.0
85.8,85.8,2019-04-24 01,0.0
85.2,85.2,2019-05-01 02,0.0
89.0,89.0,2019-04-20 01,0.0
91.8,91.8,2019-05-06 08,0.0
98.2,98.2,2019-05-08 02,0.0
94.6,94.6,2019-05-03 03,0.0
85.4,85.4,2019-04-28 10,0.0
85.6,85.6,2019-04-28 14,0.0
63.0,78.75,2019-05-10 05,-15.75
100.2,100.2,2019-04-18 23,0.0
91.4,91.4,2019-04-21 04,0.0
88.4,88.4,2019-04-22 05,0.0
98.6,98.6,2019-05-03 15,0.0
91.0,91.0,2019-04-24 18,0.0
90.4,90.4,2019-05-01 17,0.0
94.2,94.2,2019-04-21 19,0.0
95.6,95.6,2019-05-01 01,0.0
83.0,83.0,2019-04-29 03,0.0
83.8,83.8,2019-04-19 02,0.0
83.8,83.8,2019-04-18 21,0.0
88.0,88.0,2019-04-29 08,0.0
85.2,85.2,2019-05-04 02,0.0
99.6,99.6,2019-05-07 18,0.0
96.6,96.6,2019-05-05 10,0.0
98.0,98.0,2019-05-09 05,0.0
90.2,90.2,2019-04-19 12,0.0
84.6,84.6,2019-04-26 08,0.0
88.4,88.4,2019-04-23 00,0.0
97.0,97.0,2019-05-06 06,0.0
85.4,85.4,2019-04-26 19,0.0
85.6,85.6,2019-04-27 14,0.0
83.8,83.8,2019-04-29 14,0.0
87.8,87.8,2019-05-03 04,0.0
84.0,84.0,2019-05-01 04,0.0
90.6,113.25,2019-04-26 03,-22.650000000000006
85.0,85.0,2019-05-03 21,0.0
92.0,92.0,2019-05-06 09,0.0
86.2,86.2,2019-04-24 22,0.0
96.6,96.6,2019-05-11 16,0.0
86.4,86.4,2019-05-04 08,0.0
83.2,104.0,2019-05-11 04,-20.799999999999997
89.4,89.4,2019-05-05 01,0.0
85.8,85.8,2019-05-01 18,0.0
88.2,88.2,2019-05-03 17,0.0
84.6,84.6,2019-05-01 22,0.0
93.8,93.8,2019-05-05 12,0.0
96.2,96.2,2019-05-11 15,0.0
96.2,96.2,2019-05-11 12,0.0
101.0,101.0,2019-05-04 00,0.0
94.6,94.6,2019-04-21 21,0.0
46.0,76.66666666666667,2019-05-10 06,-30.66666666666667
89.2,89.2,2019-04-23 14,0.0
96.2,96.2,2019-05-11 19,0.0
91.2,91.2,2019-04-30 12,0.0
78.8,78.8,2019-04-27 19,0.0
93.6,93.6,2019-05-08 12,0.0
87.6,87.6,2019-04-26 05,0.0
96.4,96.4,2019-05-09 00,0.0
93.4,93.4,2019-05-03 07,0.0
84.4,84.4,2019-04-29 17,0.0
83.0,83.0,2019-04-29 01,0.0
89.6,89.6,2019-05-03 05,0.0
