Mean_Zero,Mean,Timestamp,Delta
171.0,171.0,2019-04-19 08,0.0
193.8,193.8,2019-05-08 13,0.0
182.4,182.4,2019-04-26 12,0.0
146.4,183.0,2019-05-09 03,-36.599999999999994
181.4,181.4,2019-04-28 11,0.0
180.8,180.8,2019-05-04 08,0.0
181.0,181.0,2019-04-24 04,0.0
184.6,184.6,2019-05-06 07,0.0
184.0,184.0,2019-05-11 15,0.0
176.8,176.8,2019-04-27 02,0.0
179.0,179.0,2019-05-02 13,0.0
184.8,184.8,2019-05-08 15,0.0
180.0,180.0,2019-04-24 03,0.0
182.8,182.8,2019-05-01 01,0.0
197.0,197.0,2019-05-08 02,0.0
185.0,185.0,2019-05-04 07,0.0
181.6,181.6,2019-04-24 06,0.0
184.6,184.6,2019-05-07 01,0.0
167.6,167.6,2019-04-22 15,0.0
184.6,184.6,2019-05-05 06,0.0
182.8,182.8,2019-04-25 05,0.0
181.2,181.2,2019-05-04 16,0.0
173.4,173.4,2019-04-22 08,0.0
186.6,186.6,2019-05-03 03,0.0
181.0,181.0,2019-05-01 23,0.0
179.6,179.6,2019-04-23 15,0.0
197.0,197.0,2019-05-08 06,0.0
176.8,176.8,2019-04-27 19,0.0
177.8,177.8,2019-05-03 18,0.0
179.6,179.6,2019-04-23 12,0.0
153.6,192.0,2019-05-10 20,-38.400000000000006
184.6,184.6,2019-05-07 03,0.0
171.2,171.2,2019-04-19 10,0.0
179.2,179.2,2019-04-23 03,0.0
176.2,176.2,2019-04-21 22,0.0
181.4,181.4,2019-05-04 10,0.0
171.0,171.0,2019-04-18 23,0.0
184.0,184.0,2019-05-03 14,0.0
146.2,182.75,2019-05-09 18,-36.55000000000001
175.0,175.0,2019-04-22 10,0.0
186.2,186.2,2019-05-06 13,0.0
177.8,177.8,2019-04-27 16,0.0
187.0,187.0,2019-05-05 16,0.0
169.2,169.2,2019-04-22 09,0.0
180.6,180.6,2019-04-29 20,0.0
182.6,182.6,2019-05-05 12,0.0
195.2,195.2,2019-05-07 10,0.0
171.0,171.0,2019-04-20 16,0.0
182.6,182.6,2019-05-02 11,0.0
181.0,181.0,2019-04-27 03,0.0
184.6,184.6,2019-05-02 21,0.0
178.4,178.4,2019-05-01 02,0.0
179.6,179.6,2019-04-24 16,0.0
197.0,197.0,2019-05-08 10,0.0
184.4,184.4,2019-04-25 18,0.0
