1,2,3,4,5,6,7,8,9,10,11
111,0.865,0.94,0.94,1.032,0.865,0.94,0.94,0.94,0.94,0.943,1.026
112,0.94,0.94,1.032,0.865,0.94,0.94,0.94,0.94,0.943,1.026,0.865
113,0.94,1.032,0.865,0.94,0.94,0.94,0.94,0.943,1.026,0.865,1.026
114,1.032,0.865,0.94,0.94,0.94,0.94,0.943,1.026,0.865,1.026,1.023
115,0.865,0.94,0.94,0.94,0.94,0.943,1.026,0.865,1.026,1.023,0.842
116,0.94,0.94,0.94,0.94,0.943,1.026,0.865,1.026,1.023,0.842,1.026
117,0.94,0.94,0.94,0.943,1.026,0.865,1.026,1.023,0.842,1.026,0.943
118,0.94,0.94,0.943,1.026,0.865,1.026,1.023,0.842,1.026,0.943,0.943
119,0.94,0.943,1.026,0.865,1.026,1.023,0.842,1.026,0.943,0.943,1.037
120,0.943,1.026,0.865,1.026,1.023,0.842,1.026,0.943,0.943,1.037,0.94
121,1.026,0.865,1.026,1.023,0.842,1.026,0.943,0.943,1.037,0.94,0.94
122,0.865,1.026,1.023,0.842,1.026,0.943,0.943,1.037,0.94,0.94,0.94
123,1.026,1.023,0.842,1.026,0.943,0.943,1.037,0.94,0.94,0.94,1.011
124,1.023,0.842,1.026,0.943,0.943,1.037,0.94,0.94,0.94,1.011,1.026
125,0.842,1.026,0.943,0.943,1.037,0.94,0.94,0.94,1.011,1.026,0.842
126,1.026,0.943,0.943,1.037,0.94,0.94,0.94,1.011,1.026,0.842,0.94
127,0.943,0.943,1.037,0.94,0.94,0.94,1.011,1.026,0.842,0.94,0.865
128,0.943,1.037,0.94,0.94,0.94,1.011,1.026,0.842,0.94,0.865,1.026
129,1.037,0.94,0.94,0.94,1.011,1.026,0.842,0.94,0.865,1.026,0.94
130,0.94,0.94,0.94,1.011,1.026,0.842,0.94,0.865,1.026,0.94,0.94
131,0.94,0.94,1.011,1.026,0.842,0.94,0.865,1.026,0.94,0.94,0.94
132,0.94,1.011,1.026,0.842,0.94,0.865,1.026,0.94,0.94,0.94,0.94
133,1.011,1.026,0.842,0.94,0.865,1.026,0.94,0.94,0.94,0.94,0.94
134,1.026,0.842,0.94,0.865,1.026,0.94,0.94,0.94,0.94,0.94,1.026
135,0.842,0.94,0.865,1.026,0.94,0.94,0.94,0.94,0.94,1.026,1.026
136,0.94,0.865,1.026,0.94,0.94,0.94,0.94,0.94,1.026,1.026,1.026
137,0.865,1.026,0.94,0.94,0.94,0.94,0.94,1.026,1.026,1.026,1.026
138,1.026,0.94,0.94,0.94,0.94,0.94,1.026,1.026,1.026,1.026,1.034
139,0.94,0.94,0.94,0.94,0.94,1.026,1.026,1.026,1.026,1.034,0.865
140,0.94,0.94,0.94,0.94,1.026,1.026,1.026,1.026,1.034,0.865,1.029
141,0.94,0.94,0.94,1.026,1.026,1.026,1.026,1.034,0.865,1.029,0.937
142,0.94,0.94,1.026,1.026,1.026,1.026,1.034,0.865,1.029,0.937,1.029
143,0.94,1.026,1.026,1.026,1.026,1.034,0.865,1.029,0.937,1.029,0.937
144,1.026,1.026,1.026,1.026,1.034,0.865,1.029,0.937,1.029,0.937,0.937
145,1.026,1.026,1.026,1.034,0.865,1.029,0.937,1.029,0.937,0.937,1.029
146,1.026,1.026,1.034,0.865,1.029,0.937,1.029,0.937,0.937,1.029,0.937
147,1.026,1.034,0.865,1.029,0.937,1.029,0.937,0.937,1.029,0.937,0.845
148,1.034,0.865,1.029,0.937,1.029,0.937,0.937,1.029,0.937,0.845,0.937
149,0.865,1.029,0.937,1.029,0.937,0.937,1.029,0.937,0.845,0.937,0.937
150,1.029,0.937,1.029,0.937,0.937,1.029,0.937,0.845,0.937,0.937,1.029
151,0.937,1.029,0.937,0.937,1.029,0.937,0.845,0.937,0.937,1.029,0.937
152,1.029,0.937,0.937,1.029,0.937,0.845,0.937,0.937,1.029,0.937,1.029
153,0.937,0.937,1.029,0.937,0.845,0.937,0.937,1.029,0.937,1.029,0.937
154,0.937,1.029,0.937,0.845,0.937,0.937,1.029,0.937,1.029,0.937,1.029
155,1.029,0.937,0.845,0.937,0.937,1.029,0.937,1.029,0.937,1.029,0.937
156,0.937,0.845,0.937,0.937,1.029,0.937,1.029,0.937,1.029,0.937,0.937
157,0.845,0.937,0.937,1.029,0.937,1.029,0.937,1.029,0.937,0.937,1.029
158,0.937,0.937,1.029,0.937,1.029,0.937,1.029,0.937,0.937,1.029,0.937
159,0.937,1.029,0.937,1.029,0.937,1.029,0.937,0.937,1.029,0.937,1.032
160,1.029,0.937,1.029,0.937,1.029,0.937,0.937,1.029,0.937,1.032,0.848
161,0.937,1.029,0.937,1.029,0.937,0.937,1.029,0.937,1.032,0.848,1.032
162,1.029,0.937,1.029,0.937,0.937,1.029,0.937,1.032,0.848,1.032,1.037
163,0.937,1.029,0.937,0.937,1.029,0.937,1.032,0.848,1.032,1.037,0.937
164,1.029,0.937,0.937,1.029,0.937,1.032,0.848,1.032,1.037,0.937,1.029
165,0.937,0.937,1.029,0.937,1.032,0.848,1.032,1.037,0.937,1.029,0.937
166,0.937,1.029,0.937,1.032,0.848,1.032,1.037,0.937,1.029,0.937,0.937
167,1.029,0.937,1.032,0.848,1.032,1.037,0.937,1.029,0.937,0.937,0.937
168,0.937,1.032,0.848,1.032,1.037,0.937,1.029,0.937,0.937,0.937,0.842
169,1.032,0.848,1.032,1.037,0.937,1.029,0.937,0.937,0.937,0.842,0.842
170,0.848,1.032,1.037,0.937,1.029,0.937,0.937,0.937,0.842,0.842,1.029
171,1.032,1.037,0.937,1.029,0.937,0.937,0.937,0.842,0.842,1.029,0.937
172,1.037,0.937,1.029,0.937,0.937,0.937,0.842,0.842,1.029,0.937,1.029
173,0.937,1.029,0.937,0.937,0.937,0.842,0.842,1.029,0.937,1.029,0.865
174,1.029,0.937,0.937,0.937,0.842,0.842,1.029,0.937,1.029,0.865,0.865
175,0.937,0.937,0.937,0.842,0.842,1.029,0.937,1.029,0.865,0.865,1.023
176,0.937,0.937,0.842,0.842,1.029,0.937,1.029,0.865,0.865,1.023,0.937
177,0.937,0.842,0.842,1.029,0.937,1.029,0.865,0.865,1.023,0.937,0.937
178,0.842,0.842,1.029,0.937,1.029,0.865,0.865,1.023,0.937,0.937,1.023
179,0.842,1.029,0.937,1.029,0.865,0.865,1.023,0.937,0.937,1.023,0.937
180,1.029,0.937,1.029,0.865,0.865,1.023,0.937,0.937,1.023,0.937,0.862
181,0.937,1.029,0.865,0.865,1.023,0.937,0.937,1.023,0.937,0.862,0.94
182,1.029,0.865,0.865,1.023,0.937,0.937,1.023,0.937,0.862,0.94,0.94
