@relation Hotelpreis

@attribute Preis numeric
@attribute Timestamp date "yyyy-MM-dd HH:mm:ss"
@attribute Class {Influencer,NoInfluencer}
@attribute Name {"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91",}

@data
0,2019-04-23 10:20:02.059205,NoInfluencer,1
0,2019-04-27 09:20:01.527672,NoInfluencer,1
0,2019-04-28 02:20:01.105446,NoInfluencer,1
0,2019-04-25 13:20:01.834388,NoInfluencer,1
0,2019-05-09 09:12:01.723815,NoInfluencer,1
0,2019-05-08 19:12:00.834605,NoInfluencer,1
0,2019-05-09 06:12:01.117651,NoInfluencer,1
0,2019-04-30 18:12:01.821418,NoInfluencer,1
0,2019-05-03 11:12:00.736604,NoInfluencer,1
0,2019-04-25 19:20:01.125846,NoInfluencer,1
0,2019-04-21 22:20:01.521867,NoInfluencer,1
0,2019-05-01 15:12:01.282244,NoInfluencer,1
0,2019-05-11 03:12:01.637545,NoInfluencer,1
0,2019-04-20 01:09:31.570786,NoInfluencer,1
0,2019-05-12 05:12:01.623704,NoInfluencer,1
0,2019-04-29 20:20:01.146551,NoInfluencer,1
0,2019-04-29 17:20:01.389936,NoInfluencer,1
0,2019-04-27 10:20:00.995652,NoInfluencer,1
0,2019-05-08 05:12:01.374776,NoInfluencer,1
0,2019-05-04 13:12:01.252282,NoInfluencer,1
0,2019-04-24 20:20:01.533605,NoInfluencer,1
0,2019-05-07 11:12:01.761869,NoInfluencer,1
0,2019-05-10 01:12:01.587114,NoInfluencer,1
0,2019-04-29 21:20:01.926694,NoInfluencer,1
0,2019-04-30 02:49:01.907332,NoInfluencer,1
0,2019-04-23 17:20:01.621761,NoInfluencer,1
0,2019-04-25 22:20:01.026978,NoInfluencer,1
0,2019-05-11 10:12:01.592729,NoInfluencer,1
0,2019-05-02 01:12:01.191907,NoInfluencer,1
0,2019-05-07 05:12:01.720437,NoInfluencer,1
0,2019-04-29 10:20:01.313901,NoInfluencer,1
0,2019-05-04 07:12:01.398161,NoInfluencer,1
0,2019-05-01 07:12:01.799314,NoInfluencer,1
0,2019-05-11 05:12:01.513439,NoInfluencer,1
0,2019-05-03 05:12:01.406631,NoInfluencer,1
0,2019-04-28 09:20:01.094992,NoInfluencer,1
0,2019-05-09 23:12:01.293160,NoInfluencer,1
0,2019-04-27 01:20:01.038571,NoInfluencer,1
0,2019-04-24 01:20:01.392921,NoInfluencer,1
0,2019-04-30 04:13:02.046272,NoInfluencer,1
0,2019-05-08 03:12:01.157980,NoInfluencer,1
0,2019-04-27 05:20:01.509110,NoInfluencer,1
0,2019-05-11 19:12:01.378384,NoInfluencer,1
0,2019-05-10 15:12:01.172501,NoInfluencer,1
0,2019-05-04 14:12:01.302858,NoInfluencer,1
0,2019-04-29 04:20:01.551077,NoInfluencer,1
0,2019-05-08 18:12:01.719990,NoInfluencer,1
0,2019-05-04 20:12:01.723453,NoInfluencer,1
0,2019-05-03 00:12:01.451526,NoInfluencer,1
0,2019-04-26 15:20:01.440396,NoInfluencer,1
0,2019-05-05 20:12:01.662736,NoInfluencer,1
0,2019-05-03 21:12:01.123989,NoInfluencer,1
0,2019-04-23 08:57:00.650075,NoInfluencer,1
0,2019-05-05 00:12:00.884891,NoInfluencer,1
0,2019-04-19 14:05:02.024507,NoInfluencer,1
0,2019-04-23 23:20:01.609027,NoInfluencer,1
0,2019-04-26 11:20:01.230904,NoInfluencer,1
0,2019-04-30 07:13:01.466702,NoInfluencer,1
0,2019-05-02 20:12:00.987120,NoInfluencer,1
0,2019-04-25 09:20:01.817283,NoInfluencer,1
0,2019-04-27 11:20:01.150147,NoInfluencer,1
0,2019-04-23 07:20:01.920027,NoInfluencer,1
0,2019-05-11 12:12:01.347357,NoInfluencer,1
0,2019-04-24 19:20:01.061854,NoInfluencer,1
0,2019-04-23 18:20:02.035026,NoInfluencer,1
0,2019-04-30 10:13:01.917899,NoInfluencer,1
0,2019-05-01 20:51:00.824488,NoInfluencer,1
