price_per_night;timestamp,Influencer_or_Not
 294;2019-05-08 17,Influencer
 371;2019-04-21 14,Influencer
 281;2019-04-27 14,Influencer
 282;2019-05-07 05,Influencer
 234;2019-05-04 09,Influencer
 276;2019-05-10 18,Influencer
 378;2019-04-19 04,Influencer
 235;2019-04-22 11,Influencer
 281;2019-04-28 01,Influencer
 255;2019-05-03 19,Influencer
 283;2019-04-25 00,Influencer
 362;2019-05-07 19,Influencer
 378;2019-04-25 05,Influencer
 233;2019-04-22 07,Influencer
 281;2019-05-05 11,Influencer
 282;2019-05-01 05,Influencer
 276;2019-05-10 20,Influencer
 282;2019-05-02 22,Influencer
 255;2019-05-03 18,Influencer
 234;2019-05-04 19,Influencer
 281;2019-05-05 08,Influencer
 271;2019-04-26 09,Influencer
 281;2019-04-28 22,Influencer
 372;2019-04-23 07,Influencer
 283;2019-04-24 17,Influencer
 281;2019-04-30 19,Influencer
 282;2019-05-01 16,Influencer
 282;2019-05-03 13,Influencer
 363;2019-05-02 16,Influencer
 371;2019-04-22 15,Influencer
 281;2019-04-30 03,Influencer
 281;2019-05-05 03,Influencer
 282;2019-05-02 10,Influencer
 283;2019-04-24 22,Influencer
 275;2019-05-10 04,Influencer
 371;2019-04-23 03,Influencer
 293;2019-05-06 15,Influencer
 293;2019-05-07 10,Influencer
 281;2019-05-06 08,Influencer
 275;2019-05-10 23,Influencer
 281;2019-04-29 10,Influencer
 281;2019-05-05 15,Influencer
 281;2019-05-06 23,Influencer
 293;2019-04-19 12,Influencer
 295;2019-04-19 08,Influencer
 282;2019-05-02 14,Influencer
 281;2019-05-02 00,Influencer
 372;2019-04-23 17,Influencer
 361;2019-04-30 07,Influencer
 363;2019-04-20 17,Influencer
 295;2019-04-19 05,Influencer
 281;2019-05-06 06,Influencer
 281;2019-05-04 20,Influencer
 281;2019-05-05 21,Influencer
 282;2019-05-02 07,Influencer
 362;2019-04-29 05,Influencer
 275;2019-05-11 17,Influencer
 281;2019-04-30 06,Influencer
 276;2019-05-08 10,Influencer
 372;2019-04-23 23,Influencer
 276;2019-05-09 07,Influencer
 235;2019-05-01 21,Influencer
 276;2019-05-09 17,Influencer
 281;2019-04-29 06,Influencer
 281;2019-05-01 17,Influencer
 282;2019-05-03 01,Influencer
 276;2019-05-08 01,Influencer
 371;2019-04-21 03,Influencer
 233;2019-04-22 03,Influencer
 371;2019-04-23 01,Influencer
 281;2019-05-04 21,Influencer
 293;2019-04-19 01,Influencer
 276;2019-05-09 01,Influencer
 235;2019-04-22 09,Influencer
 281;2019-05-02 01,Influencer
 371;2019-04-18 16,Influencer
 235;2019-04-22 06,Influencer
 281;2019-04-30 12,Influencer
 281;2019-04-27 20,Influencer
 371;2019-04-20 23,Influencer
 282;2019-05-07 07,Influencer
 281;2019-05-05 17,Influencer
 275;2019-05-09 21,Influencer
 281;2019-05-05 02,Influencer
 363;2019-04-21 22,Influencer
 276;2019-05-10 17,Influencer
 283;2019-04-24 20,Influencer
 281;2019-04-27 05,Influencer
 294;2019-05-08 19,Influencer
 371;2019-04-21 09,Influencer
 282;2019-05-01 13,Influencer
 276;2019-05-10 16,Influencer
 378;2019-04-25 09,Influencer
 282;2019-05-03 14,Influencer
 235;2019-05-02 06,Influencer
 276;2019-05-08 12,Influencer
 371;2019-04-18 15,Influencer
 281;2019-04-28 13,Influencer
 371;2019-04-18 15,Influencer
 281;2019-04-27 10,Influencer
 371;2019-04-18 15,Influencer
 232;2019-04-28 20,Influencer
 293;2019-04-19 00,Influencer
 281;2019-04-27 03,Influencer
 233;2019-04-21 21,Influencer
 281;2019-04-26 22,Influencer
 293;2019-04-19 09,Influencer
 378;2019-04-24 05,Influencer
 232;2019-04-27 21,Influencer
 276;2019-05-09 15,Influencer
 281;2019-04-29 07,Influencer
 371;2019-04-21 04,Influencer
 362;2019-05-04 13,Influencer
 282;2019-05-02 08,Influencer
 322;2019-05-01 04,Influencer
 281;2019-04-30 02,Influencer
 281;2019-04-28 04,Influencer
 276;2019-05-08 11,Influencer
 281;2019-04-26 10,Influencer
 281;2019-05-06 05,Influencer
 371;2019-04-20 22,Influencer
 281;2019-04-27 00,Influencer
 276;2019-05-09 06,Influencer
 276;2019-05-10 19,Influencer
 282;2019-05-02 21,Influencer
 281;2019-04-27 22,Influencer
 276;2019-05-09 05,Influencer
 378;2019-04-26 07,Influencer
 311;2019-05-07 20,Influencer
 282;2019-05-04 01,Influencer
 282;2019-04-30 21,Influencer
 281;2019-04-28 12,Influencer
 276;2019-05-08 08,Influencer
 293;2019-05-07 18,Influencer
 372;2019-04-23 11,Influencer
 281;2019-04-25 16,Influencer
 281;2019-05-04 10,Influencer
 281;2019-04-30 15,Influencer
 281;2019-04-30 16,Influencer
 371;2019-04-20 21,Influencer
 281;2019-04-29 14,Influencer
 372;2019-04-24 06,Influencer
 282;2019-04-30 22,Influencer
 282;2019-05-07 12,Influencer
 282;2019-05-07 08,Influencer
 363;2019-05-02 18,Influencer
 372;2019-04-24 11,Influencer
 275;2019-05-11 06,Influencer
 282;2019-05-03 08,Influencer
 276;2019-05-10 15,Influencer
 234;2019-05-04 11,Influencer
 281;2019-05-05 14,Influencer
 322;2019-05-02 19,Influencer
 361;2019-04-30 02,Influencer
 281;2019-04-30 03,Influencer
 275;2019-05-11 18,Influencer
 363;2019-05-01 18,Influencer
 276;2019-05-10 13,Influencer
 371;2019-04-22 21,Influencer
 275;2019-05-11 14,Influencer
 371;2019-04-22 18,Influencer
 283;2019-04-25 03,Influencer
 281;2019-05-05 00,Influencer
0;2019-05-11 02,Influencer
 235;2019-04-22 08,Influencer
 281;2019-04-29 08,Influencer
 281;2019-04-29 02,Influencer
 282;2019-05-03 12,Influencer
 234;2019-05-04 18,Influencer
 234;2019-05-04 22,Influencer
 281;2019-05-05 20,Influencer
 281;2019-04-27 08,Influencer
 362;2019-05-01 02,Influencer
 282;2019-05-02 20,Influencer
 235;2019-04-21 20,Influencer
 281;2019-05-06 22,Influencer
 281;2019-05-04 14,Influencer
 281;2019-04-28 05,Influencer
 371;2019-04-21 10,Influencer
 275;2019-05-11 13,Influencer
 311;2019-05-07 15,Influencer
 362;2019-05-07 21,Influencer
 382;2019-05-02 17,Influencer
 281;2019-04-25 23,Influencer
 281;2019-04-27 01,Influencer
 275;2019-05-11 07,Influencer
 378;2019-04-19 03,Influencer
 363;2019-04-24 10,Influencer
 281;2019-04-27 06,Influencer
 363;2019-05-10 00,Influencer
 372;2019-04-24 03,Influencer
