2019-04-17 17:40:49.699312,platform_name,price_per_night,timestamp
,, 885,2019-05-09 11:12:01.129033
,, 884,2019-04-28 13:20:01.556824
,, 885,2019-04-24 23:20:01.534585
,, 884,2019-04-29 20:20:01.174972
,," 1,933",2019-05-07 02:12:01.598546
,, 876,2019-04-18 22:05:01.409088
,, 884,2019-04-30 02:36:01.525220
,, 880,2019-05-10 10:12:01.360526
,, 885,2019-04-26 01:20:01.712651
,, 884,2019-05-08 04:12:01.085204
,, 884,2019-04-29 05:20:01.091044
,, 881,2019-05-04 07:12:01.390240
,, 884,2019-04-29 02:20:01.394532
,, 884,2019-05-03 02:12:01.793484
,, 884,2019-05-01 14:12:01.714429
,, 885,2019-04-25 23:20:02.125770
,, 881,2019-05-04 10:12:01.588220
,," 1,930",2019-04-22 06:20:01.457211
,, 884,2019-04-27 20:20:01.489390
,, 877,2019-05-11 04:12:01.659074
,, 880,2019-04-21 09:20:01.954046
,," 1,934",2019-05-04 16:12:01.518697
,, 882,2019-05-02 21:12:01.221838
,, 884,2019-04-30 18:12:01.831220
,," 2,029",2019-05-11 13:12:01.539499
,, 884,2019-04-28 02:20:01.105462
,, 881,2019-05-05 02:12:01.392462
,, 877,2019-05-12 08:12:01.462917
,, 884,2019-04-27 15:20:01.850964
,, 884,2019-04-27 17:20:01.144382
,," 1,933",2019-05-01 09:12:01.291673
,, 884,2019-04-29 04:20:01.578287
,, 884,2019-05-03 11:12:00.737111
,, 884,2019-05-03 19:12:01.345457
,, 884,2019-05-01 03:12:02.105269
,," 1,936",2019-05-03 17:12:01.090238
,, 880,2019-05-10 22:12:01.011487
,," 1,930",2019-04-28 08:20:01.649875
,," 1,935",2019-05-10 19:12:01.436157
,, 884,2019-04-28 14:20:01.690928
,, 880,2019-04-24 00:20:01.252788
,, 881,2019-05-06 12:12:00.964227
,, 880,2019-04-19 04:05:01.728225
,, 880,2019-04-21 19:20:01.614233
,, 880,2019-04-20 08:49:24.413005
,, 876,2019-04-18 17:05:01.561716
,, 884,2019-05-08 11:12:01.139553
,," 1,937",2019-05-09 02:12:01.108098
,, 880,2019-04-22 03:20:01.655112
,, 877,2019-05-11 05:12:01.513439
,, 880,2019-04-21 20:20:01.508109
,, 880,2019-04-22 01:20:01.080754
,," 1,930",2019-04-28 11:20:01.460629
,, 880,2019-04-21 12:20:01.332739
,, 881,2019-05-05 22:12:01.761775
,, 884,2019-04-28 17:20:01.867255
,, 882,2019-05-07 04:12:01.372986
,, 885,2019-05-09 13:12:01.689869
,, 884,2019-04-30 00:20:01.248897
,," 1,933",2019-05-06 11:12:01.471467
,," 1,931",2019-04-27 07:20:01.135700
,," 1,936",2019-05-03 13:12:00.898888
,, 885,2019-04-26 14:20:01.678312
,, 884,2019-04-27 04:20:01.699942
,," 1,932",2019-04-24 08:20:01.625275
,, 884,2019-04-28 05:20:01.340562
,, 885,2019-04-24 16:20:00.985369
,, 884,2019-05-08 20:12:01.652283
,, 881,2019-05-04 09:12:01.740102
,," 1,932",2019-04-23 18:20:01.953732
,, 880,2019-04-19 03:05:01.188968
,, 881,2019-05-05 11:12:01.010453
,, 881,2019-05-05 15:12:01.426829
,, 884,2019-05-01 17:12:01.691288
,," 1,932",2019-04-23 19:20:01.538007
,, 885,2019-05-09 08:12:01.493515
,, 880,2019-04-21 15:20:01.310564
,, 880,2019-04-23 20:20:00.948623
,, 882,2019-05-02 20:12:00.984919
,, 880,2019-04-21 05:20:01.137868
,," 1,933",2019-05-01 11:12:02.002268
,, 881,2019-05-05 08:12:01.723761
,, 881,2019-05-06 20:12:01.743994
,, 884,2019-05-08 07:12:01.538512
,, 885,2019-05-09 06:12:01.114945
,," 1,937",2019-05-08 13:12:01.129097
,, 885,2019-04-24 15:20:00.956864
,, 880,2019-04-23 12:20:01.079076
,, 881,2019-05-04 11:12:01.448847
,," 1,938",2019-05-02 19:12:01.496699
,, 881,2019-05-04 21:12:01.057885
,, 880,2019-04-22 07:20:01.624017
,, 880,2019-04-21 21:20:01.722401
,, 884,2019-04-30 06:13:01.647519
,, 880,2019-04-19 08:05:01.380301
,," 1,938",2019-05-10 02:12:01.178864
,, 880,2019-05-11 01:12:01.438687
,," 1,933",2019-05-06 06:12:01.677381
,, 884,2019-04-27 02:20:01.152441
,," 1,935",2019-05-10 12:12:01.665297
,, 880,2019-04-21 16:20:01.930093
,," 1,930",2019-04-27 18:20:01.931488
,, 880,2019-04-22 11:20:01.333289
,, 885,2019-04-26 10:20:01.736780
,, 884,2019-04-29 22:20:01.284254
,," 1,936",2019-05-04 06:12:00.830918
,, 881,2019-05-06 01:12:01.504609
,, 881,2019-05-06 22:12:01.357908
,," 1,933",2019-05-01 08:12:01.549478
,, 884,2019-05-08 19:12:00.836398
,, 885,2019-04-25 11:20:01.551022
,, 884,2019-05-01 23:12:01.298011
,, 880,2019-05-10 07:12:01.549990
,, 884,2019-04-30 02:41:01.624697
,, 885,2019-04-26 03:20:01.445948
,, 881,2019-05-04 13:12:01.268437
,," 1,933",2019-05-07 00:12:00.925293
,, 880,2019-05-10 03:12:01.306401
,, 884,2019-04-27 06:20:01.210053
,, 884,2019-04-27 13:20:01.799206
,," 1,935",2019-05-10 23:12:01.596994
,, 876,2019-04-18 19:05:00.967654
,, 880,2019-04-22 16:20:01.938059
,, 876,2019-04-18 18:05:01.092438
,, 884,2019-05-03 18:12:00.837442
,, 884,2019-04-27 23:20:00.997533
,, 880,2019-05-10 20:12:01.703941
,," 1,939",2019-05-02 04:12:00.854604
,,0,2019-05-11 19:12:01.411882
,, 884,2019-05-01 04:12:02.204006
,, 884,2019-04-29 14:20:01.110751
,, 885,2019-04-25 20:20:01.614074
,, 884,2019-05-01 01:12:02.262238
,, 885,2019-04-26 16:20:01.229179
,, 876,2019-04-19 00:05:01.528603
,, 884,2019-04-29 11:20:01.563242
,, 880,2019-04-20 19:20:01.795642
,, 880,2019-04-23 13:20:01.414413
,," 1,938",2019-04-26 07:20:01.183267
,," 1,938",2019-05-03 00:12:01.457293
,, 881,2019-05-06 00:12:01.139716
,, 880,2019-04-22 14:20:01.236673
,, 881,2019-05-05 06:12:00.773040
