2019-02-27 14:01:00,b'Da kann ja heute eigentlich nichts schief gehen. #rotblaulive https://t.co/vWYPCg0LQc'
2019-02-27 13:20:30,b'F\xc3\xbcr @Radio_Basilisk  auf dem Chateau Tourbillon. \n \n#rotblaulive \n@FCSion vs. @FCBasel1893 \n\nDas Stade de Tourbillo\xe2\x80\xa6 https://t.co/XE9aS1zS7N'
2019-02-27 12:06:57,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
2019-02-27 11:55:58,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
2019-02-27 11:33:57,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
2019-02-27 11:16:26,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
2019-02-27 10:48:17,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
2019-02-27 10:35:21,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
2019-02-27 09:24:38,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
2019-02-27 09:13:01,"b'RT @celfeller: Comeback-Gedanken, die Suche nach dem Gl\xc3\xbcck nach der Karriere und eine neue Aufgabe beim FCB: Mat\xc3\xadas Delgado spricht erstmal\xe2\x80\xa6'"
