2019-04-17 17:40:49.699312,platform_name,price_per_night,timestamp
,, 61,2019-04-26 00:20:01.770896
,, 63,2019-05-06 15:12:01.695256
,, 61,2019-04-24 02:20:01.307409
,, 63,2019-05-12 09:12:01.418016
,, 61,2019-05-03 15:12:01.163778
,, 61,2019-04-28 21:20:01.244847
,, 61,2019-04-26 04:20:01.460006
,, 60,2019-04-22 00:20:02.047113
,, 61,2019-05-03 19:12:01.345457
,, 60,2019-04-23 17:20:01.670610
,, 61,2019-05-02 19:12:01.496699
,, 60,2019-04-22 04:20:01.267467
,, 60,2019-04-19 00:05:01.528603
,, 69,2019-04-23 12:20:01.079076
,, 61,2019-04-26 01:20:01.712651
,, 61,2019-04-25 07:20:01.070802
,, 72,2019-05-10 12:12:01.665297
,, 61,2019-05-01 02:12:01.897206
,, 68,2019-04-18 15:43:01.413357
,, 69,2019-05-03 00:12:01.457293
,, 61,2019-04-30 03:09:02.169019
,, 69,2019-05-04 19:12:01.144122
,, 60,2019-04-21 02:20:01.876394
,, 69,2019-04-28 04:20:01.186251
,, 61,2019-04-29 21:20:01.924322
,, 69,2019-05-04 03:12:01.334982
,, 60,2019-04-23 00:20:01.464388
,, 63,2019-05-06 17:12:01.507379
,, 63,2019-05-06 02:12:01.477150
,, 61,2019-04-30 02:41:01.624697
,, 61,2019-05-02 14:12:01.005284
,, 63,2019-05-07 08:12:01.097881
,, 63,2019-05-09 13:12:01.689869
,, 61,2019-04-25 08:20:01.381843
,, 61,2019-04-29 00:20:01.661622
,, 61,2019-05-03 12:12:01.176121
,, 63,2019-05-05 16:12:00.859118
,, 72,2019-05-08 00:12:00.989831
,, 63,2019-05-07 02:12:01.598546
,, 61,2019-05-02 05:12:01.035879
,, 61,2019-04-25 20:20:01.614074
,, 69,2019-04-24 19:20:01.063198
,, 60,2019-04-20 20:20:01.905221
,, 69,2019-05-03 07:12:01.329736
,, 69,2019-04-28 09:20:01.072631
,, 63,2019-05-05 12:12:01.512127
,, 61,2019-05-02 17:12:01.621636
,, 69,2019-04-24 15:20:00.956864
,, 63,2019-05-06 14:12:01.072653
,, 61,2019-04-26 11:20:01.228196
,, 71,2019-05-11 19:12:01.411882
,, 69,2019-04-26 16:20:01.229179
,, 60,2019-04-19 06:05:01.354259
,, 61,2019-04-27 20:20:01.489390
,, 63,2019-05-05 15:12:01.426829
,, 69,2019-04-30 16:12:01.369041
,, 61,2019-04-28 14:20:01.690928
,, 63,2019-05-08 07:12:01.538512
,, 69,2019-04-23 14:20:01.152402
,, 60,2019-05-05 04:12:00.890273
,, 61,2019-04-26 22:20:01.497435
,, 61,2019-04-27 00:20:01.523099
,, 63,2019-05-12 06:12:01.284012
,, 72,2019-05-06 20:12:01.743994
,, 72,2019-05-09 09:12:01.731708
,, 68,2019-04-22 11:20:01.333289
,, 63,2019-05-11 22:12:00.865026
,, 63,2019-05-06 19:12:00.873934
,, 60,2019-04-23 02:20:01.158922
,, 61,2019-04-29 01:20:01.311850
,, 63,2019-05-07 15:12:01.349782
,, 60,2019-05-04 12:12:01.444931
,, 63,2019-05-11 18:12:01.518195
,, 63,2019-05-09 02:12:01.108098
,, 63,2019-05-11 10:12:01.583634
,, 69,2019-04-23 23:20:01.625738
,, 61,2019-04-24 03:20:01.731020
,, 61,2019-05-01 09:12:01.291673
,, 69,2019-04-25 06:20:01.098750
,, 63,2019-05-10 17:12:00.856335
,, 61,2019-04-26 14:20:01.678312
,, 61,2019-05-02 12:12:01.786513
,, 61,2019-04-30 01:20:01.477271
,, 69,2019-04-30 07:13:01.445751
,, 72,2019-05-10 10:12:01.360526
,, 71,2019-05-10 23:12:01.596994
,, 69,2019-04-25 04:20:01.766889
,, 61,2019-04-25 11:20:01.551022
,, 63,2019-05-10 03:12:01.306401
,, 61,2019-04-24 06:20:01.152764
,, 60,2019-04-20 15:18:30.248212
,, 63,2019-05-07 01:12:01.349458
,, 72,2019-05-09 19:12:01.690206
,, 68,2019-04-19 09:05:01.000985
,, 69,2019-05-01 15:12:01.278362
,, 71,2019-05-11 11:12:01.113087
,, 60,2019-04-23 20:20:00.948623
,, 69,2019-04-22 23:20:01.518303
,, 63,2019-05-07 07:12:01.410084
,, 61,2019-05-03 04:12:01.809752
,, 61,2019-04-29 06:20:01.914994
,, 63,2019-05-12 01:12:00.927538
,, 71,2019-05-11 07:12:01.527405
,, 68,2019-04-22 05:20:01.328253
,, 61,2019-04-30 10:13:01.853572
,, 69,2019-04-27 10:20:01.000221
,, 60,2019-04-21 22:20:01.523245
,, 63,2019-05-05 10:12:01.677412
,, 63,2019-05-06 12:12:00.964227
,, 69,2019-04-22 21:20:01.485562
,, 72,2019-05-07 18:12:01.533631
,, 63,2019-05-09 20:12:00.988701
,, 61,2019-04-26 17:20:01.538548
,, 69,2019-04-29 23:20:01.957049
,, 63,2019-05-05 14:12:01.414999
,, 61,2019-04-27 16:20:01.287569
,, 69,2019-04-25 09:20:01.820014
,, 61,2019-04-30 11:14:49.432978
,, 63,2019-05-11 13:12:01.539499
,, 72,2019-05-07 10:12:01.647762
