TweetID,Date,User,Followers,Retweets,Favorites
1123907798583185409,2019-05-02 11:11:15,ConnoisseursOHH,1009,0,0
1123907535331786753,2019-05-02 11:10:12,Innasol,1351,0,0
1123907470710181890,2019-05-02 11:09:56,PPCards,1693,0,0
1123907465173700610,2019-05-02 11:09:55,bestforluxury,485,0,0
1123907457120649216,2019-05-02 11:09:53,King_Janaka,53,6,0
1123907226727591936,2019-05-02 11:08:58,KBRHcatering,112,0,0
1123906738812522496,2019-05-02 11:07:02,ApparelUrbane,3,0,0
1123906620491272192,2019-05-02 11:06:34,insightresort,109,0,0
1123906441524518912,2019-05-02 11:05:51,bestforluxury,485,0,0
1123906246975873025,2019-05-02 11:05:05,NomadSailing,874,0,0
1123906189501374465,2019-05-02 11:04:51,RobWhitrow_Phot,1919,0,0
1123905883526844417,2019-05-02 11:03:38,leolahotelng,222,0,0
1123905595701116928,2019-05-02 11:02:29,AccTravel,1183,1,0
1123905366612484098,2019-05-02 11:01:35,caseybourque,207,0,0
1123905168263794694,2019-05-02 11:00:47,monarc_ca,505,0,0
1123905040685703168,2019-05-02 11:00:17,bo_lin,204,0,0
1123905039645466624,2019-05-02 11:00:17,HolidayGreece,4329,1,0
1123905024806068224,2019-05-02 11:00:13,Hostelman,25865,0,0
1123904991574593538,2019-05-02 11:00:05,mohan_vilaas,16,0,0
1123904952429154305,2019-05-02 10:59:56,TheFernUdaipur,518,0,0
1123904925233238017,2019-05-02 10:59:49,andrewmorrisuk,7334,1,0
1123904812628815874,2019-05-02 10:59:23,RecruitmentUKs,159,1,0
1123904381253050368,2019-05-02 10:57:40,go_mangopr,6042,0,0
1123904294426640387,2019-05-02 10:57:19,nkarbooking,145,0,0
1123903975705722880,2019-05-02 10:56:03,LascombePatrice,212,1,0
1123903742229864453,2019-05-02 10:55:07,RecruitCentre,3118,1,0
1123903079529758720,2019-05-02 10:52:29,Pinkiegkx,263,0,0
1123903078800007168,2019-05-02 10:52:29,ArenaFinancial,1886,1,0
1123903020503322628,2019-05-02 10:52:15,GLOCKENHOF_ZH,20282,0,0
1123902676486508544,2019-05-02 10:50:53,SofitelAlKhobar,2636,0,0
1123902555271114752,2019-05-02 10:50:24,vickysmith,2533,0,0
1123902429865684993,2019-05-02 10:49:55,HotelsAvailable,28624,0,1
1123902059030417417,2019-05-02 10:48:26,specumpodip,2,2,0
1123901924892344320,2019-05-02 10:47:54,Trudiparr,749,3,0
1123901904457740288,2019-05-02 10:47:49,bestforluxury,485,0,0
1123901903048515585,2019-05-02 10:47:49,OneStepRecruit,747,0,1
1123901031652450304,2019-05-02 10:44:21,MamloukPalace,826,0,0
1123900201394221058,2019-05-02 10:41:03,Gaiabespokeline,28,0,1
1123900158507397122,2019-05-02 10:40:53,Etnogarden,3073,0,0
1123899866365800448,2019-05-02 10:39:43,jobsireland,1903,0,0
1123899849303384064,2019-05-02 10:39:39,natsjobs,643,0,0
1123899277917421571,2019-05-02 10:37:23,SelectIreland,2466,0,2
1123898935272255489,2019-05-02 10:36:01,DianaAshmarina,3594,0,0
1123898883795562496,2019-05-02 10:35:49,SGTchauffeur,119,0,0
1123898173989228544,2019-05-02 10:33:00,shaunywa,613,0,1
1123897805167316992,2019-05-02 10:31:32,gravitas_mag,801,1,0
1123897793033252864,2019-05-02 10:31:29,9Tonicash,1185,0,0
1123897561578909701,2019-05-02 10:30:34,chaseTHEdonkey,65012,0,0
1123897462136111105,2019-05-02 10:30:10,Getthescotch,4366,0,0
1123897457610493952,2019-05-02 10:30:09,Hostelman,25865,0,1
1123897435510771713,2019-05-02 10:30:04,CedarManorHotel,3093,1,0
1123897295798513670,2019-05-02 10:29:30,HotelierME,14373,0,0
1123897108506005506,2019-05-02 10:28:46,HotelsAvailable,28624,1,1
1123896936933789697,2019-05-02 10:28:05,hiwa_law,1,0,0
1123896623350915072,2019-05-02 10:26:50,My_Makeup_Avon,91,1,0
1123896438914732032,2019-05-02 10:26:06,fullyhousewifed,474,0,0
1123896346510073857,2019-05-02 10:25:44,2look4beds,2021,0,0
1123896239437877248,2019-05-02 10:25:19,LuckyUGhotels,231,0,0
1123896130931179521,2019-05-02 10:24:53,bestforluxury,485,0,0
1123895972407533572,2019-05-02 10:24:15,hiwa_law,1,0,0
1123895774025322497,2019-05-02 10:23:28,datacleaning,314,0,1
1123895710934605824,2019-05-02 10:23:13,RossKillin77,39,0,0
1123895657054572551,2019-05-02 10:23:00,BusinesEx,205,0,0
1123895252933279745,2019-05-02 10:21:23,Andres_aliesta,1841,1,0
1123895150730674176,2019-05-02 10:20:59,bestforluxury,485,0,0
1123894657627426817,2019-05-02 10:19:01,TravelNow24,1197,1,0
1123894607002120193,2019-05-02 10:18:49,RainbowIT481,13,0,0
1123893674222419968,2019-05-02 10:15:07,camelwinemaker,7271,4,0
1123893643691978752,2019-05-02 10:15:00,northwaleslive,97751,0,2
1123893492600791041,2019-05-02 10:14:24,amyjetlogic,16,1,0
1123893431460352000,2019-05-02 10:14:09,HotelsAvailable,28624,0,0
1123893399122321408,2019-05-02 10:14:01,1stExchange,276,0,0
1123893247250763779,2019-05-02 10:13:25,WeAcceptPets,47194,0,2
1123892958279929857,2019-05-02 10:12:16,goeurekatravel,12483,1,1
1123892841762181120,2019-05-02 10:11:49,AMS_Conferences,6,0,0
1123892481471537152,2019-05-02 10:10:23,EPfansFR,86,1,0
1123892393428889600,2019-05-02 10:10:02,Klear_Events,1096,0,0
1123892177803804674,2019-05-02 10:09:10,CobhEdition,1762,0,0
1123891402457460741,2019-05-02 10:06:05,MarriottSisli,575,0,0
1123891100534677505,2019-05-02 10:04:53,praktikhotels,2077,1,0
1123891056540561409,2019-05-02 10:04:43,bestforluxury,485,0,0
1123891009048518656,2019-05-02 10:04:32,TextArtist,2126,0,0
1123890660350754818,2019-05-02 10:03:08,ThurrockHotel,7463,0,0
1123890596479946753,2019-05-02 10:02:53,AlistairGuy,1693,0,0
1123890484999544832,2019-05-02 10:02:27,bestforluxury,485,0,0
1123890244519120896,2019-05-02 10:01:29,LamedinaHotel,56,0,0
1123890062041726976,2019-05-02 10:00:46,avondatausers,79,0,0
1123890062033326082,2019-05-02 10:00:46,Avondata,350,0,0
1123889936355274752,2019-05-02 10:00:16,themoneynet,16,0,0
1123889923361267716,2019-05-02 10:00:13,Hostelman,25865,0,0
1123889784575922176,2019-05-02 09:59:40,natsjobs,643,0,0
1123889700077547521,2019-05-02 09:59:20,Nusaiba210,1444,1,0
1123889641009111040,2019-05-02 09:59:05,eSomm8,18,0,0
1123889529738469377,2019-05-02 09:58:39,sunnsandhotel,3513,0,0
1123889423756812288,2019-05-02 09:58:14,RHWHotels,38,0,0
1123889340277510146,2019-05-02 09:57:54,WiseOriginCol,236,0,0
1123889162430615553,2019-05-02 09:57:11,Terre_Blanche,5263,0,0
1123888862848270336,2019-05-02 09:56:00,HotelsAvailable,28624,0,0
1123888610682580992,2019-05-02 09:55:00,EuropaParkUK,5226,1,13
1123887604284440576,2019-05-02 09:51:00,SRepresentation,536,0,1
1123887458414886916,2019-05-02 09:50:25,StaplefordPark,6082,1,1
1123887403050131456,2019-05-02 09:50:12,GDSHOTELS1,111,0,0
1123887126079258625,2019-05-02 09:49:06,HotelHilltone,241,0,0
1123886951923363845,2019-05-02 09:48:24,djparisanim,29,0,0
1123886398371696643,2019-05-02 09:46:12,InglenookHotel,405,0,0
1123886176312725504,2019-05-02 09:45:19,CzmVacation,1030,1,0
1123886156507164672,2019-05-02 09:45:15,bestforluxury,485,0,0
1123885344137592833,2019-05-02 09:42:01,bestforluxury,485,0,0
1123884909200846850,2019-05-02 09:40:17,ClubRudra,39,0,0
1123884188690731008,2019-05-02 09:37:25,CoralCBGolf,42,0,1
1123883768324997121,2019-05-02 09:35:45,bed__breakfast,362,0,0
1123883677149216768,2019-05-02 09:35:24,Giovanni_C50,177,4,0
1123883656530079744,2019-05-02 09:35:19,Giovanni_C50,177,4,0
1123883635017383940,2019-05-02 09:35:13,Giovanni_C50,177,4,0
1123883613936869376,2019-05-02 09:35:08,Giovanni_C50,177,4,0
1123883592424284164,2019-05-02 09:35:03,Giovanni_C50,177,4,0
1123883568583852036,2019-05-02 09:34:58,Giovanni_C50,177,4,0
1123883552540639234,2019-05-02 09:34:54,Giovanni_C50,177,4,0
1123883533439766529,2019-05-02 09:34:49,Giovanni_C50,177,4,0
1123883397766688773,2019-05-02 09:34:17,BougainHouse,2218,0,0
1123883373703979009,2019-05-02 09:34:11,LondonJobsBoard,1845,4,0
1123883353827094530,2019-05-02 09:34:06,LondonJobsBoard,1845,4,0
1123883334340435969,2019-05-02 09:34:02,LondonJobsBoard,1845,4,0
1123883317051441153,2019-05-02 09:33:58,LondonJobsBoard,1845,4,0
1123883297694679040,2019-05-02 09:33:53,LondonJobsBoard,1845,4,0
1123883272721915904,2019-05-02 09:33:47,LondonJobsBoard,1845,4,0
1123883254413762560,2019-05-02 09:33:43,LondonJobsBoard,1845,4,0
1123883236046798848,2019-05-02 09:33:38,LondonJobsBoard,1845,4,0
1123883037601816576,2019-05-02 09:32:51,rptraininguk,88,4,0
1123883013048344578,2019-05-02 09:32:45,rptraininguk,88,4,0
1123882997709778944,2019-05-02 09:32:42,rptraininguk,88,4,0
1123882978524921856,2019-05-02 09:32:37,rptraininguk,88,4,0
1123882958773997568,2019-05-02 09:32:32,rptraininguk,88,4,0
1123882933108998144,2019-05-02 09:32:26,jetlogic,1908,1,0
1123882918307352578,2019-05-02 09:32:23,rptraininguk,88,4,0
1123882904625582081,2019-05-02 09:32:19,rptraininguk,88,4,0
1123882883477798913,2019-05-02 09:32:14,rptraininguk,88,4,0
1123882770361614336,2019-05-02 09:31:47,HotelsAvailable,28624,0,0
1123882766356111362,2019-05-02 09:31:46,FHDSOLUTIONSJOB,3,0,0
1123882736060653568,2019-05-02 09:31:39,rpsecurityuk,526,4,0
1123882709921751040,2019-05-02 09:31:33,rpsecurityuk,526,4,0
1123882705945616384,2019-05-02 09:31:32,9Tonicash,1185,0,0
1123882683212414977,2019-05-02 09:31:27,rpsecurityuk,526,4,0
1123882645560205314,2019-05-02 09:31:18,rpsecurityuk,526,4,0
1123882624492167172,2019-05-02 09:31:13,rpsecurityuk,526,4,0
1123882598705577986,2019-05-02 09:31:06,PatMappSmith,738,0,0
1123882580636504064,2019-05-02 09:31:02,rpsecurityuk,526,4,0
1123882547635736578,2019-05-02 09:30:54,rpsecurityuk,526,4,0
1123882503004143619,2019-05-02 09:30:44,rpsecurityuk,526,4,0
1123882415821402112,2019-05-02 09:30:23,rpsecurityuk,526,4,5
1123882371470770178,2019-05-02 09:30:12,findmehotelroom,871,0,0
1123882301820145664,2019-05-02 09:29:56,Kiscol_Grands,8588,0,1
1123882287349813249,2019-05-02 09:29:52,rpsecurityuk,526,4,5
1123882107514818560,2019-05-02 09:29:09,rpsecurityuk,526,4,4
1123882023058276352,2019-05-02 09:28:49,rpsecurityuk,526,4,4
1123881934751436801,2019-05-02 09:28:28,rpsecurityuk,526,4,4
1123881792191238144,2019-05-02 09:27:54,rpsecurityuk,526,4,4
1123881651363303424,2019-05-02 09:27:21,Galorbi,48,1,0
1123881503484796930,2019-05-02 09:26:45,rpsecurityuk,526,4,4
1123881451773145089,2019-05-02 09:26:33,HotelLoyaltyorg,2309,0,0
1123881296042786820,2019-05-02 09:25:56,rpsecurityuk,526,4,4
1123880801345708033,2019-05-02 09:23:58,tlhhotels,2803,0,0
1123880765392064515,2019-05-02 09:23:49,bestforluxury,485,0,0
1123880711293931521,2019-05-02 09:23:36,TriforceCRE,11,0,0
1123880370821316609,2019-05-02 09:22:15,fairmas_gmbh,239,0,0
1123880029027536898,2019-05-02 09:20:54,LuckyHotelsMV,272,0,0
1123879857379794944,2019-05-02 09:20:13,GikaHolidays,9,1,4
1123879717390692352,2019-05-02 09:19:39,natsjobs,643,0,0
1123879664907423749,2019-05-02 09:19:27,cloud1mobi,85,0,0
1123879553812791297,2019-05-02 09:19:00,LansdowneSussex,948,0,0
1123879297738051584,2019-05-02 09:17:59,bestforluxury,485,0,0
1123879285369057281,2019-05-02 09:17:56,BestTextileUK,39,0,1
1123879243891527681,2019-05-02 09:17:47,SobAlert,7236,1,3
1123879178997239808,2019-05-02 09:17:31,thefogmunnar,325,0,0
1123878973921009666,2019-05-02 09:16:42,WeAcceptPets,47194,1,2
1123878565102202885,2019-05-02 09:15:05,suzytheexplorer,6670,0,3
1123878041489481730,2019-05-02 09:13:00,HotelsAvailable,28624,0,1
1123876856455946243,2019-05-02 09:08:17,KD_Hotels,7,0,1
1123876816626835456,2019-05-02 09:08:08,BWPresortubud,1542,0,1
1123876506969739264,2019-05-02 09:06:54,BullCreativeNL,14,0,0
1123876476984672257,2019-05-02 09:06:47,PerceptionCath,3042,0,0
1123876472911953923,2019-05-02 09:06:46,casadejablue,151,1,0
1123876287691591681,2019-05-02 09:06:02,BullCreativeNL,14,0,0
1123876109706252288,2019-05-02 09:05:19,BullCreativeNL,14,0,0
1123875917019983872,2019-05-02 09:04:33,Hotel_Suppliers,958,0,0
1123875692872073216,2019-05-02 09:03:40,octopusrevenue,882,0,0
1123875648722931714,2019-05-02 09:03:29,ioCuoco,1845,0,0
1123875645640065026,2019-05-02 09:03:29,ioCuoco,1845,0,0
1123875081149718529,2019-05-02 09:01:14,layercakejobs,107,0,0
1123874789356077056,2019-05-02 09:00:05,blogosum,3833,0,0
1123874777842761729,2019-05-02 09:00:02,HotelierME,14373,0,0
1123874694036373504,2019-05-02 08:59:42,JobsInHotels,598,0,0
1123874664382644224,2019-05-02 08:59:35,thehotelvalley,17,0,0
1123874470379257857,2019-05-02 08:58:48,bestforluxury,485,0,0
1123874385637642240,2019-05-02 08:58:28,QDesignltd,890,3,0
1123874260232081410,2019-05-02 08:57:58,classicfreshfds,882,0,0
1123873762858930176,2019-05-02 08:56:00,GrowthHubHOTSW,1062,0,0
1123873760543694848,2019-05-02 08:55:59,classicfreshfds,882,0,0
1123873695875858433,2019-05-02 08:55:44,Linda_U_W_A,26341,1,0
1123873577491685379,2019-05-02 08:55:16,bestforluxury,485,0,0
1123873417122467840,2019-05-02 08:54:37,AngelSOSJackie,6777,1,0
1123872911306252291,2019-05-02 08:52:37,JayneJones123,436,2,0
1123872427161870336,2019-05-02 08:50:41,Fashionundstyle,1998,1,1
1123872413144559620,2019-05-02 08:50:38,modehotel,1280,1,0
1123871829414895618,2019-05-02 08:48:19,GreatHouseBerks,1459,3,0
1123871661579808768,2019-05-02 08:47:39,MasterInnH,3097,0,4
1123871594189864960,2019-05-02 08:47:23,winsordobbin,10833,0,0
1123871142891130880,2019-05-02 08:45:35,newsilkera,409,0,0
1123870993041317888,2019-05-02 08:44:59,Dawn_VirtualS,6266,0,1
1123870914544898050,2019-05-02 08:44:41,mOQIl,1440,1,0
1123870734424715264,2019-05-02 08:43:58,sagarlore,190,1,1
1123870504455110657,2019-05-02 08:43:03,bestforluxury,485,0,1
1123870340625698816,2019-05-02 08:42:24,PremStatsnet,3188,0,0
1123869705071099904,2019-05-02 08:39:52,natsjobs,643,0,0
1123869605968134146,2019-05-02 08:39:29,nkgrandpark,5,0,0
1123869561781198850,2019-05-02 08:39:18,melaniecute90,4923,0,0
1123869099593994240,2019-05-02 08:37:28,Staybridgebrum,2824,0,0
1123868886833729541,2019-05-02 08:36:37,SignatureSalesS,2468,1,0
1123868831343157249,2019-05-02 08:36:24,dingz9,72,0,0
1123868393407418369,2019-05-02 08:34:40,natsjobs,643,0,0
1123868351594418181,2019-05-02 08:34:30,bed__breakfast,362,0,0
1123867874358104065,2019-05-02 08:32:36,ADGarchitects,643,0,0
1123867795991691264,2019-05-02 08:32:17,landbhotels,3755,0,0
1123867436535701506,2019-05-02 08:30:51,bestforluxury,485,0,0
1123867143169302528,2019-05-02 08:29:42,JobsInHotels,598,0,0
1123866584773214208,2019-05-02 08:27:28,northwaleslive,97751,0,2
1123866341080031232,2019-05-02 08:26:30,EVENTSEMS,206,0,0
1123866214302912513,2019-05-02 08:26:00,HotelDarshanpor,2,0,0
1123864174420013056,2019-05-02 08:17:54,bestforluxury,485,0,0
1123863864192454658,2019-05-02 08:16:40,WazzupPilipinas,504,0,0
1123863561627930627,2019-05-02 08:15:28,ErinvaleHotel,3828,0,0
1123863309386694656,2019-05-02 08:14:27,paulopita3,115,0,0
1123862625249648641,2019-05-02 08:11:44,hsclarkmystery,38317,0,0
