;price_per_night,timestamp
Hotel Charleston Santa Teresa,263,2019-04-24 11:20:01.; 263,2019-04-24 11:20:01.307269
Hotel Charleston Santa Teresa,262,2019-04-23 06:20:01.; 262,2019-04-23 06:20:01.839022
Hotel Charleston Santa Teresa,262,2019-04-23 22:20:01.; 262,2019-04-23 22:20:01.803513
Hotel Charleston Santa Teresa,257,2019-04-22 07:20:01.; 257,2019-04-22 07:20:01.624017
Hotel Charleston Santa Teresa,257,2019-04-21 17:20:01.; 257,2019-04-21 17:20:01.145878
Hotel Charleston Santa Teresa,257,2019-04-19 08:05:01.; 257,2019-04-19 08:05:01.380301
Hotel Charleston Santa Teresa,270,2019-04-26 13:20:01.; 270,2019-04-26 13:20:01.260553
Hotel Charleston Santa Teresa,257,2019-04-22 04:20:01.; 257,2019-04-22 04:20:01.267467
Hotel Charleston Santa Teresa,267,2019-04-25 20:20:01.; 267,2019-04-25 20:20:01.614074
Hotel Charleston Santa Teresa,257,2019-04-19 07:05:01.; 257,2019-04-19 07:05:01.371088
Hotel Charleston Santa Teresa,270,2019-04-26 06:20:01.; 270,2019-04-26 06:20:01.518534
Hotel Charleston Santa Teresa,266,2019-04-24 18:20:01.; 266,2019-04-24 18:20:01.159501
Hotel Charleston Santa Teresa,267,2019-04-20 23:20:01.; 267,2019-04-20 23:20:01.461182
Hotel Charleston Santa Teresa,257,2019-04-21 07:20:01.; 257,2019-04-21 07:20:01.570009
Hotel Charleston Santa Teresa,270,2019-04-26 23:20:01.; 270,2019-04-26 23:20:01.638229
Hotel Charleston Santa Teresa,256,2019-04-18 15:28:01.; 256,2019-04-18 15:28:01.150810
Hotel Charleston Santa Teresa,263,2019-04-27 05:20:01.; 263,2019-04-27 05:20:01.496720
Hotel Charleston Santa Teresa,263,2019-04-24 08:20:01.; 263,2019-04-24 08:20:01.625275
Hotel Charleston Santa Teresa,256,2019-04-18 21:05:01.; 256,2019-04-18 21:05:01.279710
Hotel Charleston Santa Teresa,267,2019-04-20 22:20:01.; 267,2019-04-20 22:20:01.625039
Hotel Charleston Santa Teresa,245,2019-04-24 09:20:01.; 245,2019-04-24 09:20:01.377174
Hotel Charleston Santa Teresa,267,2019-04-21 01:20:01.; 267,2019-04-21 01:20:01.182171
Hotel Charleston Santa Teresa,269,2019-04-26 14:20:01.; 269,2019-04-26 14:20:01.678312
Hotel Charleston Santa Teresa,262,2019-04-23 23:20:01.; 262,2019-04-23 23:20:01.625738
Hotel Charleston Santa Teresa,264,2019-04-19 10:05:01.; 264,2019-04-19 10:05:01.568445
Hotel Charleston Santa Teresa,257,2019-04-22 21:20:01.; 257,2019-04-22 21:20:01.485562
Hotel Charleston Santa Teresa,257,2019-04-22 16:20:01.; 257,2019-04-22 16:20:01.938059
Hotel Charleston Santa Teresa,256,2019-04-18 18:05:01.; 256,2019-04-18 18:05:01.092438
Hotel Charleston Santa Teresa,257,2019-04-21 19:20:01.; 257,2019-04-21 19:20:01.614233
Hotel Charleston Santa Teresa,262,2019-04-23 01:20:01.; 262,2019-04-23 01:20:01.909555
Hotel Charleston Santa Teresa,267,2019-04-27 02:20:01.; 267,2019-04-27 02:20:01.152441
Hotel Charleston Santa Teresa,270,2019-04-26 20:20:01.; 270,2019-04-26 20:20:01.447673
Hotel Charleston Santa Teresa,257,2019-04-20 15:29:40.; 257,2019-04-20 15:29:40.542054
Hotel Charleston Santa Teresa,257,2019-04-19 19:05:13.; 257,2019-04-19 19:05:13.182575
Hotel Charleston Santa Teresa,257,2019-04-21 05:20:01.; 257,2019-04-21 05:20:01.137868
Hotel Charleston Santa Teresa,263,2019-04-25 15:20:01.; 263,2019-04-25 15:20:01.937857
Hotel Charleston Santa Teresa,243,2019-04-20 09:01:11.; 243,2019-04-20 09:01:11.090483
Hotel Charleston Santa Teresa,257,2019-04-22 11:20:01.; 257,2019-04-22 11:20:01.333289
Hotel Charleston Santa Teresa,257,2019-04-21 22:20:01.; 257,2019-04-21 22:20:01.523245
Hotel Charleston Santa Teresa,257,2019-04-19 06:05:01.; 257,2019-04-19 06:05:01.354259
Hotel Charleston Santa Teresa,283,2019-04-18 20:05:01.; 283,2019-04-18 20:05:01.352380
Hotel Charleston Santa Teresa,263,2019-04-24 05:20:01.; 263,2019-04-24 05:20:01.103860
Hotel Charleston Santa Teresa,256,2019-04-19 03:05:01.; 256,2019-04-19 03:05:01.188968
Hotel Charleston Santa Teresa,263,2019-04-25 02:20:01.; 263,2019-04-25 02:20:01.204718
Hotel Charleston Santa Teresa,245,2019-04-27 11:20:01.; 245,2019-04-27 11:20:01.161449
Hotel Charleston Santa Teresa,257,2019-04-21 16:20:01.; 257,2019-04-21 16:20:01.930093
Hotel Charleston Santa Teresa,262,2019-04-23 20:20:00.; 262,2019-04-23 20:20:00.948623
Hotel Charleston Santa Teresa,267,2019-04-23 21:20:01.; 267,2019-04-23 21:20:01.509911
Hotel Charleston Santa Teresa,262,2019-04-23 03:20:01.; 262,2019-04-23 03:20:01.262859
Hotel Charleston Santa Teresa,270,2019-04-26 08:20:01.; 270,2019-04-26 08:20:01.367688
Hotel Charleston Santa Teresa,256,2019-04-19 02:05:01.; 256,2019-04-19 02:05:01.170153
Hotel Charleston Santa Teresa,257,2019-04-22 05:20:01.; 257,2019-04-22 05:20:01.328253
Hotel Charleston Santa Teresa,263,2019-04-24 06:20:01.; 263,2019-04-24 06:20:01.152764
Hotel Charleston Santa Teresa,263,2019-04-25 13:20:01.; 263,2019-04-25 13:20:01.804838
Hotel Charleston Santa Teresa,266,2019-04-25 06:20:01.; 266,2019-04-25 06:20:01.098750
Hotel Charleston Santa Teresa,257,2019-04-21 08:20:01.; 257,2019-04-21 08:20:01.868094
Hotel Charleston Santa Teresa,257,2019-04-19 19:21:28.; 257,2019-04-19 19:21:28.203032
Hotel Charleston Santa Teresa,262,2019-04-23 07:20:01.; 262,2019-04-23 07:20:01.915254
Hotel Charleston Santa Teresa,246,2019-04-26 05:20:02.; 246,2019-04-26 05:20:02.209651
Hotel Charleston Santa Teresa,257,2019-04-21 00:20:01.; 257,2019-04-21 00:20:01.853318
Hotel Charleston Santa Teresa,257,2019-04-22 14:20:01.; 257,2019-04-22 14:20:01.236673
Hotel Charleston Santa Teresa,265,2019-04-22 18:20:01.; 265,2019-04-22 18:20:01.328140
Hotel Charleston Santa Teresa,257,2019-04-21 11:20:01.; 257,2019-04-21 11:20:01.134850
Hotel Charleston Santa Teresa,267,2019-04-26 01:20:01.; 267,2019-04-26 01:20:01.712651
Hotel Charleston Santa Teresa,257,2019-04-21 12:20:01.; 257,2019-04-21 12:20:01.332739
Hotel Charleston Santa Teresa,257,2019-04-22 19:20:01.; 257,2019-04-22 19:20:01.707218
Hotel Charleston Santa Teresa,262,2019-04-23 04:20:01.; 262,2019-04-23 04:20:01.505176
Hotel Charleston Santa Teresa,263,2019-04-24 07:20:01.; 263,2019-04-24 07:20:01.611708
Hotel Charleston Santa Teresa,257,2019-04-21 04:20:01.; 257,2019-04-21 04:20:01.815168
Hotel Charleston Santa Teresa,257,2019-04-21 15:20:01.; 257,2019-04-21 15:20:01.310564
Hotel Charleston Santa Teresa,267,2019-04-20 20:20:01.; 267,2019-04-20 20:20:01.905221
Hotel Charleston Santa Teresa,256,2019-04-18 19:05:00.; 256,2019-04-18 19:05:00.967654
Hotel Charleston Santa Teresa,257,2019-04-19 14:05:01.; 257,2019-04-19 14:05:01.973930
Hotel Charleston Santa Teresa,269,2019-04-25 01:20:01.; 269,2019-04-25 01:20:01.023549
Hotel Charleston Santa Teresa,257,2019-04-21 13:20:01.; 257,2019-04-21 13:20:01.688769
Hotel Charleston Santa Teresa,257,2019-04-22 02:20:01.; 257,2019-04-22 02:20:01.383748
