1,2,3,4,5,6,7,8,9,10,11
1.0,1.0,1.0,1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0
1.0,1.0,1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0
1.0,1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0
1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625
1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625
1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625
1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625
1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125
1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125
1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125
1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625
1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625
1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625
1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625
1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875
1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875
1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375
1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625
1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625
1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875
1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875
1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875
1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625
1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875
0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875
0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625
1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875
1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625
1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625
1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625
1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625
