72.4,72.4,2019-05-01 22
73.8,73.8,2019-05-04 06
74.8,74.8,2019-05-09 21
67.2,67.2,2019-04-28 06
65.6,65.6,2019-05-01 05
76.4,76.4,2019-05-09 18
74.8,74.8,2019-04-29 22
73.2,73.2,2019-04-28 13
80.6,80.6,2019-05-01 14
75.0,75.0,2019-05-11 03
70.0,70.0,2019-05-02 03
68.2,68.2,2019-04-27 08
76.6,76.6,2019-05-09 01
73.4,73.4,2019-05-06 00
78.6,78.6,2019-05-11 13
75.4,75.4,2019-04-29 14
74.4,74.4,2019-04-27 11
72.0,72.0,2019-04-26 17
74.0,74.0,2019-05-10 08
72.6,72.6,2019-04-28 08
82.2,82.2,2019-05-08 13
73.4,73.4,2019-04-30 12
77.8,77.8,2019-05-02 18
80.6,80.6,2019-04-30 01
82.0,82.0,2019-05-07 03
71.6,71.6,2019-05-08 07
69.0,69.0,2019-04-30 04
69.55,69.55,2019-04-30 02
79.2,79.2,2019-04-29 02
70.8,88.5,2019-05-11 02
78.6,78.6,2019-04-28 23
69.8,69.8,2019-04-29 21
72.4,72.4,2019-04-30 05
69.4,69.4,2019-04-28 02
73.6,73.6,2019-05-06 05
68.2,68.2,2019-04-30 00
71.0,71.0,2019-05-02 08
78.4,78.4,2019-05-01 20
72.2,72.2,2019-04-28 14
73.8,73.8,2019-05-09 10
81.6,81.6,2019-05-03 17
74.6,74.6,2019-05-02 17
77.6,77.6,2019-05-02 01
72.4,72.4,2019-04-28 00
73.4,73.4,2019-05-06 03
78.8,78.8,2019-05-11 12
78.6,78.6,2019-05-02 07
72.6,72.6,2019-04-27 02
71.4,71.4,2019-05-02 16
79.0,79.0,2019-05-04 22
73.0,73.0,2019-05-05 21
72.6,72.6,2019-04-26 08
77.2,77.2,2019-05-01 15
79.4,79.4,2019-05-09 07
81.2,81.2,2019-05-02 20
71.6,89.5,2019-05-11 09
75.0,75.0,2019-05-01 02
68.2,68.2,2019-04-29 09
74.2,74.2,2019-04-29 00
73.4,73.4,2019-05-04 21
76.0,76.0,2019-05-02 04
74.2,74.2,2019-05-04 01
70.8,70.8,2019-05-09 11
73.6,73.6,2019-05-04 18
78.4,78.4,2019-04-27 19
65.6,65.6,2019-05-01 00
77.0,77.0,2019-05-05 06
77.6,77.6,2019-05-11 10
74.2,74.2,2019-05-03 22
75.2,75.2,2019-05-09 20
78.4,78.4,2019-05-03 02
76.8,76.8,2019-05-08 10
78.8,78.8,2019-05-04 13
74.6,74.6,2019-05-08 05
69.4,69.4,2019-05-01 03
75.8,75.8,2019-04-29 12
73.6,73.6,2019-05-06 20
77.8,77.8,2019-05-03 15
70.4,70.4,2019-04-29 07
71.0,71.0,2019-05-08 08
72.6,72.6,2019-04-27 12
79.0,79.0,2019-05-02 09
49.2,61.5,2019-05-12 02
72.0,72.0,2019-04-27 21
75.0,75.0,2019-05-05 05
76.4,76.4,2019-05-02 21
73.2,73.2,2019-05-07 09
90.4,90.4,2019-05-08 15
72.0,72.0,2019-04-28 01
79.4,79.4,2019-05-03 01
75.6,75.6,2019-04-26 16
69.8,69.8,2019-04-28 03
74.2,74.2,2019-05-02 12
73.0,73.0,2019-05-10 16
81.2,81.2,2019-05-10 14
76.2,76.2,2019-05-07 11
78.0,78.0,2019-05-09 03
77.0,77.0,2019-04-30 23
68.4,68.4,2019-04-30 19
67.8,67.8,2019-05-05 08
73.2,73.2,2019-04-30 10
80.4,80.4,2019-05-05 22
70.8,70.8,2019-04-28 12
71.0,71.0,2019-04-30 14
73.0,73.0,2019-05-07 17
74.4,74.4,2019-05-08 09
78.4,78.4,2019-04-28 17
74.6,74.6,2019-05-11 11
84.4,84.4,2019-05-10 18
65.6,65.6,2019-04-27 01
81.2,81.2,2019-04-26 10
74.2,74.2,2019-05-11 08
65.8,65.8,2019-04-27 10
74.0,74.0,2019-05-08 03
68.6,68.6,2019-05-04 08
70.8,70.8,2019-05-04 09
73.2,73.2,2019-05-05 17
76.8,76.8,2019-05-05 04
76.2,76.2,2019-05-07 02
70.4,70.4,2019-04-28 11
78.2,78.2,2019-05-09 22
71.6,71.6,2019-05-04 04
77.2,77.2,2019-05-08 16
70.8,70.8,2019-05-07 00
73.2,91.5,2019-05-11 15
77.6,77.6,2019-05-09 16
71.6,71.6,2019-04-30 11
70.4,70.4,2019-05-09 13
73.6,73.6,2019-05-04 23
74.4,74.4,2019-05-09 14
73.2,73.2,2019-05-03 13
73.8,73.8,2019-05-07 04
76.6,76.6,2019-05-06 22
73.6,73.6,2019-05-06 19
73.8,73.8,2019-04-29 11
77.0,77.0,2019-05-03 21
72.2,72.2,2019-04-28 05
76.8,76.8,2019-05-08 18
75.2,75.2,2019-05-02 11
73.8,73.8,2019-04-30 15
81.0,81.0,2019-05-06 06
68.4,68.4,2019-05-07 18
76.8,76.8,2019-05-10 05
72.8,72.8,2019-05-06 17
73.2,73.2,2019-05-05 12
53.6,67.0,2019-05-10 13
71.0,88.75,2019-05-09 06
77.8,77.8,2019-05-07 14
70.8,70.8,2019-05-03 09
65.8,65.8,2019-04-29 15
71.2,71.2,2019-04-29 10
73.8,73.8,2019-05-07 08
66.6,66.6,2019-05-01 09
80.0,80.0,2019-05-11 14
79.4,79.4,2019-05-05 20
77.6,77.6,2019-05-10 01
87.2,87.2,2019-05-03 07
74.2,74.2,2019-04-28 20
76.2,76.2,2019-05-05 02
72.2,72.2,2019-05-06 11
83.8,83.8,2019-05-06 10
76.2,76.2,2019-05-01 21
66.0,82.5,2019-05-11 01
81.2,81.2,2019-05-10 07
78.6,78.6,2019-05-06 13
74.2,74.2,2019-05-01 06
70.06666666666666,70.06666666666666,2019-04-30 03
78.2,78.2,2019-05-03 11
72.0,72.0,2019-04-29 05
78.6,78.6,2019-05-06 02
70.4,70.4,2019-05-06 16
85.4,85.4,2019-05-06 18
75.8,75.8,2019-05-11 20
72.4,72.4,2019-05-04 10
72.4,72.4,2019-05-05 01
77.4,77.4,2019-05-03 05
79.0,79.0,2019-05-04 11
76.6,76.6,2019-04-27 03
67.6,67.6,2019-04-27 09
80.8,80.8,2019-05-03 00
71.4,71.4,2019-05-10 02
77.0,77.0,2019-05-02 14
66.8,83.5,2019-05-11 05
73.2,73.2,2019-05-07 21
73.0,73.0,2019-05-06 08
80.2,80.2,2019-04-28 16
73.8,73.8,2019-04-26 23
71.4,71.4,2019-05-07 05
71.4,71.4,2019-05-02 10
73.4,73.4,2019-05-08 00
86.0,86.0,2019-05-08 20
70.4,70.4,2019-05-08 01
75.8,75.8,2019-05-07 22
76.6,76.6,2019-05-11 00
73.0,73.0,2019-05-07 01
70.4,70.4,2019-04-28 04
72.2,72.2,2019-04-27 13
75.2,75.2,2019-04-26 15
74.8,74.8,2019-04-27 05
76.0,76.0,2019-05-12 04
86.0,86.0,2019-05-02 13
79.2,79.2,2019-04-28 21
73.4,73.4,2019-04-26 22
78.6,78.6,2019-04-26 14
75.0,75.0,2019-04-29 08
88.6,88.6,2019-05-06 04
80.2,80.2,2019-05-01 12
72.0,72.0,2019-05-05 11
76.8,76.8,2019-05-04 14
77.4,77.4,2019-05-05 13
77.4,77.4,2019-05-04 16
71.8,71.8,2019-04-30 18
70.4,70.4,2019-04-29 01
70.0,70.0,2019-05-04 20
72.4,72.4,2019-04-30 22
80.0,80.0,2019-05-11 21
73.6,73.6,2019-05-02 05
80.0,80.0,2019-05-12 00
77.4,77.4,2019-05-01 23
71.2,71.2,2019-04-26 09
69.8,69.8,2019-05-02 06
69.6,69.6,2019-05-04 12
78.6,78.6,2019-05-05 23
79.2,79.2,2019-05-03 16
70.0,70.0,2019-05-05 00
68.8,68.8,2019-05-07 10
71.8,71.8,2019-05-04 15
69.2,69.2,2019-04-26 11
76.6,76.6,2019-05-07 13
37.0,46.25,2019-05-09 08
80.8,80.8,2019-05-02 19
77.2,77.2,2019-05-04 03
75.2,75.2,2019-04-27 22
76.4,76.4,2019-05-12 01
69.8,69.8,2019-05-06 09
71.2,71.2,2019-04-27 17
76.4,76.4,2019-05-01 10
82.6,82.6,2019-05-01 16
75.4,75.4,2019-05-05 14
78.0,78.0,2019-05-10 19
70.6,70.6,2019-04-26 20
71.4,71.4,2019-04-27 16
70.6,70.6,2019-05-07 19
77.8,77.8,2019-05-06 12
74.4,74.4,2019-05-02 00
58.6,73.25,2019-05-12 05
76.6,76.6,2019-04-26 12
87.0,87.0,2019-05-05 19
66.6,83.25,2019-05-11 06
74.2,74.2,2019-05-08 04
77.0,77.0,2019-04-29 13
72.2,72.2,2019-05-10 06
80.0,80.0,2019-05-09 00
43.0,53.75,2019-05-09 04
68.4,68.4,2019-04-27 18
75.0,75.0,2019-04-30 20
77.0,77.0,2019-05-04 05
76.8,76.8,2019-04-26 07
76.2,76.2,2019-05-05 18
59.8,74.75,2019-05-10 15
74.2,74.2,2019-05-07 07
81.0,81.0,2019-05-12 06
42.0,52.5,2019-05-09 09
77.2,77.2,2019-05-10 12
73.6,73.6,2019-05-08 06
79.0,79.0,2019-05-12 09
35.6,59.333333333333336,2019-05-10 17
85.8,85.8,2019-05-03 19
80.6,80.6,2019-05-03 14
75.4,75.4,2019-04-30 06
79.8,79.8,2019-05-05 16
65.2,81.5,2019-05-10 20
77.0,77.0,2019-05-03 12
76.0,76.0,2019-05-07 16
78.6,78.6,2019-05-08 14
73.2,73.2,2019-04-29 06
73.8,73.8,2019-04-29 19
73.8,73.8,2019-05-09 05
73.6,73.6,2019-04-27 04
75.8,75.8,2019-04-27 23
72.8,72.8,2019-05-03 18
75.6,75.6,2019-05-07 06
76.8,76.8,2019-05-06 21
74.0,74.0,2019-04-29 16
