94.0,2019-05-11 22
171.8,2019-05-04 23
301.2,2019-05-10 13
178.0,2019-05-09 01
178.2,2019-05-09 21
178.2,2019-05-09 07
326.2,2019-05-10 11
239.0,2019-05-07 16
178.2,2019-05-09 16
327.6,2019-05-11 15
330.2,2019-05-07 23
244.8,2019-05-05 03
327.0,2019-05-11 19
231.6,2019-05-07 04
155.0,2019-05-11 06
196.2,2019-05-06 17
182.4,2019-05-04 08
238.0,2019-05-05 12
348.2,2019-05-08 13
177.6,2019-05-04 06
177.6,2019-05-07 01
174.0,2019-05-11 23
190.6,2019-05-05 04
