price_per_night,timestamp,Influencer_or_Not,Hotel_ID
 154,2019-05-04 15:12:01.117309,No Influencer,88
 154,2019-05-09 05:12:01.389532,No Influencer,88
 156,2019-04-26 23:20:01.599948,No Influencer,88
 154,2019-05-09 15:12:01.516078,No Influencer,88
 166,2019-05-02 02:12:01.285853,No Influencer,88
 165,2019-04-29 22:20:01.267835,No Influencer,88
 154,2019-05-08 03:12:01.157980,No Influencer,88
 173,2019-05-02 09:12:01.840574,No Influencer,88
 166,2019-05-08 06:12:00.871176,No Influencer,88
 154,2019-05-04 01:12:00.837180,No Influencer,88
 156,2019-04-29 19:20:01.887370,No Influencer,88
 154,2019-05-07 23:12:01.144525,No Influencer,88
 154,2019-05-07 16:12:01.028505,No Influencer,88
 154,2019-05-08 17:12:00.780431,No Influencer,88
 166,2019-05-01 20:51:00.824488,No Influencer,88
 166,2019-05-04 03:12:01.336439,No Influencer,88
 156,2019-05-09 03:12:01.061738,No Influencer,88
 154,2019-05-04 10:12:01.568088,No Influencer,88
 156,2019-05-04 06:12:00.833842,No Influencer,88
 171,2019-05-03 02:12:01.787336,No Influencer,88
 171,2019-05-08 21:12:01.724547,No Influencer,88
 156,2019-04-28 04:20:01.183943,No Influencer,88
 156,2019-04-30 20:12:02.045191,No Influencer,88
 154,2019-05-02 10:12:01.518839,No Influencer,88
 154,2019-05-07 18:12:01.522979,No Influencer,88
 154,2019-05-08 05:12:01.374776,No Influencer,88
 140,2019-04-26 20:20:01.435899,No Influencer,88
 164,2019-04-29 00:20:01.658775,No Influencer,88
 154,2019-05-09 02:12:01.124211,No Influencer,88
 164,2019-04-29 02:20:01.404103,No Influencer,88
 154,2019-05-12 00:12:01.403322,No Influencer,88
 154,2019-05-10 16:12:01.377886,No Influencer,88
0,2019-05-10 17:12:00.895317,No Influencer,88
 154,2019-05-07 07:12:01.415721,No Influencer,88
 154,2019-05-07 08:12:01.117059,No Influencer,88
 154,2019-05-11 15:12:01.126050,No Influencer,88
 156,2019-05-10 07:12:01.590183,No Influencer,88
 154,2019-05-08 20:12:01.649844,No Influencer,88
 154,2019-05-08 11:12:01.134305,No Influencer,88
 154,2019-05-06 23:12:01.058287,No Influencer,88
 173,2019-05-02 14:12:01.015109,No Influencer,88
 139,2019-04-28 15:20:01.821202,No Influencer,88
 166,2019-05-01 11:12:02.012289,No Influencer,88
 154,2019-05-12 05:12:01.623704,No Influencer,88
 154,2019-05-07 19:12:01.646591,No Influencer,88
 154,2019-05-11 21:12:00.879640,No Influencer,88
 166,2019-05-03 13:12:00.894348,No Influencer,88
 156,2019-04-30 16:12:01.363416,No Influencer,88
 156,2019-04-28 08:20:01.679335,No Influencer,88
 171,2019-05-02 01:12:01.191907,No Influencer,88
 139,2019-04-30 02:20:02.057568,No Influencer,88
 154,2019-05-09 11:12:01.126873,No Influencer,88
 166,2019-05-04 00:12:01.534224,No Influencer,88
 154,2019-05-05 02:12:01.412840,No Influencer,88
 171,2019-05-09 16:12:01.134980,No Influencer,88
 154,2019-05-11 00:12:01.321480,No Influencer,88
 154,2019-05-04 04:12:01.224729,No Influencer,88
 166,2019-04-30 14:12:01.340492,No Influencer,88
 156,2019-04-27 15:20:01.869596,No Influencer,88
 153,2019-04-29 17:20:01.389936,No Influencer,88
 171,2019-05-09 06:12:01.117651,No Influencer,88
 154,2019-05-06 08:12:01.387399,No Influencer,88
 154,2019-05-07 01:12:01.333003,No Influencer,88
 154,2019-05-06 02:12:01.478906,No Influencer,88
 166,2019-05-01 19:12:01.433714,No Influencer,88
 154,2019-05-08 04:12:01.088730,No Influencer,88
 154,2019-05-11 05:12:01.513439,No Influencer,88
 156,2019-04-30 08:13:01.601375,No Influencer,88
 154,2019-05-11 01:12:01.481331,No Influencer,88
 154,2019-05-03 18:12:00.819381,No Influencer,88
