,1,2,3,4,5,6,7,8,9,10,11
0,1.0,1.0,1.0,1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0
1,1.0,1.0,1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0
2,1.0,1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0
3,1.0,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625
4,1.10546875,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625
5,1.0,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625
6,1.03125,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625
7,1.0,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
8,1.03125,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125
9,1.0,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125
10,1.0,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125
11,1.0,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625
12,1.0,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625
13,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625
14,1.00390625,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625
15,1.00390625,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
16,1.00390625,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875
17,1.00390625,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875
18,1.03125,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375
19,1.03125,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625
20,1.03125,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625
21,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875
22,1.00390625,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875
23,1.00390625,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875
24,1.00390625,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625
25,1.00390625,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875
26,0.94921875,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875
27,0.94921875,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625
28,1.1484375,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875
29,1.00390625,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625
30,1.03515625,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625
31,1.04296875,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625
32,1.04296875,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625
33,1.04296875,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
34,1.00390625,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
35,1.04296875,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
36,1.04296875,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
37,1.00390625,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
38,1.04296875,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
39,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
40,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
41,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
42,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
43,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
44,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625
45,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.00390625,1.03515625
