hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Villa Royale,http://www.tripadvisor.com/Hotel_Review-g32847-d113688-Reviews-Villa_Royale-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,25 ,,2019/05/18,2019/05/19, 202,Expedia.ch,7,"Free Wifi,Free parking"
Desert Isle of Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d225363-Reviews-Desert_Isle_of_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,195 ,,2019/05/18,2019/05/19, 342,ebookers.ch,8,"Free Wifi,Free parking"
L'Horizon Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g32847-d113692-Reviews-L_Horizon_Resort_Spa-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,285 ,,2019/05/18,2019/05/19, 687,LHW.com,10,"Free Wifi,Pool,Visit hotel website"
Renaissance Palm Springs Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d1600271-Reviews-Renaissance_Palm_Springs_Hotel-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,165 ,,2019/05/18,2019/05/19,0,,14,"Pool,Restaurant,Visit hotel website"
El Mirasol Villas,http://www.tripadvisor.com/Hotel_Review-g32847-d119428-Reviews-El_Mirasol_Villas-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,115 ,,2019/05/18,2019/05/19,0,,0,"Free Wifi,Free parking"
Amin Casa Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d1636019-Reviews-Amin_Casa_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,36 ,,2019/05/18,2019/05/19,0,,0,"Free Wifi,Free parking"
Caliente Tropics Resort,http://www.tripadvisor.com/Hotel_Review-g32847-d219654-Reviews-Caliente_Tropics_Resort-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,1427 ,,2019/05/18,2019/05/19,0,,8,"Free Wifi,Free parking,Visit hotel website"
Hyatt Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d113883-Reviews-Hyatt_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,2252 ,,2019/05/18,2019/05/19,0,,12,"Free Wifi,Pool,Visit hotel website"
V Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d77381-Reviews-V_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,260 ,,2019/05/18,2019/05/19,0,,8,"Free Wifi,Free parking"
Desert Paradise Gay Men's Resort,http://www.tripadvisor.com/Hotel_Review-g32847-d119409-Reviews-Desert_Paradise_Gay_Men_s_Resort-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,132 ,,2019/05/18,2019/05/19,0,,0,"Free Wifi,Free parking"
