Mean_Zero,Mean,Timestamp,Delta
117.8,117.8,2019-05-07 11,0.0
113.8,113.8,2019-05-11 14,0.0
110.0,110.0,2019-05-05 04,0.0
119.2,119.2,2019-05-01 15,0.0
119.0,119.0,2019-05-05 09,0.0
79.4,99.25,2019-05-12 00,-19.849999999999994
115.6,115.6,2019-05-08 00,0.0
118.8,118.8,2019-05-06 07,0.0
119.2,119.2,2019-05-01 10,0.0
104.6,104.6,2019-05-07 19,0.0
117.8,117.8,2019-05-07 02,0.0
110.4,110.4,2019-05-03 02,0.0
110.2,110.2,2019-05-02 04,0.0
115.8,115.8,2019-05-08 12,0.0
107.4,107.4,2019-05-10 03,0.0
119.0,119.0,2019-05-05 17,0.0
119.0,119.0,2019-05-06 06,0.0
119.0,119.0,2019-05-04 05,0.0
85.4,106.75,2019-05-09 05,-21.349999999999994
119.0,119.0,2019-05-04 13,0.0
107.0,107.0,2019-05-11 00,0.0
79.6,99.5,2019-05-11 08,-19.900000000000006
106.2,106.2,2019-05-09 07,0.0
112.4,112.4,2019-05-11 09,0.0
107.4,107.4,2019-05-05 20,0.0
116.0,116.0,2019-05-06 08,0.0
119.0,119.0,2019-05-02 01,0.0
119.0,119.0,2019-05-01 04,0.0
107.0,107.0,2019-05-10 14,0.0
118.0,118.0,2019-05-07 00,0.0
105.8,105.8,2019-05-09 06,0.0
116.2,116.2,2019-05-08 09,0.0
106.0,106.0,2019-05-09 13,0.0
108.4,108.4,2019-05-11 11,0.0
110.4,110.4,2019-05-03 05,0.0
119.2,119.2,2019-05-04 17,0.0
126.8,126.8,2019-05-01 13,0.0
104.0,104.0,2019-05-07 08,0.0
116.2,116.2,2019-05-08 10,0.0
110.4,110.4,2019-04-30 19,0.0
113.8,113.8,2019-05-12 07,0.0
106.4,106.4,2019-05-09 12,0.0
110.2,110.2,2019-05-02 00,0.0
110.4,110.4,2019-05-03 04,0.0
110.6,110.6,2019-04-30 10,0.0
77.8,97.25,2019-05-11 22,-19.450000000000003
119.0,119.0,2019-05-02 07,0.0
119.2,119.2,2019-05-03 23,0.0
119.0,119.0,2019-05-01 16,0.0
106.2,106.2,2019-05-09 17,0.0
104.6,104.6,2019-05-09 02,0.0
110.4,110.4,2019-04-30 16,0.0
116.2,116.2,2019-05-08 03,0.0
108.0,108.0,2019-05-03 06,0.0
110.4,110.4,2019-04-30 18,0.0
118.0,118.0,2019-05-06 21,0.0
110.2,110.2,2019-05-02 03,0.0
116.2,116.2,2019-05-08 02,0.0
117.8,117.8,2019-05-07 07,0.0
106.4,106.4,2019-05-11 12,0.0
121.0,121.0,2019-05-05 00,0.0
105.8,105.8,2019-05-10 01,0.0
118.0,118.0,2019-05-06 20,0.0
106.2,106.2,2019-05-09 19,0.0
98.4,123.0,2019-05-11 15,-24.599999999999994
117.4,117.4,2019-05-07 16,0.0
121.4,121.4,2019-05-06 02,0.0
117.8,117.8,2019-05-07 05,0.0
118.8,118.8,2019-05-04 01,0.0
118.8,118.8,2019-05-05 11,0.0
112.4,112.4,2019-05-11 10,0.0
104.8,104.8,2019-05-08 22,0.0
104.6,104.6,2019-05-09 01,0.0
107.0,107.0,2019-05-10 15,0.0
117.2,117.2,2019-05-02 21,0.0
107.0,107.0,2019-05-10 12,0.0
117.8,117.8,2019-05-07 01,0.0
106.4,106.4,2019-05-09 11,0.0
107.8,107.8,2019-05-05 16,0.0
114.2,114.2,2019-05-11 06,0.0
110.4,110.4,2019-05-03 03,0.0
104.8,104.8,2019-05-06 15,0.0
119.0,119.0,2019-05-03 11,0.0
104.6,104.6,2019-05-09 00,0.0
117.8,117.8,2019-05-07 03,0.0
110.4,110.4,2019-05-01 01,0.0
119.4,119.4,2019-04-30 12,0.0
106.4,106.4,2019-05-07 14,0.0
110.4,110.4,2019-05-01 05,0.0
107.0,107.0,2019-05-10 11,0.0
118.8,118.8,2019-05-05 06,0.0
121.2,121.2,2019-05-06 03,0.0
119.2,119.2,2019-05-04 12,0.0
116.0,116.0,2019-05-08 20,0.0
121.2,121.2,2019-05-05 23,0.0
110.2,110.2,2019-05-04 11,0.0
119.0,119.0,2019-05-03 16,0.0
119.0,119.0,2019-05-02 18,0.0
110.0,110.0,2019-05-02 08,0.0
104.8,104.8,2019-05-08 23,0.0
113.2,113.2,2019-05-09 22,0.0
110.6,110.6,2019-05-01 06,0.0
113.0,113.0,2019-05-09 16,0.0
121.0,121.0,2019-05-05 05,0.0
90.6,113.25,2019-05-09 08,-22.650000000000006
57.6,96.0,2019-05-11 21,-38.4
120.8,120.8,2019-05-04 19,0.0
108.2,108.2,2019-05-01 12,0.0
110.2,110.2,2019-05-02 02,0.0
121.2,121.2,2019-05-04 20,0.0
116.0,116.0,2019-05-08 04,0.0
114.0,114.0,2019-05-12 02,0.0
116.2,116.2,2019-05-06 14,0.0
119.0,119.0,2019-05-04 14,0.0
118.8,118.8,2019-05-05 14,0.0
117.8,117.8,2019-05-07 06,0.0
105.0,105.0,2019-05-09 03,0.0
114.0,114.0,2019-05-12 08,0.0
107.0,107.0,2019-05-10 16,0.0
119.2,119.2,2019-05-04 00,0.0
121.0,121.0,2019-05-05 19,0.0
119.0,119.0,2019-04-30 22,0.0
114.4,114.4,2019-05-10 18,0.0
114.6,114.6,2019-05-10 07,0.0
110.4,110.4,2019-05-01 03,0.0
110.6,110.6,2019-04-30 15,0.0
104.6,104.6,2019-05-06 23,0.0
107.0,107.0,2019-05-10 23,0.0
109.6,109.6,2019-05-06 00,0.0
119.0,119.0,2019-05-04 15,0.0
116.2,116.2,2019-05-06 18,0.0
118.8,118.8,2019-05-05 15,0.0
115.8,115.8,2019-05-07 23,0.0
121.2,121.2,2019-05-04 21,0.0
110.4,110.4,2019-05-03 00,0.0
77.4,96.75,2019-05-09 10,-19.349999999999994
103.0,103.0,2019-05-07 22,0.0
119.0,119.0,2019-05-02 14,0.0
116.8,116.8,2019-05-06 13,0.0
119.0,119.0,2019-05-04 10,0.0
106.4,106.4,2019-05-12 09,0.0
106.4,106.4,2019-05-12 05,0.0
107.0,107.0,2019-05-10 08,0.0
86.6,108.25,2019-05-10 20,-21.650000000000006
117.8,117.8,2019-05-07 12,0.0
119.0,119.0,2019-05-04 06,0.0
110.6,110.6,2019-05-01 02,0.0
77.8,97.25,2019-05-11 13,-19.450000000000003
114.0,114.0,2019-05-12 03,0.0
106.4,106.4,2019-05-11 16,0.0
119.0,119.0,2019-05-04 03,0.0
116.2,116.2,2019-05-08 08,0.0
106.0,106.0,2019-05-07 04,0.0
116.2,116.2,2019-05-06 16,0.0
118.8,118.8,2019-05-02 09,0.0
110.6,110.6,2019-05-03 12,0.0
110.2,110.2,2019-05-02 06,0.0
105.2,105.2,2019-05-09 04,0.0
118.8,118.8,2019-05-04 02,0.0
110.4,110.4,2019-05-03 22,0.0
115.8,115.8,2019-05-08 21,0.0
119.0,119.0,2019-05-02 16,0.0
118.8,118.8,2019-05-05 18,0.0
110.0,110.0,2019-05-01 22,0.0
98.0,122.5,2019-05-09 15,-24.5
103.2,103.2,2019-05-08 17,0.0
118.8,118.8,2019-05-02 17,0.0
119.0,119.0,2019-05-04 04,0.0
110.4,110.4,2019-05-03 13,0.0
120.8,120.8,2019-05-05 03,0.0
116.0,116.0,2019-05-08 16,0.0
118.8,118.8,2019-05-04 07,0.0
117.6,117.6,2019-05-07 13,0.0
116.2,116.2,2019-05-06 09,0.0
119.2,119.2,2019-05-01 08,0.0
116.0,116.0,2019-05-06 19,0.0
119.0,119.0,2019-05-05 13,0.0
116.2,116.2,2019-05-06 10,0.0
118.0,118.0,2019-05-06 22,0.0
119.0,119.0,2019-05-03 08,0.0
107.8,107.8,2019-05-02 13,0.0
107.0,107.0,2019-05-10 04,0.0
113.6,113.6,2019-05-12 04,0.0
106.0,106.0,2019-05-11 18,0.0
78.8,131.33333333333334,2019-05-11 03,-52.533333333333346
117.8,117.8,2019-05-07 18,0.0
110.4,110.4,2019-05-01 07,0.0
78.2,97.75,2019-05-10 19,-19.549999999999997
110.4,110.4,2019-05-01 09,0.0
110.6,110.6,2019-04-30 11,0.0
116.2,116.2,2019-05-06 17,0.0
118.8,118.8,2019-05-04 08,0.0
116.2,116.2,2019-05-08 06,0.0
104.4,104.4,2019-05-11 02,0.0
115.6,115.6,2019-05-07 21,0.0
119.0,119.0,2019-05-05 08,0.0
121.0,121.0,2019-05-05 01,0.0
107.0,107.0,2019-05-10 17,0.0
119.0,119.0,2019-05-03 21,0.0
110.4,110.4,2019-05-03 20,0.0
106.8,106.8,2019-05-12 01,0.0
110.2,110.2,2019-05-02 15,0.0
121.0,121.0,2019-05-06 04,0.0
110.4,110.4,2019-04-30 21,0.0
78.4,98.0,2019-05-10 00,-19.599999999999994
98.8,123.5,2019-05-11 01,-24.700000000000003
117.8,117.8,2019-05-07 10,0.0
119.0,119.0,2019-05-05 07,0.0
110.4,110.4,2019-05-04 09,0.0
119.2,119.2,2019-05-01 14,0.0
117.8,117.8,2019-05-07 15,0.0
121.0,121.0,2019-05-06 01,0.0
110.4,110.4,2019-04-30 13,0.0
91.4,114.25,2019-05-11 05,-22.849999999999994
110.4,110.4,2019-05-03 19,0.0
115.8,115.8,2019-05-08 15,0.0
116.0,116.0,2019-05-06 12,0.0
106.8,106.8,2019-05-10 05,0.0
104.8,104.8,2019-05-09 20,0.0
77.8,97.25,2019-05-12 06,-19.450000000000003
119.0,119.0,2019-05-02 05,0.0
116.0,116.0,2019-05-08 01,0.0
108.0,108.0,2019-05-03 10,0.0
119.2,119.2,2019-05-03 07,0.0
116.2,116.2,2019-05-08 05,0.0
110.2,110.2,2019-05-03 15,0.0
110.2,110.2,2019-05-01 21,0.0
108.0,108.0,2019-05-01 11,0.0
115.8,115.8,2019-05-07 20,0.0
117.0,117.0,2019-05-02 22,0.0
110.2,110.2,2019-05-01 20,0.0
106.2,106.2,2019-05-09 18,0.0
87.2,109.0,2019-05-10 21,-21.799999999999997
105.8,105.8,2019-05-09 21,0.0
121.0,121.0,2019-05-04 23,0.0
114.0,114.0,2019-05-11 17,0.0
119.2,119.2,2019-05-04 16,0.0
120.8,120.8,2019-05-04 22,0.0
116.2,116.2,2019-05-06 11,0.0
