locality,price_per_night,Datum
Teplice, 63,2019-04-13 02-01
Teplice, 69,2019-04-13 02-01
Teplice, 165,2019-04-13 02-01
Teplice, 52,2019-04-13 02-01
Teplice, 33,2019-04-13 02-01
Teplice, 48,2019-04-13 02-01
Teplice, 84,2019-04-13 02-01
Teplice, 51,2019-04-13 02-01
Teplice, 34,2019-04-13 02-01
Teplice, 59,2019-04-13 02-01
Teplice, 85,2019-04-13 02-01
Teplice, 62,2019-04-13 02-01
Teplice, 35,2019-04-13 02-01
Teplice, 43,2019-04-13 02-01
Teplice, 37,2019-04-13 02-01
Teplice, 93,2019-04-13 02-01
Teplice, 83,2019-04-13 02-01
Teplice, 79,2019-04-13 02-01
Teplice, 64,2019-04-13 02-01
Teplice, 78,2019-04-13 02-01
Teplice, 103,2019-04-13 02-01
Teplice, 89,2019-04-13 02-01
Teplice, 79,2019-04-13 02-01
Teplice, 79,2019-04-13 02-01
Teplice, 113,2019-04-13 02-01
Teplice, 104,2019-04-13 02-01
Teplice, 79,2019-04-13 02-01
Teplice, 90,2019-04-13 02-01
Teplice, 58,2019-04-13 02-01
Teplice, 37,2019-04-13 02-01
,,2019-04-13 02-01
