locality,price_per_night,Datum
Teplice, 63,2019-04-14 15-01
Teplice, 69,2019-04-14 15-01
Teplice, 163,2019-04-14 15-01
Teplice, 68,2019-04-14 15-01
Teplice, 45,2019-04-14 15-01
Teplice, 56,2019-04-14 15-01
Teplice, 99,2019-04-14 15-01
Teplice, 75,2019-04-14 15-01
Teplice, 61,2019-04-14 15-01
Teplice, 35,2019-04-14 15-01
Teplice, 120,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice,0,2019-04-14 15-01
Teplice, 78,2019-04-14 15-01
Teplice, 79,2019-04-14 15-01
Teplice, 74,2019-04-14 15-01
Teplice, 103,2019-04-14 15-01
Teplice, 64,2019-04-14 15-01
Teplice, 78,2019-04-14 15-01
Teplice, 90,2019-04-14 15-01
,,2019-04-14 15-01
