locality,price_per_night,Datum
Teplice, 69,2019-04-13 06-01
Teplice, 165,2019-04-13 06-01
Teplice, 48,2019-04-13 06-01
Teplice, 59,2019-04-13 06-01
Teplice, 35,2019-04-13 06-01
Teplice, 43,2019-04-13 06-01
Teplice, 37,2019-04-13 06-01
Teplice, 93,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice,0,2019-04-13 06-01
Teplice, 37,2019-04-13 06-01
Teplice, 78,2019-04-13 06-01
Teplice, 79,2019-04-13 06-01
Teplice, 58,2019-04-13 06-01
Teplice, 79,2019-04-13 06-01
Teplice, 103,2019-04-13 06-01
Teplice, 64,2019-04-13 06-01
,,2019-04-13 06-01
