locality,price_per_night,Datum
Teplice, 61,2019-04-15 04-01
Teplice, 75,2019-04-15 04-01
Teplice, 49,2019-04-15 04-01
Teplice, 34,2019-04-15 04-01
Teplice, 56,2019-04-15 04-01
Teplice, 35,2019-04-15 04-01
Teplice, 69,2019-04-15 04-01
Teplice, 51,2019-04-15 04-01
Teplice, 39,2019-04-15 04-01
Teplice, 60,2019-04-15 04-01
Teplice, 34,2019-04-15 04-01
Teplice, 33,2019-04-15 04-01
Teplice, 66,2019-04-15 04-01
Teplice, 48,2019-04-15 04-01
Teplice, 52,2019-04-15 04-01
Teplice, 163,2019-04-15 04-01
Teplice, 46,2019-04-15 04-01
Teplice, 44,2019-04-15 04-01
Teplice, 37,2019-04-15 04-01
Teplice, 93,2019-04-15 04-01
Teplice, 74,2019-04-15 04-01
Teplice, 79,2019-04-15 04-01
Teplice, 78,2019-04-15 04-01
Teplice, 58,2019-04-15 04-01
Teplice, 63,2019-04-15 04-01
Teplice, 71,2019-04-15 04-01
Teplice, 78,2019-04-15 04-01
Teplice, 102,2019-04-15 04-01
Teplice, 90,2019-04-15 04-01
Teplice, 37,2019-04-15 04-01
,,2019-04-15 04-01
