locality,price_per_night,Datum
Teplice, 63,2019-04-14 23-01
Teplice, 69,2019-04-14 23-01
Teplice, 163,2019-04-14 23-01
Teplice, 66,2019-04-14 23-01
Teplice, 34,2019-04-14 23-01
Teplice, 44,2019-04-14 23-01
Teplice, 33,2019-04-14 23-01
Teplice, 48,2019-04-14 23-01
Teplice, 56,2019-04-14 23-01
Teplice, 99,2019-04-14 23-01
Teplice, 51,2019-04-14 23-01
Teplice, 49,2019-04-14 23-01
Teplice, 75,2019-04-14 23-01
Teplice, 61,2019-04-14 23-01
Teplice, 35,2019-04-14 23-01
Teplice, 46,2019-04-14 23-01
Teplice, 78,2019-04-14 23-01
Teplice, 74,2019-04-14 23-01
Teplice, 103,2019-04-14 23-01
Teplice,0,2019-04-14 23-01
Teplice, 79,2019-04-14 23-01
Teplice, 104,2019-04-14 23-01
Teplice, 106,2019-04-14 23-01
Teplice, 76,2019-04-14 23-01
Teplice,0,2019-04-14 23-01
Teplice,0,2019-04-14 23-01
Teplice,0,2019-04-14 23-01
Teplice,0,2019-04-14 23-01
Teplice,0,2019-04-14 23-01
Teplice,0,2019-04-14 23-01
,,2019-04-14 23-01
