locality,price_per_night,Datum
Teplice, 75,2019-04-15 13-01
Teplice, 165,2019-04-15 13-01
Teplice, 68,2019-04-15 13-01
Teplice, 84,2019-04-15 13-01
Teplice, 51,2019-04-15 13-01
Teplice, 39,2019-04-15 13-01
Teplice, 62,2019-04-15 13-01
Teplice, 60,2019-04-15 13-01
Teplice, 35,2019-04-15 13-01
Teplice, 43,2019-04-15 13-01
Teplice, 37,2019-04-15 13-01
Teplice, 96,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice, 91,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
Teplice,0,2019-04-15 13-01
,,2019-04-15 13-01
