price_per_night,timestamp,Influencer_or_Not,Hotel_ID
411,2019-04-29 10:20:01.313901,No Influencer,23
411,2019-04-26 04:20:01.454228,No Influencer,23
411,2019-04-24 07:20:01.508606,No Influencer,23
411,2019-04-29 16:20:01.398738,No Influencer,23
411,2019-04-30 01:20:01.462084,No Influencer,23
411,2019-04-30 20:12:02.045191,No Influencer,23
410,2019-05-01 03:12:02.104911,No Influencer,23
411,2019-04-25 07:20:01.053067,No Influencer,23
411,2019-04-26 11:20:01.230904,No Influencer,23
411,2019-04-30 19:12:01.613551,No Influencer,23
409,2019-04-23 09:20:01.821578,No Influencer,23
411,2019-04-24 16:20:01.041631,No Influencer,23
411,2019-04-27 03:20:01.825567,No Influencer,23
411,2019-04-26 03:20:01.482164,No Influencer,23
411,2019-04-27 22:20:01.269692,No Influencer,23
411,2019-04-28 19:20:01.196855,No Influencer,23
411,2019-04-29 08:20:01.362971,No Influencer,23
411,2019-04-24 21:20:01.458887,No Influencer,23
411,2019-04-25 13:20:01.834388,No Influencer,23
411,2019-04-26 12:20:00.897716,No Influencer,23
411,2019-04-29 14:20:01.072528,No Influencer,23
411,2019-04-25 09:20:01.817283,No Influencer,23
411,2019-04-24 22:20:01.043015,No Influencer,23
411,2019-04-24 05:20:01.100760,No Influencer,23
411,2019-04-28 22:20:01.351439,No Influencer,23
411,2019-04-27 12:20:01.003229,No Influencer,23
411,2019-04-26 08:20:01.356409,No Influencer,23
411,2019-04-28 16:20:01.421895,No Influencer,23
411,2019-04-24 10:20:01.373861,No Influencer,23
411,2019-04-25 03:20:01.760917,No Influencer,23
411,2019-04-24 13:20:01.431021,No Influencer,23
411,2019-04-27 23:20:00.995407,No Influencer,23
411,2019-04-25 01:20:01.018823,No Influencer,23
409,2019-04-23 14:20:01.159459,No Influencer,23
411,2019-04-30 02:49:01.907332,No Influencer,23
411,2019-04-30 02:36:01.521678,No Influencer,23
411,2019-05-01 00:12:01.756072,No Influencer,23
411,2019-04-30 15:12:01.509864,No Influencer,23
411,2019-04-27 08:20:00.961811,No Influencer,23
411,2019-04-24 18:20:01.155983,No Influencer,23
411,2019-04-25 16:20:01.691026,No Influencer,23
