price_per_night,timestamp,Influencer_or_Not,Hotel_ID
235,2019-04-20 16:02:01.455611,Influencer,53
234,2019-04-27 17:20:01.144382,Influencer,53
283,2019-04-25 02:20:01.204718,Influencer,53
281,2019-04-26 23:20:01.638229,Influencer,53
372,2019-04-24 00:20:01.252788,Influencer,53
282,2019-05-03 10:12:00.805120,Influencer,53
371,2019-04-22 20:20:01.234198,Influencer,53
372,2019-04-23 08:41:51.637176,Influencer,53
281,2019-04-29 04:20:01.578287,Influencer,53
281,2019-04-25 22:20:01.052968,Influencer,53
282,2019-05-02 11:12:01.280833,Influencer,53
372,2019-04-23 12:20:01.079076,Influencer,53
282,2019-05-07 09:12:01.177314,Influencer,53
382,2019-05-08 16:12:01.173012,Influencer,53
372,2019-04-23 22:20:01.803513,Influencer,53
281,2019-04-29 09:20:01.685304,Influencer,53
281,2019-05-05 05:12:01.482098,Influencer,53
282,2019-04-30 02:20:02.199940,Influencer,53
275,2019-05-10 21:12:00.911634,Influencer,53
362,2019-05-01 12:12:02.495711,Influencer,53
371,2019-04-22 17:20:01.222580,Influencer,53
282,2019-05-03 21:12:01.129597,Influencer,53
282,2019-04-30 20:12:02.100210,Influencer,53
282,2019-05-01 14:12:01.714429,Influencer,53
378,2019-04-20 20:20:01.905221,Influencer,53
362,2019-05-05 12:12:01.512127,Influencer,53
295,2019-05-08 15:12:01.426155,Influencer,53
311,2019-05-07 22:12:01.181289,Influencer,53
281,2019-04-26 12:20:00.897780,Influencer,53
281,2019-04-26 00:20:01.770896,Influencer,53
232,2019-04-28 16:20:01.426183,Influencer,53
294,2019-05-08 14:12:01.497288,Influencer,53
281,2019-04-28 19:20:01.183952,Influencer,53
276,2019-05-09 16:12:01.145138,Influencer,53
371,2019-04-22 19:20:01.707218,Influencer,53
233,2019-05-04 07:12:01.390240,Influencer,53
281,2019-04-30 11:14:49.432978,Influencer,53
283,2019-04-25 14:20:00.944799,Influencer,53
276,2019-05-08 06:12:00.874333,Influencer,53
281,2019-04-26 06:20:01.518534,Influencer,53
293,2019-05-06 11:12:01.471467,Influencer,53
275,2019-05-12 01:12:00.927538,Influencer,53
275,2019-05-10 22:12:01.011487,Influencer,53
232,2019-05-05 09:12:01.010130,Influencer,53
281,2019-04-26 02:20:01.844079,Influencer,53
283,2019-04-25 11:20:01.551022,Influencer,53
232,2019-04-25 07:20:01.070802,Influencer,53
371,2019-04-21 12:20:01.332739,Influencer,53
281,2019-05-06 10:12:01.644940,Influencer,53
378,2019-04-24 12:20:01.755507,Influencer,53
361,2019-04-29 22:20:01.284254,Influencer,53
294,2019-05-08 21:12:01.731862,Influencer,53
281,2019-05-06 07:12:01.632616,Influencer,53
372,2019-04-23 08:20:01.367730,Influencer,53
371,2019-04-22 12:20:01.043983,Influencer,53
281,2019-05-05 23:12:01.495860,Influencer,53
281,2019-05-05 18:12:00.988576,Influencer,53
235,2019-04-22 04:20:01.267467,Influencer,53
281,2019-05-06 02:12:01.477150,Influencer,53
372,2019-04-23 19:20:01.538007,Influencer,53
281,2019-05-05 07:12:01.211421,Influencer,53
371,2019-04-18 18:05:01.092438,Influencer,53
282,2019-05-01 03:12:02.105269,Influencer,53
234,2019-04-27 11:20:01.161449,Influencer,53
363,2019-04-24 04:20:01.158755,Influencer,53
281,2019-04-29 15:20:01.736783,Influencer,53
282,2019-04-29 18:20:01.403132,Influencer,53
276,2019-05-09 09:12:01.731708,Influencer,53
235,2019-04-25 15:20:01.937857,Influencer,53
281,2019-04-26 21:20:01.282928,Influencer,53
281,2019-04-30 17:12:02.150539,Influencer,53
233,2019-04-21 07:20:01.570009,Influencer,53
281,2019-05-05 04:12:00.890273,Influencer,53
372,2019-04-24 09:20:01.377174,Influencer,53
234,2019-04-27 23:20:00.997533,Influencer,53
282,2019-05-03 07:12:01.329736,Influencer,53
275,2019-05-11 15:12:01.238834,Influencer,53
233,2019-04-21 02:20:01.876394,Influencer,53
281,2019-04-30 13:12:01.418253,Influencer,53
371,2019-04-21 05:20:01.137868,Influencer,53
371,2019-04-18 22:05:01.409088,Influencer,53
281,2019-04-28 21:20:01.244847,Influencer,53
276,2019-05-09 12:12:01.525541,Influencer,53
281,2019-04-30 09:13:01.335603,Influencer,53
281,2019-04-29 12:20:01.604081,Influencer,53
275,2019-05-10 11:12:01.772799,Influencer,53
275,2019-05-12 09:12:01.418016,Influencer,53
372,2019-04-23 06:20:01.839022,Influencer,53
281,2019-04-28 00:20:01.268472,Influencer,53
281,2019-05-04 15:12:01.126891,Influencer,53
281,2019-05-05 10:12:01.677412,Influencer,53
363,2019-05-08 20:12:01.652283,Influencer,53
281,2019-05-04 03:12:01.334982,Influencer,53
281,2019-05-01 22:12:01.264045,Influencer,53
281,2019-04-30 05:13:01.040866,Influencer,53
294,2019-05-08 17:12:00.806926,Influencer,53
371,2019-04-21 14:20:01.096184,Influencer,53
281,2019-04-27 14:20:01.214026,Influencer,53
282,2019-05-07 05:12:01.711749,Influencer,53
234,2019-05-04 09:12:01.740102,Influencer,53
276,2019-05-10 18:12:01.738322,Influencer,53
378,2019-04-19 04:05:01.728225,Influencer,53
235,2019-04-22 11:20:01.333289,Influencer,53
281,2019-04-28 01:20:01.450445,Influencer,53
255,2019-05-03 19:12:01.345457,Influencer,53
283,2019-04-25 00:20:01.052768,Influencer,53
362,2019-05-07 19:12:01.650633,Influencer,53
378,2019-04-25 05:20:01.631448,Influencer,53
233,2019-04-22 07:20:01.624017,Influencer,53
281,2019-05-05 11:12:01.010453,Influencer,53
282,2019-05-01 05:12:02.191837,Influencer,53
276,2019-05-10 20:12:01.703941,Influencer,53
282,2019-05-02 22:12:01.570787,Influencer,53
255,2019-05-03 18:12:00.837442,Influencer,53
234,2019-05-04 19:12:01.144122,Influencer,53
281,2019-05-05 08:12:01.723761,Influencer,53
271,2019-04-26 09:20:01.857833,Influencer,53
281,2019-04-28 22:20:01.343133,Influencer,53
372,2019-04-23 07:20:01.915254,Influencer,53
283,2019-04-24 17:20:01.342698,Influencer,53
281,2019-04-30 19:12:01.640563,Influencer,53
282,2019-05-01 16:12:01.628192,Influencer,53
282,2019-05-03 13:12:00.898888,Influencer,53
363,2019-05-02 16:12:01.114919,Influencer,53
371,2019-04-22 15:20:01.246998,Influencer,53
281,2019-04-30 03:07:01.919333,Influencer,53
281,2019-05-05 03:12:01.469749,Influencer,53
282,2019-05-02 10:12:01.517189,Influencer,53
283,2019-04-24 22:20:01.044692,Influencer,53
275,2019-05-10 04:12:01.090207,Influencer,53
371,2019-04-23 03:20:01.262859,Influencer,53
293,2019-05-06 15:12:01.695256,Influencer,53
293,2019-05-07 10:12:01.647762,Influencer,53
281,2019-05-06 08:12:01.388235,Influencer,53
275,2019-05-10 23:12:01.596994,Influencer,53
